company_name,post_date,id,parent_id,comment_text,comment_date,comment_type,reaction_count
Costco,2025-01-28 15:40:00,Y29tbWVudDoxMDUwNDM1MDc3MTE0NjU1Xzk0NzUxOTQwMDU4NTE0NDQ=,,I’ve been buying pork belly with skin on in Costco,2025-03-01,initial,0
Costco,2025-01-28 15:40:00,Y29tbWVudDoxMDQ4NzQzMDkwNjE3MTg3XzE0NzAzMzMzNjQzNTMxNTM=,,Why did you discontinue your ravioli lasagna???,2025-03-01,initial,2
Costco,2025-01-28 15:40:00,Y29tbWVudDoxMDQ4NzQzMDkwNjE3MTg3XzE0OTk5NDA3NTQzNDA5MTg=,Y29tbWVudDoxMDQ4NzQzMDkwNjE3MTg3XzE0NzAzMzMzNjQzNTMxNTM=,it was the best!,2025-03-08,reply,1
Costco,2025-01-28 15:40:00,Y29tbWVudDoxMDQxNzYyOTI3OTgxODcwXzEwMTg0NDEyODY5OTgwNjg=,,It’s time to start boycotting Costco’s get DEI out of your system or else we stop shopping and then we take you out of business. The people have spoken.,2025-02-15,initial,52
Costco,2025-01-28 15:40:00,Y29tbWVudDoxMDM4MzA2NzI4MzI3NDkwXzE5MDM0OTU4OTAxODU1MTQ=,,Turning in my Costco membership. End DEI now. Merit based hiring only,2025-02-08,initial,47
Costco,2025-01-28 15:40:00,Y29tbWVudDoxMDM2NzI0ODA4NDg1NjgyXzExMDA1ODQ3NjE4MDk4NDM=,,This company is a woke joke!,2025-02-08,initial,71
Costco,2025-01-28 15:40:00,Y29tbWVudDoxMDMzMDc4OTQ1NTE2OTM1XzkzMjAyNjIxMDQ2NzkxNjM=,,I would love to try these at $24.99 a case however in washington state you have to add all the liquor taxes that makes the total $53.  Over double the original cost.,2025-02-01,initial,9
Costco,2025-01-28 15:40:00,Y29tbWVudDoxMDMyMzEyMjAyMjYwMjc2XzYxNjY4MTE1NDQ0Mzk4OA==,,"Please open a store in Buffalo, NY!",2025-03-01,initial,0
Costco,2025-01-28 15:40:00,Y29tbWVudDoxMDMyMzEyMjAyMjYwMjc2XzY1NTEwMTE3MzYzNDg3MA==,Y29tbWVudDoxMDMyMzEyMjAyMjYwMjc2XzYxNjY4MTE1NDQ0Mzk4OA==,Michael- We'll add your location to the wish list. -Gerry,2025-03-01,reply,0
Costco,2025-01-28 15:40:00,Y29tbWVudDoxMDMxNzczMjA1NjQ3NTA5XzYxOTgyNDU2NDMyNjA3MQ==,,Wine downing with my sweet hubby before dinner.,2025-02-01,initial,0
Costco,2025-01-28 15:40:00,Y29tbWVudDoxMDMxMDIyMzcyMzg5MjU5XzkyODc3MTU1MjQ2MjIwMjI=,,Requesting a Costco in Brownsville,2025-02-01,initial,29
Costco,2025-01-28 15:40:00,Y29tbWVudDoxMDMxMDIyMzcyMzg5MjU5XzExNjM2MjMxNTg2MDYxMjI=,Y29tbWVudDoxMDMxMDIyMzcyMzg5MjU5XzkyODc3MTU1MjQ2MjIwMjI=,Laila- Thanks for the invite to Brownsville! We invite you to check out our upcoming locations page at the following link: https://www.costco.com/new-locations.html -Max,2025-02-01,reply,1
Costco,2025-01-28 15:40:00,Y29tbWVudDoxMDMwNDA2MjQyNDUwODcyXzk3MjEwNzYwNDgwMzc1NQ==,,Thank you Costco. I will be shopping with you more frequently now.,2025-02-01,initial,1
Costco,2025-01-28 15:40:00,Y29tbWVudDoxMDMwNDA2MTQ5MTE3NTQ4XzU1MDE4NDEzMTM3NTcyNA==,,Please bring back Kirkland baking chips!!! They are the best.,2025-02-15,initial,0
Costco,2025-01-28 15:40:00,Y29tbWVudDoxMDMwNDA2MTQ5MTE3NTQ4XzYwMzY4ODk2NTc5NjYwMQ==,Y29tbWVudDoxMDMwNDA2MTQ5MTE3NTQ4XzU1MDE4NDEzMTM3NTcyNA==,Cherie- Thanks for the suggestion. We'll be sure to get your feedback to appropriate personnel. You can also submit suggestions by clicking the blue “Feedback” button on the right side of Costco.com. -Gerry,2025-02-22,reply,0
Costco,2025-01-28 15:40:00,Y29tbWVudDoxMDI3ODA5MTc5Mzc3MjQ1XzM3Mjk3NDI1MzA2NTkwODg=,,"For people complaining, here’s some examples of what DEIA actually is. Trainings to prevent sexual harassment in the workplace are part of DEI initiatives. Pay transparency laws are the result of DEI initiatives. Requiring wheel chair ramps and closed … See more",2025-01-25,initial,338
Costco,2025-01-28 15:40:00,Y29tbWVudDoxMDI0OTcyMDEyOTk0Mjk1XzYyNDE1NTUzNjkzNTc3Ng==,,"Costco needs to ditch its DEl efforts, such programs put the company at greater risk of being sued for discrimination.",2025-01-25,initial,67
Costco,2025-01-28 15:40:00,Y29tbWVudDoxMDMxNzczMjA1NjQ3NTA5XzYxOTgyNDU2NDMyNjA3MQ==,,Wine downing with my sweet hubby before dinner.,2025-02-01,initial,0
Costco,2025-01-28 15:40:00,Y29tbWVudDoxMDMxNzczMjA1NjQ3NTA5Xzk0NTg3ODE0ODc1MjE0ODQ=,,"DEI is inherently discriminatory. I’m surprised Costco would want to associate themselves with that sort of thing. It sure seems to be upsetting a huge percentage of their membership base. I went to Sam’s Club today for the first time after seeing how much Costco hates their customers and employees. It was funny, I spoke to 10 separate people that had also cancelled their membership and was shopping at Sam’s. For anyone interested there is a 50% off Groupon deal for a Sam’s membership. They don’t hate their customers, a lot of the items you would normally get at Costco are cheaper too! Maybe Costco has a strategy for how many memberships they are going to lose but I can guarantee you that any new memberships they do get from the left, it won’t come close to what they lose. I like Costco, I go 3-4 times A WEEK. Not anymore. I’ll cash my rewards and take that to Sam’s.",2025-02-01,initial,30
Costco,2025-01-28 15:40:00,Y29tbWVudDoxMDMxNzczMjA1NjQ3NTA5XzE1NDUxMTk0NjI4Njk3MTk=,Y29tbWVudDoxMDMxNzczMjA1NjQ3NTA5Xzk0NTg3ODE0ODc1MjE0ODQ=,Costco doesn’t hate any customers; but I’ve been seeing plenty of people across social media calling for a Costco boycott. Will be interesting to see how all of this plays out.,2025-02-01,reply,2
Costco,2025-01-28 15:40:00,Y29tbWVudDoxMDMxNzczMjA1NjQ3NTA5XzEyOTQyOTQxMDUxMDg4MDc=,Y29tbWVudDoxMDMxNzczMjA1NjQ3NTA5Xzk0NTg3ODE0ODc1MjE0ODQ=,where … in Alabama. Or Mississippi?,2025-02-01,reply,0
Costco,2025-01-28 15:40:00,Y29tbWVudDoxMDMxNzczMjA1NjQ3NTA5XzI0MTc5MDI1OTY1MDE5ODMx,Y29tbWVudDoxMDMxNzczMjA1NjQ3NTA5Xzk0NTg3ODE0ODc1MjE0ODQ=,this may explain why they got almost nothing right in the article on SCAD,2025-02-08,reply,0
Costco,2025-01-28 15:40:00,Y29tbWVudDoxMDMxNzczMjA1NjQ3NTA5XzYzNjAwNjU2NTQ5NTEyOQ==,Y29tbWVudDoxMDMxNzczMjA1NjQ3NTA5Xzk0NTg3ODE0ODc1MjE0ODQ=,"all of the Walton owned businesses pay their staff so badly that they need public assistance to get by, whereas Costco pays a living wage. You’re probably seeing lots of posts about boycotting them because you’re only on social media with other people like yourself (people who somehow think that DEI is a bad thing because they have no clue what it really is.) I can tell you factually that Costco has gained more new members than it’s lost.",2025-02-08,reply,0
Costco,2025-01-28 15:40:00,Y29tbWVudDoxMDMxNzczMjA1NjQ3NTA5Xzk4Mzk3NTUxOTczNjkyNw==,Y29tbWVudDoxMDMxNzczMjA1NjQ3NTA5Xzk0NTg3ODE0ODc1MjE0ODQ=,byeeeee!,2025-02-08,reply,0
Costco,2025-01-28 15:40:00,Y29tbWVudDoxMDMxNzczMjA1NjQ3NTA5XzYzOTE4MjQ1NTE1NzM5NA==,Y29tbWVudDoxMDMxNzczMjA1NjQ3NTA5Xzk4Mzk3NTUxOTczNjkyNw==,"don’t worry I’ll be back soon. Costco will fold, they have no choice hahaha",2025-02-08,reply,0
Costco,2025-01-28 15:40:00,Y29tbWVudDoxMDMxNzczMjA1NjQ3NTA5XzIwMTIxMTU4NjI1OTY1MTI=,,"Costco is my go-to place for gas and household essentials. The take home pizza and amazing team members make it a wonderful experience every time!!!!!! Thank you, Costco, for standing strong!!!!!",2025-02-01,initial,4
Costco,2025-01-28 15:40:00,Y29tbWVudDoxMDMxNzczMjA1NjQ3NTA5XzI4NzYxOTQ3OTU4ODU0NDY=,,I love relaxing with a Costco Travel package!,2025-02-01,initial,3
Costco,2025-01-28 15:40:00,Y29tbWVudDoxMDMxNzczMjA1NjQ3NTA5XzkwODcwNDM3NDgwODA0MDE=,,"enjoying a hotdog and rootbeer. we look at books, get some heat and serve for a romantic dinner later in the week, maybe buy new jammies or nice socks,",2025-02-01,initial,2
Costco,2025-01-28 15:40:00,Y29tbWVudDoxMDMxNzczMjA1NjQ3NTA5XzEzNjc3ODc1MDQ2NDM3Mzk=,,So my husband and i went to Costco for a $5 chicken. We walked out with a $5 chicken and a 4 person inflatable hot tub which is our favorite way to relax!!,2025-02-01,initial,6
Costco,2025-01-28 15:40:00,Y29tbWVudDoxMDMxNzczMjA1NjQ3NTA5XzY0MjQxMjUyODM0NTE1OQ==,,Shopping! Anywhere with kitchen gadgets so obviously I love Costco and checking out those kitchen houseware aisles. Total Bliss,2025-02-01,initial,2
Costco,2025-01-28 15:40:00,Y29tbWVudDoxMDMxNzczMjA1NjQ3NTA5XzE1MzU1MTg5MDM4MzE4MDc=,,I’ve never had a Costco membership. Until now. Thanks for standing up for what’s right. You just gained a new customer!,2025-02-01,initial,67
Costco,2025-01-28 15:40:00,Y29tbWVudDoxMDMxNzczMjA1NjQ3NTA5XzYzODU5MzM5ODYyNzk2Ng==,Y29tbWVudDoxMDMxNzczMjA1NjQ3NTA5XzE1MzU1MTg5MDM4MzE4MDc=,Hiring someone to keep a quota based on what a person does in his bedroom is right? How is that right? Why not hire based on qualifications and leave sexual activates and desires at home?,2025-02-01,reply,6
Costco,2025-01-28 15:40:00,Y29tbWVudDoxMDMxNzczMjA1NjQ3NTA5XzY0NjU3NzYyNDYyNDEzMg==,Y29tbWVudDoxMDMxNzczMjA1NjQ3NTA5XzYzODU5MzM5ODYyNzk2Ng==,Your ignorance is showing.,2025-02-01,reply,2
Costco,2025-01-28 15:40:00,Y29tbWVudDoxMDMxNzczMjA1NjQ3NTA5XzU1NzIyMDc4Mzk2NjI5Mg==,Y29tbWVudDoxMDMxNzczMjA1NjQ3NTA5XzY0NjU3NzYyNDYyNDEzMg==,"If DEI is no big deal, then what was the whole point of it? Why did the government push it so hard? Equity does not mean the same thing as equality. Equity is about outcomes, equality is about opportunities. Equality is great! Everyone has an equal chance to land a job, no matter how ""marginalized"" or not. Equity sucks because HR managers are guilted into keeping quotas and making sure every ""marginalized"" person is represented, qualified or not, to the point that what makes a person qualified is skin color or sexual orientation. DEI is horrible. Go talk to an honest HR manager or CEO and they will tell you the struggles of DEI and why they're glad Trump is here. It's why Walmart and other companies around the nation are dropping it and returning to Equal Opportunity.",2025-02-01,reply,0
Costco,2025-01-28 15:40:00,Y29tbWVudDoxMDMxNzczMjA1NjQ3NTA5XzY0MDg2MjE0NTI3MzgzOA==,Y29tbWVudDoxMDMxNzczMjA1NjQ3NTA5XzU1NzIyMDc4Mzk2NjI5Mg==,Ask the straight white woman that voted for trump who was just fired because she was a DEI hire and the company decided to follow the mandate. She's as confused as you are.,2025-02-01,reply,0
Costco,2025-01-28 15:40:00,Y29tbWVudDoxMDMxNzczMjA1NjQ3NTA5XzQ0MTkzMjU0MjQ5NjA2MDY=,Y29tbWVudDoxMDMxNzczMjA1NjQ3NTA5XzYzODU5MzM5ODYyNzk2Ng==,"Speaking of hiring people that are unqualified, how about the clown show of unqualified people nominated by trump to fill cabinet positions? It's a frigging laugh a minute. They're certainly not qualified to run a democratic republic intent on continuing.",2025-02-01,reply,1
Costco,2025-01-28 15:40:00,Y29tbWVudDoxMDMxNzczMjA1NjQ3NTA5XzE2Njk5OTk1MTcyNDY1OTI=,Y29tbWVudDoxMDMxNzczMjA1NjQ3NTA5XzQ0MTkzMjU0MjQ5NjA2MDY=,"Well fortunately for the country, democrats are defunct and powerless right now. Because I for one am tired of some man wearing women's clothing in charge of the joint chiefs, and a man wearing a fake breast nursing his child. Tired of crazy, happy to see normal again in DC.",2025-02-01,reply,0
Costco,2025-01-28 15:40:00,Y29tbWVudDoxMDMxNzczMjA1NjQ3NTA5XzYzNDM3Mjc5OTE1MTg5MA==,Y29tbWVudDoxMDMxNzczMjA1NjQ3NTA5XzE2Njk5OTk1MTcyNDY1OTI=,"Democrats are not powerless. Get a grip. We don't need any media to tell us trump's picks are not qualified. We're intelligent to see it for ourselves by his nominees own past and present actions of their characters, words and deeds.",2025-02-01,reply,0
Costco,2025-01-28 15:40:00,Y29tbWVudDoxMDMxNzczMjA1NjQ3NTA5Xzg2ODUzMTAyMDgyNDE0OTA=,Y29tbWVudDoxMDMxNzczMjA1NjQ3NTA5XzYzNDM3Mjc5OTE1MTg5MA==,"That's the typical arrogant left. ""Low IQ voters."" That pompous arrogance that rules the hearts of the secular progressives. You don't think anyone but you are right, smart, or able to discern what is right and wrong. Sadly, what you call ""right"" and ""good"" the universe calls wrong and evil. You claim to love nature and yet you want to defy nature by saying it's virtuous for two men to engage in sexual activity, or to defy nature by saying men can be women if they choose. Biology doesn't work that way. You can't change what is knitted into your DNA. But the left fondles metaphysics and pretends it's empirical truth. Statements of faith said in the name of science doesn't make it true. But your faith is strong.",2025-02-01,reply,0
Costco,2025-01-28 15:40:00,Y29tbWVudDoxMDMxNzczMjA1NjQ3NTA5XzExMjU3Njg2Njg3OTk2MjM=,Y29tbWVudDoxMDMxNzczMjA1NjQ3NTA5Xzg2ODUzMTAyMDgyNDE0OTA=,"Hegseth isn't qualified due to his lack of current qualifying experience vs the responsibilities demanded of the position being applied for. He's never worked even at an entry level position in which to gain experience at the lowest level, never mind being put at the very top.",2025-02-01,reply,0
Costco,2025-01-28 15:40:00,Y29tbWVudDoxMDMxNzczMjA1NjQ3NTA5XzIwODk0NTIzOTQ4MjA0MjU=,Y29tbWVudDoxMDMxNzczMjA1NjQ3NTA5XzYzODU5MzM5ODYyNzk2Ng==,"BTW, you wouldn't happen to have a cup of ""Kraken"" I could borrow, do you? I'm all out.",2025-02-01,reply,0
Costco,2025-01-28 15:40:00,Y29tbWVudDoxMDMxNzczMjA1NjQ3NTA5XzEwNTg4MTIxMDYwMTY5OTQ=,Y29tbWVudDoxMDMxNzczMjA1NjQ3NTA5XzYzODU5MzM5ODYyNzk2Ng==,clearly you do not understand what DEI policies are,2025-02-01,reply,0
