company_name,post_date,id,parent_id,comment_text,comment_date,comment_type,reaction_count
Costco,2025-02-01 09:00:00,Y29tbWVudDoxMDUwNDM1MDc3MTE0NjU1Xzk0NzUxOTQwMDU4NTE0NDQ=,,I’ve been buying pork belly with skin on in Costco,2025-03-01,initial,0
Costco,2025-02-01 09:00:00,Y29tbWVudDoxMDQ4NzQzMDkwNjE3MTg3XzE0NzAzMzMzNjQzNTMxNTM=,,Why did you discontinue your ravioli lasagna???,2025-03-01,initial,2
Costco,2025-02-01 09:00:00,Y29tbWVudDoxMDQ4NzQzMDkwNjE3MTg3XzE0OTk5NDA3NTQzNDA5MTg=,Y29tbWVudDoxMDQ4NzQzMDkwNjE3MTg3XzE0NzAzMzMzNjQzNTMxNTM=,it was the best!,2025-03-08,reply,1
Costco,2025-02-01 09:00:00,Y29tbWVudDoxMDQxNzYyOTI3OTgxODcwXzEwMTg0NDEyODY5OTgwNjg=,,It’s time to start boycotting Costco’s get DEI out of your system or else we stop shopping and then we take you out of business. The people have spoken.,2025-02-15,initial,52
Costco,2025-02-01 09:00:00,Y29tbWVudDoxMDM4MzA2NzI4MzI3NDkwXzE5MDM0OTU4OTAxODU1MTQ=,,Turning in my Costco membership. End DEI now. Merit based hiring only,2025-02-08,initial,47
Costco,2025-02-01 09:00:00,Y29tbWVudDoxMDM2NzI0ODA4NDg1NjgyXzExMDA1ODQ3NjE4MDk4NDM=,,This company is a woke joke!,2025-02-08,initial,71
Costco,2025-02-01 09:00:00,Y29tbWVudDoxMDM1MjM4NzUxOTY3NjIxXzQ4NzEwOTgyNzc5NjAzMQ==,,I also appreciate your DEI initiatives and joined largely because of that!,2025-02-22,initial,0
Costco,2025-02-01 09:00:00,Y29tbWVudDoxMDM0NDgxMjg1Mzc2NzAxXzY1MjYxMTYzNzIyNzM4MA==,,Thank you Costco wish you could bring back combo pizza,2025-02-15,initial,0
Costco,2025-02-01 09:00:00,Y29tbWVudDoxMDMzNzQ5ODUyMTE2NTExXzU5MDQ0NTAxMzg2OTIxNw==,,"Your commitment to diversity, equity and inclusion is greatly appreciated! These programs benefit all Americans and, make us better! Thank you, Costco",2025-02-08,initial,0
Costco,2025-02-01 09:00:00,Y29tbWVudDoxMDMzMDc4OTQ1NTE2OTM1XzkzMjAyNjIxMDQ2NzkxNjM=,,I would love to try these at $24.99 a case however in washington state you have to add all the liquor taxes that makes the total $53. Over double the original cost.,2025-02-01,initial,9
Costco,2025-02-01 09:00:00,Y29tbWVudDoxMDMyMzEyMjAyMjYwMjc2XzYxNjY4MTE1NDQ0Mzk4OA==,,"Please open a store in Buffalo, NY!",2025-03-01,initial,0
Costco,2025-02-01 09:00:00,Y29tbWVudDoxMDMyMzEyMjAyMjYwMjc2XzY1NTEwMTE3MzYzNDg3MA==,Y29tbWVudDoxMDMyMzEyMjAyMjYwMjc2XzYxNjY4MTE1NDQ0Mzk4OA==,Michael- We'll add your location to the wish list. -Gerry,2025-03-01,reply,0
Costco,2025-02-01 09:00:00,Y29tbWVudDoxMDMxNzczMjA1NjQ3NTA5XzYxOTgyNDU2NDMyNjA3MQ==,,Wine downing with my sweet hubby before dinner.,2025-02-01,initial,0
Costco,2025-02-01 09:00:00,Y29tbWVudDoxMDMxMDIyMzcyMzg5MjU5XzkyODc3MTU1MjQ2MjIwMjI=,,Requesting a Costco in Brownsville,2025-02-01,initial,29
Costco,2025-02-01 09:00:00,Y29tbWVudDoxMDMxMDIyMzcyMzg5MjU5XzExNjM2MjMxNTg2MDYxMjI=,Y29tbWVudDoxMDMxMDIyMzcyMzg5MjU5XzkyODc3MTU1MjQ2MjIwMjI=,Laila- Thanks for the invite to Brownsville! We invite you to check out our upcoming locations page at the following link: https://www.costco.com/new-locations.html  -Max,2025-02-01,reply,1
Costco,2025-02-01 09:00:00,Y29tbWVudDoxMDMwNDA2MjQyNDUwODcyXzk3MjEwNzYwNDgwMzc1NQ==,,Thank you Costco. I will be shopping with you more frequently now.,2025-02-01,initial,1
Costco,2025-02-01 09:00:00,Y29tbWVudDoxMDMwNDA2MTQ5MTE3NTQ4XzU1MDE4NDEzMTM3NTcyNA==,,Please bring back Kirkland baking chips!!! They are the best.,2025-02-15,initial,0
Costco,2025-02-01 09:00:00,Y29tbWVudDoxMDMwNDA2MTQ5MTE3NTQ4XzYwMzY4ODk2NTc5NjYwMQ==,Y29tbWVudDoxMDMwNDA2MTQ5MTE3NTQ4XzU1MDE4NDEzMTM3NTcyNA==,Cherie- Thanks for the suggestion. We'll be sure to get your feedback to appropriate personnel. You can also submit suggestions by clicking the blue “Feedback” button on the right side of Costco.com. -Gerry,2025-02-22,reply,0
Costco,2025-02-01 09:00:00,Y29tbWVudDoxMDI3ODA5MTc5Mzc3MjQ1XzM3Mjk3NDI1MzA2NTkwODg=,,"For people complaining, here’s some examples of what DEIA actually is. Trainings to prevent sexual harassment in the workplace are part of DEI initiatives. Pay transparency laws are the result of DEI initiatives. Requiring wheel chair ramps and closed … See more",2025-01-25,initial,338
Costco,2025-02-01 09:00:00,Y29tbWVudDoxMDI0OTcyMDEyOTk0Mjk1XzYyNDE1NTUzNjkzNTc3Ng==,,"Costco needs to ditch its DEl efforts, such programs put the company at greater risk of being sued for discrimination.",2025-01-25,initial,67
Costco,2025-02-01 09:00:00,Y29tbWVudDoxMDM0NDgxMjg1Mzc2NzAxXzIwMTk5NTI3MTE4NDQ4OTc=,,Como puedo adquirir una membresía,2025-02-22,initial,0
Costco,2025-02-01 09:00:00,Y29tbWVudDoxMDM0NDgxMjg1Mzc2NzAxXzEwMjk4ODEyMjU2NDQ2MzA=,Y29tbWVudDoxMDM0NDgxMjg1Mzc2NzAxXzIwMTk5NTI3MTE4NDQ4OTc=,"Sanchez José- Tenemos dos tipos de membresías diferentes. La Membresía Dorada y la Membresía de Negocio. Ambas membresías cuestan $65 y te permiten comprar en todos los almacenes de Costco y en línea en http://Costco.com. Cualquiera de las membresías se pueden actualizar a una Membresía Ejecutiva por $130, la cual le ofrece una recompensa de 2% en sus compras (se aplican exclusiones) y también tiene ciertas ventajas y/o descuentos en muchos de nuestros servicios. Ambas membresías vienen con dos tarjetas, por lo cual puede compartir los beneficios de ser socio con alguien en su hogar de la edad de 16 años o mayor. Para comprar en línea, visite aquí: https://www.costco.com/join-costco.html?redirectLogin=true ¡Gracias! -Gerry",2025-02-22,reply,0
Costco,2025-02-01 09:00:00,Y29tbWVudDoxMDM0NDgxMjg1Mzc2NzAxXzY1MjYxMTYzNzIyNzM4MA==,,Thank you Costco wish you could bring back combo pizza,2025-02-15,initial,0
Costco,2025-02-01 09:00:00,Y29tbWVudDoxMDM0NDgxMjg1Mzc2NzAxXzEzMzE4NzAyMjQ3ODk2MjQ=,,Price?,2025-02-15,initial,0
Costco,2025-02-01 09:00:00,Y29tbWVudDoxMDM0NDgxMjg1Mzc2NzAxXzYxMTg1NTMzMTYwNDgzMA==,Y29tbWVudDoxMDM0NDgxMjg1Mzc2NzAxXzEzMzE4NzAyMjQ3ODk2MjQ=,Hazel- You can view pricing for this product on our website here: https://www.costco.com/ProductDisplay?catalogId=10701... Thanks for asking! -Bekah,2025-02-22,reply,0
Costco,2025-02-01 09:00:00,Y29tbWVudDoxMDM0NDgxMjg1Mzc2NzAxXzExNDk5MjM2NjYzNDcyMzY=,,"Now yesterday I got a call yesterday informing that my old frame is rejected because my eye lash is too big. Although the same frame was used last year. It appears that Costco optical is forcing me to buy a new frame every year or Costco thinks its frame is so poor quality that it should not last for more than 1 year. I do not like this policy/behavior of optical department. In my opinion, the only logical reason of it can be forcing me to buy new frame every year.",2025-02-08,initial,0
Costco,2025-02-01 09:00:00,Y29tbWVudDoxMDM0NDgxMjg1Mzc2NzAxXzE2MzcwMzczMTAyODQ4MDA=,,Do you even have them in stock.,2025-02-08,initial,0
