company_name,post_date,id,parent_id,comment_text,comment_date,comment_type,reaction_count
Costco,2025-02-15 09:00:00,Y29tbWVudDoxMDQ0ODExNzY0MzQzNjUzXzIzMTYwMTkwNTU0MzcwODc=,,Daisy looks beautiful,2025-02-16,initial,3
Costco,2025-02-15 09:00:00,Y29tbWVudDoxMDQ0ODExNzY0MzQzNjUzXzE2OTAzMzE0MTUxOTk3Njg=,,"I bought several for my 15 yr old rescue dog. They help keep him warm. My daughter is jealous, she wants a Kirkland sweatshirt too.",2025-02-16,initial,7
Costco,2025-02-15 09:00:00,Y29tbWVudDoxMDQ0ODExNzY0MzQzNjUzXzEwMDQwMjQxMjQ5NDgyNDI=,,We need some cat sized ones,2025-02-16,initial,1
Costco,2025-02-15 09:00:00,Y29tbWVudDoxMDQ0ODExNzY0MzQzNjUzXzY1MDcxNzY3NDI4MjA4Nw==,,Adorable,2025-02-16,initial,1
Costco,2025-02-15 09:00:00,Y29tbWVudDoxMDQ0ODExNzY0MzQzNjUzXzEyMTg1Mjc0OTM2MDg2MDA=,,Awww so adorable,2025-02-16,initial,2
Costco,2025-02-15 09:00:00,Y29tbWVudDoxMDQ0ODExNzY0MzQzNjUzXzEwMTUxNzQ2NDA2NTM1OTU=,,"Can you make then for big dogs, our Great Dane is about 6ft tall when he stands on his back legs and weighs about 135lbs. So something bigger please",2025-02-16,initial,6
Costco,2025-02-15 09:00:00,Y29tbWVudDoxMDQ0ODExNzY0MzQzNjUzXzk4MDUxMjYyMzU5NjUyOQ==,Y29tbWVudDoxMDQ0ODExNzY0MzQzNjUzXzEwMTUxNzQ2NDA2NTM1OTU=,Anthony- We appreciate the feedback. We'll be sure to inform our buyers that you'd like to see larger sizes in the Kirkland Signature™ Pet Hoodies. Thanks for posting! -Bekah,2025-02-23,reply,0
Costco,2025-02-15 09:00:00,Y29tbWVudDoxMDQ0ODExNzY0MzQzNjUzXzYwMTQyNzI3OTQ3ODMzMA==,,"Love there sweatshirts, JuneBug wears them all the time.",2025-02-16,initial,4
Costco,2025-02-15 09:00:00,Y29tbWVudDoxMDQ0ODExNzY0MzQzNjUzXzkzODAyMDYxMTc4MDcyMg==,,Madi in her Costco hoodie. It’s so comfy.,2025-02-16,initial,6
Costco,2025-02-15 09:00:00,Y29tbWVudDoxMDQ0ODExNzY0MzQzNjUzXzk1MTM1NTE2NzEwODM4Mw==,Y29tbWVudDoxMDQ0ODExNzY0MzQzNjUzXzk4NDI3MDQ0OTc2MzU1MQ==,Cutie,2025-02-16,reply,0
Costco,2025-02-15 09:00:00,Y29tbWVudDoxMDQ0ODExNzY0MzQzNjUzXzU1OTUwNjMyNzEzNDAyMQ==,,A dog is not just an animal it is a loyal companion and a true part of human life Their unconditional love loyalty and companionship bring joy and comfort to every moment A dog is not just a pet it’s family,2025-02-16,initial,0
Costco,2025-02-15 09:00:00,Y29tbWVudDoxMDQ0ODExNzY0MzQzNjUzXzEzMzI4NjI5NzQ4MzMzODg=,,"What a pretty pup! Nola 
s her as well!",2025-02-16,initial,5
Costco,2025-02-15 09:00:00,Y29tbWVudDoxMDQ0ODExNzY0MzQzNjUzXzI2NjI1NDM2MTM5Mzk3Nzc=,,Please add scan and go!,2025-02-16,initial,2
Costco,2025-02-15 09:00:00,Y29tbWVudDoxMDQ0ODExNzY0MzQzNjUzXzYxMTM5MDUzMTYwMzYxOQ==,,Cuteness overload!,2025-02-16,initial,2
Costco,2025-02-15 09:00:00,Y29tbWVudDoxMDQ0ODExNzY0MzQzNjUzXzEzMDY0NTU2MzA1OTEyOTk=,,Atari has been sporting his since Christmas!,2025-02-16,initial,7
