company_name,post_date,id,parent_id,comment_text,comment_date,comment_type,reaction_count
Delta,2025-02-28 12:10:00,Y29tbWVudDoxMDMyODk4ODA1NTI1Njk4XzE4MDkwMzQ2NzMyNTM2NzU=,,"Very disappointed in Delta Air Lines! Last month my daughter and I traveled from Houston to Atlanta, our luggage was put on the wrong flight, that was later canceled and our luggage never left Houston! I had to shop for clothes to get us through our 2 … See more",2025-03-01,initial,20
Delta,2025-02-28 12:10:00,Y29tbWVudDoxMDMyODk4ODA1NTI1Njk4XzE2MzU2NzQ3MjA0MDg2Mzc=,Y29tbWVudDoxMDMyODk4ODA1NTI1Njk4XzE4MDkwMzQ2NzMyNTM2NzU=,"Hello, It's unfortunate for the challenge encountered. We would like to closely took at the concern raised. Please, share with us via DM your phone number to allow us probe further.",2025-03-01,reply,1
Delta,2025-02-28 12:10:00,Y29tbWVudDoxMDMyODk4ODA1NTI1Njk4XzE1NzYyMjUyOTk3NDM0NDA=,,"My luggage had been completely gone through, what a mess was left, every zippered pouch was opened, all my items were opened and leaking and Someone Stole My Clothes. I'm so heartbroken 
. I attended my Son's destination wedding in Cancun, Mexico Feb… See more",2025-03-01,initial,18
Delta,2025-02-28 12:10:00,Y29tbWVudDoxMDMyODk4ODA1NTI1Njk4XzMwODgwNDQ3NDQ2Njg1NTc=,Y29tbWVudDoxMDMyODk4ODA1NTI1Njk4XzE1NzYyMjUyOTk3NDM0NDA=,Send us your booking reference via DM along with as much information as possible so we can take a closer look. We'll also need you to confirm your full name and contact details. We may need to ask you a few more questions for data protection.,2025-03-01,reply,1
Delta,2025-02-28 12:10:00,Y29tbWVudDoxMDMyODk4ODA1NTI1Njk4XzEzMDUwMzQwMjQxMTAxMTA=,,"I’m currently on board right now and hopefully we taking off soon with this delay I missed all my connect flights and cost me one day of my trip, my hotel, my car reservation etc. in Thailand. I don’t fly United Airlines because of this problem with ou… See more",2025-03-08,initial,15
Delta,2025-02-28 12:10:00,Y29tbWVudDoxMDMyODk4ODA1NTI1Njk4XzEwMzkwMjAxODQ3MzI2MDE=,Y29tbWVudDoxMDMyODk4ODA1NTI1Njk4XzEzMDUwMzQwMjQxMTAxMTA=,"We sincerely apologizes for any inconvenience caused, share your reachable phone number and your email address for further check thank you.",2025-03-08,reply,1
Delta,2025-02-28 12:10:00,Y29tbWVudDoxMDMyODk4ODA1NTI1Njk4XzQ4NDExMTUwNDc2MjM0NA==,Y29tbWVudDoxMDMyODk4ODA1NTI1Njk4XzEzMDUwMzQwMjQxMTAxMTA=,"Hello ,we are deeply sorry for making you feel that way, it was never our intention but we would like to closely look at the concern raised. Please DM your reachable Whatsapp number we connect you with an agent who can assist. Thank you",2025-03-08,reply,0
Delta,2025-02-28 12:10:00,Y29tbWVudDoxMDMyODk4ODA1NTI1Njk4XzUxMzYyNjA4NDc2MTYwMw==,,Delta Air lines is the company for you if you want bad service. They make excuses for their bad service. They have bad customer service after you become a customer. Supervisor will hang up on you when you complain about their service. They give more … See more,2025-03-08,initial,4
Delta,2025-02-28 12:10:00,Y29tbWVudDoxMDMyODk4ODA1NTI1Njk4XzUxMDg0MDMwODQxMzkxMA==,Y29tbWVudDoxMDMyODk4ODA1NTI1Njk4XzUxMzYyNjA4NDc2MTYwMw==,"Hello , It's unfortunate for the challenge encountered. We would like to closely look at the concern raised. Please, share with us via DM your phone number to allow us probe further....",2025-03-08,reply,1
Delta,2025-02-28 12:10:00,Y29tbWVudDoxMDMyODk4ODA1NTI1Njk4XzUzNTMwNzAzNTcxOTk5MQ==,,Disappointed I now have to purchase premium economy or higher if I want two bags for free instead of one when traveling to Ghana. It wasn’t like this before.,2025-03-01,initial,9
