company_name,post_date,id,parent_id,comment_text,comment_date,comment_type,reaction_count
Google,2025-02-19 06:22:00,Y29tbWVudDoxMTg2ODY4ODg5NDYxMjEwXzE2NDY1OTI0MzYyMTkxMDE=,,Stop the steal It's and always will be the GULF OF MEXICO,2025-04-06,unknown,0
Google,2025-02-19 06:22:00,Y29tbWVudDoxMTgxODYyNTYzMjk1MTc2XzkzOTk5NTYzMTY3NTExMQ==,,"Hi Google! What’s the deal with you these days? Removing cultural celebrations from you calendar? Changing the name of the Gulf of Mexico, a body of water that has been so named for 4 centuries! Please explain yourself? What gives? Many of us would lik… Ver mais",2025-04-07,unknown,0
Google,2025-02-19 06:22:00,Y29tbWVudDoxMTgwNjc5NzUzNDEzNDU3XzU5OTg3NDY2OTYzNjM3OA==,,"Been using Android loyally for years but now im disappointed. Way to stand up to an orange bully. At least Apple is standing their ground for now. I'm downloading Waze and have disabled your map app, as it is flawed. An entire body of water in misnamed.",2025-04-08,unknown,0
Google,2025-02-19 06:22:00,Y29tbWVudDoxMTc4NjEzNTAzNjIwMDgyXzU2MTU1NTQ0MzU4MzY5MA==,,"Hi Google! What’s the deal with you these days? Removing cultural celebrations from you calendar? Changing the name of the Gulf of Mexico, a body of water that has been so named for 4 centuries! Please explain yourself? What gives? Many of us would lik… Ver mais",2025-04-07,unknown,0
Google,2025-02-19 06:22:00,Y29tbWVudDoxMTg2ODY4ODg5NDYxMjEwXzE2NDY1OTI0MzYyMTkxMDE=,,Stop the steal It's and always will be the GULF OF MEXICO,2025-04-06,unknown,0
Google,2025-02-19 06:22:00,Y29tbWVudDoxMTg2ODY4ODg5NDYxMjEwXzExMzg0MTYzODc1NTU3NTc=,,Mary Torres আপনি কি মেক্সিকো বসবাস করেন চুরি বন্ধ হওয়ার জন্য বিশ্বব্যাপী অগণিত পরিকল্পনা তৈরি হয়েছে,2025-04-06,unknown,0
Google,2025-02-19 06:22:00,Y29tbWVudDoxMTg2ODY4ODg5NDYxMjEwXzEwMTA3NzI4NTM4MDYxOTI=,,Mary Torres Mēri ṭōrēsa āpani ki mēksikō basabāsa karēna curi bandhēra jan'ya biśba nēṭa'ōẏārkēra gaṇanā karā haẏēchē,2025-04-06,unknown,0
Google,2025-02-19 06:22:00,Y29tbWVudDoxMTg2ODY4ODg5NDYxMjEwXzExNzM5MjkxNzA3ODY2Njg=,,"Mary Torres , it's been the Gulf of Mexico for 400 years. Am disappointed in Google for being such a toadie.",2025-04-06,unknown,0
Google,2025-02-19 06:22:00,Y29tbWVudDoxMTg2ODY4ODg5NDYxMjEwXzYzNjg5NjE1ODgyNDE4OA==,,I mean before y'all start changing the Gulf of Mexico to the Gulf of America you might want to work on your speech to text. I absolutely have no accent and it is the worst. Today instead of typing maturity it typed majority how in 2025 can this software not pick up the correct words is beyond me y'all need to do better.,2025-04-06,unknown,0
Google,2025-02-19 06:22:00,Y29tbWVudDoxMTg2ODY4ODg5NDYxMjEwXzg1NzkwMjEzNTg4NjY2NTE=,,Nin Ette,2025-04-06,unknown,0
