company_name,post_date,id,parent_id,comment_text,comment_date,comment_type,reaction_count
Target,2025-02-20 13:56:00,Y29tbWVudDoxMTg0MDQyMTUzMDgxMTc0XzEzMjUwMTU5NjU0ODk2MTM=,,Maybe I should plan my spring break around locations where I can find a Costco to shop at,2025-02-21,initial,651
Target,2025-02-20 13:56:00,Y29tbWVudDoxMTg0MDQyMTUzMDgxMTc0XzE2MTgxNjQzOTIxNjk4MjI=,Y29tbWVudDoxMTg0MDQyMTUzMDgxMTc0XzEzMjUwMTU5NjU0ODk2MTM=,"Locally owned small businesses also exist, in case you weren't aware. Life and commerce exist outside of corporate behemoths for the masses",2025-02-21,reply,29
Target,2025-02-20 13:56:00,Y29tbWVudDoxMTg0MDQyMTUzMDgxMTc0XzExNDA1NjE5MjQ1MTk0NjA=,Y29tbWVudDoxMTg0MDQyMTUzMDgxMTc0XzE2MTgxNjQzOTIxNjk4MjI=,yes!,2025-02-21,reply,2
Target,2025-02-20 13:56:00,Y29tbWVudDoxMTg0MDQyMTUzMDgxMTc0XzkzNjMwOTUxMjAyNTU1Mw==,Y29tbWVudDoxMTg0MDQyMTUzMDgxMTc0XzE2MTgxNjQzOTIxNjk4MjI=,"Forrest Gust not at reasonable or affordable prices, pal. Not everyone can afford the high cost that small businesses have to charge.",2025-02-28,reply,0
Target,2025-02-20 13:56:00,Y29tbWVudDoxMTg0MDQyMTUzMDgxMTc0XzE4MzQ4MTc0NzczNTkzODg=,Y29tbWVudDoxMTg0MDQyMTUzMDgxMTc0XzExNDA1NjE5MjQ1MTk0NjA=,Costco is THR new target for them,2025-02-21,reply,2
Target,2025-02-20 13:56:00,Y29tbWVudDoxMTg0MDQyMTUzMDgxMTc0XzYwNjg3OTcxMjE0OTQ2MA==,Y29tbWVudDoxMTg0MDQyMTUzMDgxMTc0XzE4MzQ4MTc0NzczNTkzODg=,JeNnIfEr LyNn Costco sucks,2025-02-28,reply,0
Target,2025-02-20 13:56:00,Y29tbWVudDoxMTg0MDQyMTUzMDgxMTc0Xzk4MDczMjExNjkyODYyMA==,Y29tbWVudDoxMTg0MDQyMTUzMDgxMTc0XzEzMjUwMTU5NjU0ODk2MTM=,Not all!,2025-02-21,reply,2
Target,2025-02-20 13:56:00,Y29tbWVudDoxMTg0MDQyMTUzMDgxMTc0XzE2OTA0NDc4MDg1NjMwODM=,Y29tbWVudDoxMTg0MDQyMTUzMDgxMTc0XzEzMjUwMTU5NjU0ODk2MTM=,shop at Costco that charges you to shop and keeps raising prices for membership and products.,2025-02-21,reply,1
Target,2025-02-20 13:56:00,Y29tbWVudDoxMTg0MDQyMTUzMDgxMTc0XzExNTQ0NTExNjI3OTUyMzk=,Y29tbWVudDoxMTg0MDQyMTUzMDgxMTc0XzEzMjUwMTU5NjU0ODk2MTM=,Costco has great clothes,2025-02-21,reply,16
Target,2025-02-20 13:56:00,Y29tbWVudDoxMTg0MDQyMTUzMDgxMTc0XzI0NTg1ODE0NTQ0ODI3NTc=,Y29tbWVudDoxMTg0MDQyMTUzMDgxMTc0XzExNTQ0NTExNjI3OTUyMzk=,yes they do,2025-02-28,reply,0
Target,2025-02-20 13:56:00,Y29tbWVudDoxMTg0MDQyMTUzMDgxMTc0XzYwMTE3MzA5OTQ0OTE3MA==,Y29tbWVudDoxMTg0MDQyMTUzMDgxMTc0XzEzMjUwMTU5NjU0ODk2MTM=,lmao. Your opinion isn’t the only one that everyone shares. Many many people are happy and have started shopping there now. You gotta be pretty self absorbed to think that you know the thoughts of every American…,2025-02-21,reply,8
