company_name,post_date,id,parent_id,comment_text,comment_date,comment_type,reaction_count
Target,2025-01-24 08:17:00,Y29tbWVudDoxMTY0NjU3NjQxNjg2MjkyXzEzMTk4NjMyMjI3NjU3Mzk=,,You said inclusivity was a core belief at Target.,2025-01-24,initial,1100
Target,2025-01-24 08:17:00,Y29tbWVudDoxMTY0NjU3NjQxNjg2MjkyXzU4OTM4MjkwMzg5MjgyMw==,Y29tbWVudDoxMTY0NjU3NjQxNjg2MjkyXzEzMTk4NjMyMjI3NjU3Mzk=,maybe when it was profitable but now they gotta make Spot roll over. Can’t stand all these companies bowing down to orange monsters.,2025-01-24,reply,116
Target,2025-01-24 08:17:00,Y29tbWVudDoxMTY0NjU3NjQxNjg2MjkyXzExNDM3MzE3MDAwMTEyMTI=,Y29tbWVudDoxMTY0NjU3NjQxNjg2MjkyXzU4OTM4MjkwMzg5MjgyMw==,we won’t forget.,2025-01-24,reply,28
Target,2025-01-24 08:17:00,Y29tbWVudDoxMTY0NjU3NjQxNjg2MjkyXzI3MjY1MzYwNzEwNjg2MDY=,Y29tbWVudDoxMTY0NjU3NjQxNjg2MjkyXzEzMTk4NjMyMjI3NjU3Mzk=,they sure did.,2025-01-24,reply,15
Target,2025-01-24 08:17:00,Y29tbWVudDoxMTY0NjU3NjQxNjg2MjkyXzkwMTMxNjc0NzU0MTkxOTk=,Y29tbWVudDoxMTY0NjU3NjQxNjg2MjkyXzEzMTk4NjMyMjI3NjU3Mzk=,They lied.,2025-01-31,reply,17
Target,2025-01-24 08:17:00,Y29tbWVudDoxMTY0NjU3NjQxNjg2MjkyXzk2MjIxMjkyOTEyNTMxNg==,Y29tbWVudDoxMTY0NjU3NjQxNjg2MjkyXzEzMTk4NjMyMjI3NjU3Mzk=,they lied.,2025-01-31,reply,13
Target,2025-01-24 08:17:00,Y29tbWVudDoxMTY0NjU3NjQxNjg2MjkyXzEzNzAzNDU0MzA5OTY5MTc=,Y29tbWVudDoxMTY0NjU3NjQxNjg2MjkyXzEzMTk4NjMyMjI3NjU3Mzk=,they lied,2025-01-31,reply,7
Target,2025-01-24 08:17:00,Y29tbWVudDoxMTY0NjU3NjQxNjg2MjkyXzU5NjUwNjU3MzE1MzI1Mg==,Y29tbWVudDoxMTY0NjU3NjQxNjg2MjkyXzEzMTk4NjMyMjI3NjU3Mzk=,they lied,2025-01-31,reply,1
Target,2025-01-24 08:17:00,Y29tbWVudDoxMTY0NjU3NjQxNjg2MjkyXzc4OTA2MDg4MzQ0MjU4Mw==,Y29tbWVudDoxMTY0NjU3NjQxNjg2MjkyXzEzMTk4NjMyMjI3NjU3Mzk=,money is the core belief.,2025-02-07,reply,1
Target,2025-01-24 08:17:00,Y29tbWVudDoxMTY0NjU3NjQxNjg2MjkyXzY1ODkyMTIwMDAzNjUxNg==,,No DEI? Bye Target.,2025-01-24,initial,819
Target,2025-01-24 08:17:00,Y29tbWVudDoxMTY0NjU3NjQxNjg2MjkyXzk2NzMyNTE0MTQ2MjU0Ng==,,Is that what you call selling out and kissing the ring?,2025-01-24,initial,824
Target,2025-01-24 08:17:00,Y29tbWVudDoxMTY0NjU3NjQxNjg2MjkyXzk5MTQ1NzY5MzAxMjQyOA==,Y29tbWVudDoxMTY0NjU3NjQxNjg2MjkyXzk2NzMyNTE0MTQ2MjU0Ng==,", they are engaged in what authoritarianism expert Timothy Snyder refers to as “obeying in advance”.",2025-01-24,reply,39
Target,2025-01-24 08:17:00,Y29tbWVudDoxMTY0NjU3NjQxNjg2MjkyXzE0OTkwOTQxNTc2NzczNDc=,Y29tbWVudDoxMTY0NjU3NjQxNjg2MjkyXzk2NzMyNTE0MTQ2MjU0Ng==,"yes, that's exactly what you call it.",2025-01-24,reply,19
Target,2025-01-24 08:17:00,Y29tbWVudDoxMTY0NjU3NjQxNjg2MjkyXzEzMjcyNTI0ODE2MjAyNTY=,Y29tbWVudDoxMTY0NjU3NjQxNjg2MjkyXzk2NzMyNTE0MTQ2MjU0Ng==,yes,2025-01-31,reply,2
Target,2025-01-24 08:17:00,Y29tbWVudDoxMTY0NjU3NjQxNjg2MjkyXzYwMDgwMjQyNjAzMjc0OA==,Y29tbWVudDoxMTY0NjU3NjQxNjg2MjkyXzk2NzMyNTE0MTQ2MjU0Ng==,Collaborating.,2025-01-31,reply,0
Target,2025-01-24 08:17:00,Y29tbWVudDoxMTY0NjU3NjQxNjg2MjkyXzExMjQ1NzQxOTg4MDQ4NDY=,Y29tbWVudDoxMTY0NjU3NjQxNjg2MjkyXzk2NzMyNTE0MTQ2MjU0Ng==,Absolutely,2025-01-31,reply,2
