company_name,post_date,id,parent_id,comment_text,comment_date,comment_type,reaction_count,before_DEI,has_DEI,root_id,depth,sibling_count,time_since_root,cleaned_text,full_text,relevance,stance_dei_reviewer_01,purchase_intention_reviewer_01,stance_dei_reviewer_02,purchase_intention_reviewer_02,stance_dei_average,purchase_intention_average,stance_dei_label,purchase_intention_label
Target,2/2/25 11:06,Y29tbWVudDoxMTcxMzM2NDkxMDE4NDA3XzExMzM1OTk4OTQ5MzE5Mjk=,,The audacity,2/7/25,initial,0,0,0,Y29tbWVudDoxMTcxMzM2NDkxMDE4NDA3XzExMzM1OTk4OTQ5MzE5Mjk=,0,719,0 days,the audacity,the audacity,0,0 (Neutral/Unclear towards DEI),0 (Neutral/Unclear/No PI),0 (Neutral/Unclear towards DEI),0 (Neutral/Unclear/No PI),0,0,0,0
Costco,1/13/25 11:00,Y29tbWVudDoxMDIwNjM1NjYzNDI3OTMwXzEyNjM0Njg2MDgwOTQ3OTU=,,"Yummmmm.,",1/17/25,initial,0,1,1,Y29tbWVudDoxMDIwNjM1NjYzNDI3OTMwXzEyNjM0Njg2MDgwOTQ3OTU=,0,272,0 days,"yummmmm.,","yummmmm.,",0,0 (Neutral/Unclear towards DEI),0 (Neutral/Unclear/No PI),0 (Neutral/Unclear towards DEI),0 (Neutral/Unclear/No PI),0,0,0,0
Costco,2/9/25 9:00,Y29tbWVudDoxMDM5NjIyNDU0ODYyNTg0XzM2OTUyNzExMjkyMTUzOQ==,,How much,2/16/25,initial,0,0,1,Y29tbWVudDoxMDM5NjIyNDU0ODYyNTg0XzM2OTUyNzExMjkyMTUzOQ==,0,801,0 days,how much,how much,0,0 (Neutral/Unclear towards DEI),0 (Neutral/Unclear/No PI),0 (Neutral/Unclear towards DEI),0 (Neutral/Unclear/No PI),0,0,0,0
Costco,2/16/25 9:00,Y29tbWVudDoxMDQ1NjAzNjA0MjY0NDY5XzkwODU0Mjg4NDY4NzQzOQ==,,"That looks so good!!! It also looks like the largest piece of pizza I've ever seen, lol.",2/23/25,initial,1,0,1,Y29tbWVudDoxMDQ1NjAzNjA0MjY0NDY5XzkwODU0Mjg4NDY4NzQzOQ==,0,134,0 days,"that looks so good!!! it also looks like the largest piece of pizza i've ever seen, lol.","that looks so good!!! it also looks like the largest piece of pizza i've ever seen, lol.",0,0 (Neutral/Unclear towards DEI),0 (Neutral/Unclear/No PI),0 (Neutral/Unclear towards DEI),0 (Neutral/Unclear/No PI),0,0,0,0
Delta,2/13/25 9:30,Y29tbWVudDoxMDIxMzAxOTAwMDE4NzIyXzIwMDQ2MzM4MjAwMzI3OTA=,,"I have a friend who wanted to be a pilot for Delta Air Lines A350, I now wish he was back he died due to cancer. I try my hardest even as a New Zelander. I want to be a delta pilot to honor him, in everyday I can.",2/15/25,initial,0,0,1,Y29tbWVudDoxMDIxMzAxOTAwMDE4NzIyXzIwMDQ2MzM4MjAwMzI3OTA=,0,480,0 days,"i have a friend who wanted to be a pilot for delta air lines a350, i now wish he was back he died due to cancer. i try my hardest even as a new zelander. i want to be a delta pilot to honor him, in everyday i can.","i have a friend who wanted to be a pilot for delta air lines a350, i now wish he was back he died due to cancer. i try my hardest even as a new zelander. i want to be a delta pilot to honor him, in everyday i can.",0,0 (Neutral/Unclear towards DEI),0 (Neutral/Unclear/No PI),0 (Neutral/Unclear towards DEI),0 (Neutral/Unclear/No PI),0,0,0,0
Costco,2/11/25 9:00,Y29tbWVudDoxMDQxNzYyOTI3OTgxODcwXzExNTU4NjE1OTIzOTMyMTQ=,Y29tbWVudDoxMDQxNzYyOTI3OTgxODcwXzgyODIwNTI2Mjc4MjY5Mg==,another person who doesn’t understand DEI,2/16/25,reply,19,0,1,Y29tbWVudDoxMDQxNzYyOTI3OTgxODcwXzgyODIwNTI2Mjc4MjY5Mg==,1,12,0 days,another person who doesnt understand dei,how much money are your executives getting to hire dei people i stead of those who can do the job????? greedy much? → another person who doesnt understand dei,1,0 (Neutral/Unclear towards DEI),0 (Neutral/Unclear/No PI),0 (Neutral/Unclear towards DEI),0 (Neutral/Unclear/No PI),0,0,0,0
Costco,1/30/25 10:37,Y29tbWVudDoxMDMzMDc4OTQ1NTE2OTM1XzUzMTk1ODE3MjU2MDAxMQ==,Y29tbWVudDoxMDMzMDc4OTQ1NTE2OTM1XzExNjgxODQ1Njc5ODE1ODE=,"Enoch 98: 2For ye men shall put on more adornments than a woman, And coloured garments more than a virgin: In royalty and in grandeur and in power, And in silver and in gold and in purple, And in splendour and in food they shall be poured out as water. 3Therefore they shall be wanting in doctrine and wisdom, And they shall perish thereby together with their possessions; And with all their glory and their splendour, And in shame and in slaughter and in great destitution, Their spirits shall be cast into the furnace of fire.",2/1/25,reply,2,0,1,Y29tbWVudDoxMDMzMDc4OTQ1NTE2OTM1XzEzMzU2Njk4Nzc0NjM5MjM=,2,0,0 days,"enoch 98: 2for ye men shall put on more adornments than a woman, and coloured garments more than a virgin: in royalty and in grandeur and in power, and in silver and in gold and in purple, and in splendour and in food they shall be poured out as water. 3therefore they shall be wanting in doctrine and wisdom, and they shall perish thereby together with their possessions; and with all their glory and their splendour, and in shame and in slaughter and in great destitution, their spirits shall be cast into the furnace of fire.","we canceled our costco membership after 25 years. we went into the store to ask a full refund! they complied. → oh thank god! so happy to hear this move by the amazing costco is weeding out people like you. → enoch 98: 2for ye men shall put on more adornments than a woman, and coloured garments more than a virgin: in royalty and in grandeur and in power, and in silver and in gold and in purple, and in splendour and in food they shall be poured out as water. 3therefore they shall be wanting in doctrine and wisdom, and they shall perish thereby together with their possessions; and with all their glory and their splendour, and in shame and in slaughter and in great destitution, their spirits shall be cast into the furnace of fire.",0,0 (Neutral/Unclear towards DEI),0 (Neutral/Unclear towards DEI),0 (Neutral/Unclear towards DEI),0 (Neutral/Unclear towards DEI),0,0,0,0
Delta,2/18/25 6:49,Y29tbWVudDoxMDI1MDcyNTEyOTc0OTk0XzE2MTk5MjkzMzg2MTYzNDQ=,,Passengers must have seat belts on at all times. Could any one imagine what might have happened with this Delta flight in Pearson Airport in Toronto?,2/22/25,initial,0,0,1,Y29tbWVudDoxMDI1MDcyNTEyOTc0OTk0XzE2MTk5MjkzMzg2MTYzNDQ=,0,510,0 days,passengers must have seat belts on at all times. could any one imagine what might have happened with this delta flight in pearson airport in toronto?,passengers must have seat belts on at all times. could any one imagine what might have happened with this delta flight in pearson airport in toronto?,0,0 (Neutral/Unclear towards DEI),0 (Neutral/Unclear/No PI),0 (Neutral/Unclear towards DEI),0 (Neutral/Unclear/No PI),0,0,0,0
Target,1/30/25 7:55,Y29tbWVudDoxMTY5MDA3NTk0NTg0NjMwXzEwMjA0OTQ5MDk4OTE3OTE=,Y29tbWVudDoxMTY5MDA3NTk0NTg0NjMwXzYzODI4MjkxMjAyODkyMg==,no we just keeping our money in our pocket.,1/31/25,reply,30,0,0,Y29tbWVudDoxMTY5MDA3NTk0NTg0NjMwXzYzODI4MjkxMjAyODkyMg==,1,5,0 days,no we just keeping our money in our pocket.,lol so many butthurt people keep coming back to the comments section just to get mad and comment more. keep target rent free in your heads! i love it! → no we just keeping our money in our pocket.,0,0 (Neutral/Unclear towards DEI),-1 (Boycott/Negative),0 (Neutral/Unclear towards DEI),-1 (Boycott/Negative),0,-1,0,-1
Target,2/2/25 11:06,Y29tbWVudDoxMTcxMzM2NDkxMDE4NDA3XzEyODA4MDE3NTk4NDMzMTE=,,"Drop DEI and want to peddle Black History Merch? Nope. Done with you, Target.",2/7/25,initial,3,0,0,Y29tbWVudDoxMTcxMzM2NDkxMDE4NDA3XzEyODA4MDE3NTk4NDMzMTE=,0,719,0 days,"drop dei and want to peddle black history merch? nope. done with you, target.","drop dei and want to peddle black history merch? nope. done with you, target.",1,1 (Pro-DEI),-1 (Boycott/Negative),1 (Pro-DEI),-1 (Boycott/Negative),1,-1,1,-1
Costco,1/18/25 12:00,Y29tbWVudDoxMDI0MzM4NTg2MzkwOTcxXzEwNDMwODc3NTc2NjYxNjQ=,Y29tbWVudDoxMDI0MzM4NTg2MzkwOTcxXzEyODIzNjk5MTI5NzAxMjA=,"Imelda, noted, thanks for sharing your interest!",1/24/25,reply,0,0,1,Y29tbWVudDoxMDI0MzM4NTg2MzkwOTcxXzEyODIzNjk5MTI5NzAxMjA=,1,0,0 days,"imelda, noted, thanks for sharing your interest!","hey costco! could you bring more product like asian foods? → imelda, noted, thanks for sharing your interest!",0,0 (Neutral/Unclear towards DEI),0 (Neutral/Unclear/No PI),0 (Neutral/Unclear towards DEI),0 (Neutral/Unclear towards DEI),0,0,0,0
Delta,2/17/25 14:08,Y29tbWVudDoxMDI0NTU2NjI5NjkzMjQ5Xzk1NzA4Mzg0MjgxNDk3Nw==,,Much of Bastian’s compensation was a one-off payment for his lengthy service towards the airline and an incentivized bonus for guiding the airline smoothly through the COVID pandemic.,2/22/25,initial,0,0,1,Y29tbWVudDoxMDI0NTU2NjI5NjkzMjQ5Xzk1NzA4Mzg0MjgxNDk3Nw==,0,540,0 days,much of bastians compensation was a one-off payment for his lengthy service towards the airline and an incentivized bonus for guiding the airline smoothly through the covid pandemic.,much of bastians compensation was a one-off payment for his lengthy service towards the airline and an incentivized bonus for guiding the airline smoothly through the covid pandemic.,0,0 (Neutral/Unclear towards DEI),0 (Neutral/Unclear/No PI),0 (Neutral/Unclear towards DEI),0 (Neutral/Unclear/No PI),0,0,0,0
Costco,1/27/25 15:18,Y29tbWVudDoxMDMxMDIyMzcyMzg5MjU5XzIzODI2NzkyMTIwOTgyMzk=,,"END DEI! DISCRIMINATION, EXCLUSION, AND INEQUALITY! DEI IS DEAD!",2/1/25,initial,5,0,1,Y29tbWVudDoxMDMxMDIyMzcyMzg5MjU5XzIzODI2NzkyMTIwOTgyMzk=,0,899,0 days,"end dei! discrimination, exclusion, and inequality! dei is dead!","end dei! discrimination, exclusion, and inequality! dei is dead!",1,-1 (Anti-DEI),0 (Neutral/Unclear/No PI),-1 (Anti-DEI),0 (Neutral/Unclear/No PI),-1,0,-1,0
Delta,2/18/25 6:49,Y29tbWVudDoxMDI1MDcyNTEyOTc0OTk0Xzk0Mjc5NDc5NDI5MTM5Nw==,Y29tbWVudDoxMDI1MDcyNTEyOTc0OTk0XzExNjkyMTAzNjg1MzkzNTA=,"My toughts and My Prayers are with the Passengers and the crew, I think the crew did a wonderful job",2/22/25,reply,0,0,1,Y29tbWVudDoxMDI1MDcyNTEyOTc0OTk0XzExNjkyMTAzNjg1MzkzNTA=,1,6,0 days,"my toughts and my prayers are with the passengers and the crew, i think the crew did a wonderful job","amazing there were no fatalities. kudos to the crew and delta! → my toughts and my prayers are with the passengers and the crew, i think the crew did a wonderful job",0,0 (Neutral/Unclear towards DEI),0 (Neutral/Unclear/No PI),0 (Neutral/Unclear towards DEI),0 (Neutral/Unclear/No PI),0,0,0,0
Costco,2/5/25 10:15,Y29tbWVudDoxMDM3NDU4MTExNzQ1Njg1XzEzMjMzOTc2MjU0NTU1MDk=,,Jeffrey Hickerson,2/9/25,initial,0,0,1,Y29tbWVudDoxMDM3NDU4MTExNzQ1Njg1XzEzMjMzOTc2MjU0NTU1MDk=,0,293,0 days,jeffrey hickerson,jeffrey hickerson,0,0 (Neutral/Unclear towards DEI),0 (Neutral/Unclear/No PI),0 (Neutral/Unclear towards DEI),0 (Neutral/Unclear/No PI),0,0,0,0
Costco,2/9/25 9:00,Y29tbWVudDoxMDM5NjIyNDU0ODYyNTg0XzY0NjQ1MTkzMTA1Njg3OA==,,Costco Japan || Japanese Holiday Vlog|| Housewife daily life Japan vlog with Hap’s #ourlifeinjapan,2/16/25,initial,0,0,1,Y29tbWVudDoxMDM5NjIyNDU0ODYyNTg0XzY0NjQ1MTkzMTA1Njg3OA==,0,801,0 days,costco japan || japanese holiday vlog|| housewife daily life japan vlog with haps #ourlifeinjapan,costco japan || japanese holiday vlog|| housewife daily life japan vlog with haps #ourlifeinjapan,0,0 (Neutral/Unclear towards DEI),0 (Neutral/Unclear/No PI),0 (Neutral/Unclear towards DEI),0 (Neutral/Unclear/No PI),0,0,0,0
Delta,2/19/25 14:53,Y29tbWVudDoxMDI2MTU4MjY5NTMzMDg1XzE2ODkzMzQwNTE5MzY0NTg=,,"The CEO of Delta Airlines greatly disappointed Gale the CBS Leftist as he would not cow-tow to her political agenda of trying to blame Donald Trump for anything and everything. To his credit, he actually spoke up on behalf of the efforts of the new administration. That said, the public needs to know more information about what happened in Toronto and whether this was DEI related. And rest assured the public is tired of the DEI garbage being pushed. And it has zero, DEI has zero, place in the airline industry. ￼",2/22/25,initial,2,0,1,Y29tbWVudDoxMDI2MTU4MjY5NTMzMDg1XzE2ODkzMzQwNTE5MzY0NTg=,0,422,0 days,"the ceo of delta airlines greatly disappointed gale the cbs leftist as he would not cow-tow to her political agenda of trying to blame donald trump for anything and everything. to his credit, he actually spoke up on behalf of the efforts of the new administration. that said, the public needs to know more information about what happened in toronto and whether this was dei related. and rest assured the public is tired of the dei garbage being pushed. and it has zero, dei has zero, place in the airline industry.","the ceo of delta airlines greatly disappointed gale the cbs leftist as he would not cow-tow to her political agenda of trying to blame donald trump for anything and everything. to his credit, he actually spoke up on behalf of the efforts of the new administration. that said, the public needs to know more information about what happened in toronto and whether this was dei related. and rest assured the public is tired of the dei garbage being pushed. and it has zero, dei has zero, place in the airline industry.",1,-1 (Anti-DEI),0 (Neutral/Unclear/No PI),-1 (Anti-DEI),0 (Neutral/Unclear/No PI),-1,0,-1,0
Costco,1/18/25 9:00,Y29tbWVudDoxMDI0MjMzMTM2NDAxNTE2XzY2NDYwMDUzMjU1OTM0Mg==,Y29tbWVudDoxMDI0MjMzMTM2NDAxNTE2XzIxNDQ5MDk5MTU5MjUxODI=,"That isn't what DEI does. Stop listening to Faux ""news"".",1/31/25,reply,2,0,1,Y29tbWVudDoxMDI0MjMzMTM2NDAxNTE2XzIxNDQ5MDk5MTU5MjUxODI=,1,0,0 days,"that isn't what dei does. stop listening to faux ""news"".","""i have a dream that someday all men will be judged by the content of their character, not the color of their skin"" ~martin luther king~ he was right. you're not. → that isn't what dei does. stop listening to faux ""news"".",1,1 (Pro-DEI),0 (Neutral/Unclear/No PI),1 (Pro-DEI),0 (Neutral/Unclear/No PI),1,0,1,0
Google,2/6/25 10:26,Y29tbWVudDoxMTc3ODI4ODM3MDMxODgyXzExNTQzNjM1ODMzNjQ3Mzc=,Y29tbWVudDoxMTc3ODI4ODM3MDMxODgyXzM4OTcxMDM3MzA1NDk1MzY=,Love your comment. I agree!!!,2/20/25,reply,0,0,0,Y29tbWVudDoxMTc3ODI4ODM3MDMxODgyXzM4OTcxMDM3MzA1NDk1MzY=,1,1,7 days,love your comment. i agree!!!,"quit changing history because of that idiot!the gulf of mexico has been named since the 16th century, when spanish explorers began to map the region following the arrival of hernn cortes in 1519. the term arises because this vast expanse of water was located east of the lands we know today as mexico, which were then dominated by the mexican empire. → love your comment. i agree!!!",0,0 (Neutral/Unclear towards DEI),0 (Neutral/Unclear/No PI),0 (Neutral/Unclear towards DEI),0 (Neutral/Unclear/No PI),0,0,0,0
Costco,2/22/25 13:00,Y29tbWVudDoxMDUwNDM1MDc3MTE0NjU1XzYxNjg5OTkyNzc1MDM1NQ==,,Interesting price on that label…,2/23/25,initial,1,0,1,Y29tbWVudDoxMDUwNDM1MDc3MTE0NjU1XzYxNjg5OTkyNzc1MDM1NQ==,0,103,0 days,interesting price on that label...,interesting price on that label...,0,0 (Neutral/Unclear towards DEI),0 (Neutral/Unclear/No PI),0 (Neutral/Unclear towards DEI),0 (Neutral/Unclear/No PI),0,0,0,0
Costco,2/9/25 9:00,Y29tbWVudDoxMDQwMzExMDU0NzkzNzI0XzEwNjM1OTA5NjkxMTYyMzU=,Y29tbWVudDoxMDQwMzExMDU0NzkzNzI0XzE3NjM0NTc4MjQ0NDU3Mjc=,"not yet, it’s early",2/9/25,reply,1,0,1,Y29tbWVudDoxMDQwMzExMDU0NzkzNzI0XzE2NDc0OTgxODI1MjAxMzQ=,2,4,0 days,"not yet, its early","dei is discriminatory by design → cry about it → not yet, its early",1,0 (Neutral/Unclear towards DEI),0 (Neutral/Unclear/No PI),0 (Neutral/Unclear towards DEI),0 (Neutral/Unclear/No PI),0,0,0,0
Delta,2/18/25 6:49,Y29tbWVudDoxMDI1MDcyNTEyOTc0OTk0XzEzNDUyMzIwOTMxNjczNDc=,,I’ve flown Delta loyally since 2004. Everyone at this company is truly world class. I could not imagine flying on another airline.,2/22/25,initial,4,0,1,Y29tbWVudDoxMDI1MDcyNTEyOTc0OTk0XzEzNDUyMzIwOTMxNjczNDc=,0,510,0 days,ive flown delta loyally since 2004. everyone at this company is truly world class. i could not imagine flying on another airline.,ive flown delta loyally since 2004. everyone at this company is truly world class. i could not imagine flying on another airline.,0,0 (Neutral/Unclear towards DEI),1 (Buy/Positive),0 (Neutral/Unclear towards DEI),1 (Buy/Positive),0,1,0,1
Google,2/6/25 10:26,Y29tbWVudDoxMTc3ODI4ODM3MDMxODgyXzIwMzg2OTAwMzMyNjcwNDU=,Y29tbWVudDoxMTc3ODI4ODM3MDMxODgyXzEzNjY0NjkzNjc2ODA4OTA=,everything will be change so soon,2/27/25,reply,0,0,0,Y29tbWVudDoxMTc3ODI4ODM3MDMxODgyXzg1NTAyMjQ5NjY4Njk3OA==,4,0,14 days,everything will be change so soon,ugh. time to message apple as well! → changed on apple maps too. unbelievable. → everything will be change so soon,0,0 (Neutral/Unclear towards DEI),-1 (Boycott/Negative),0 (Neutral/Unclear towards DEI),0 (Neutral/Unclear/No PI),0,-0.5,0,0
Delta,2/27/25 8:00,Y29tbWVudDoxMDMxOTE0NzAyMjkwNzc1XzU2NzE1NTcwOTY4OTExOQ==,,I’m in,3/1/25,initial,1,0,1,Y29tbWVudDoxMDMxOTE0NzAyMjkwNzc1XzU2NzE1NTcwOTY4OTExOQ==,0,69,0 days,im in,im in,0,0 (Neutral/Unclear towards DEI),0 (Neutral/Unclear/No PI),0 (Neutral/Unclear towards DEI),0 (Neutral/Unclear/No PI),0,0,0,0
Target,2/15/25 9:09,Y29tbWVudDoxMTgwMjgyNjczNDU3MTIyXzY1MDc2MzEwNDA0MTIxNw==,,"Sadly, I will not return to target either. I have things that I will not stand for because I’ve seen it in the workplace on the 70s how women were treated how I was treated. This doesn’t work for me if they are not going to support DEI. It’s a good st… See more",2/21/25,initial,3,0,0,Y29tbWVudDoxMTgwMjgyNjczNDU3MTIyXzY1MDc2MzEwNDA0MTIxNw==,0,114,0 days,"sadly, i will not return to target either. i have things that i will not stand for because ive seen it in the workplace on the 70s how women were treated how i was treated. this doesnt work for me if they are not going to support dei. its a good st... see more","sadly, i will not return to target either. i have things that i will not stand for because ive seen it in the workplace on the 70s how women were treated how i was treated. this doesnt work for me if they are not going to support dei. its a good st... see more",1,1 (Pro-DEI),-1 (Boycott/Negative),1 (Pro-DEI),-1 (Boycott/Negative),1,-1,1,-1
Costco,2/4/25 9:00,Y29tbWVudDoxMDM2NzI0ODA4NDg1NjgyXzEzMzk2OTgzMTc0NTg5NjA=,Y29tbWVudDoxMDM2NzI0ODA4NDg1NjgyXzE4Mzc3ODg5MTAzMjg1MDA=,If DEI policies result in preferential discriminatory practices in any way…then COSTCO is in serious legal trouble.,2/9/25,reply,0,0,1,Y29tbWVudDoxMDM2NzI0ODA4NDg1NjgyXzE4Mzc3ODg5MTAzMjg1MDA=,1,0,0 days,if dei policies result in preferential discriminatory practices in any way...then costco is in serious legal trouble.,"we costco! thank you for supporting diversity, equity and inclusion. i've been a longtime member, and will continue to support companies like yours. → if dei policies result in preferential discriminatory practices in any way...then costco is in serious legal trouble.",1,-1 (Anti-DEI),1 (Buy/Positive),-1 (Anti-DEI),1 (Buy/Positive),-1,0,-1,0
Google,3/4/25 9:52,Y29tbWVudDoxMTk2NTM4MjYxODI3NjA2XzM1MjMwMDU4MTQ0OTk2Nzk=,,Feliz atardecer,3/13/25,initial,0,0,0,Y29tbWVudDoxMTk2NTM4MjYxODI3NjA2XzM1MjMwMDU4MTQ0OTk2Nzk=,0,72,0 days,feliz atardecer,feliz atardecer,0,0 (Neutral/Unclear towards DEI),0 (Neutral/Unclear/No PI),0 (Neutral/Unclear towards DEI),0 (Neutral/Unclear/No PI),0,0,0,0
