task_id,company_name,post_date,comment_id,parent_id,comment_text,comment_date,comment_type,reaction_count,before_DEI,has_DEI,root_id,depth,sibling_count,time_since_root,cleaned_text,full_text,reviewer_01,reviewer_02,relevance_average,relevance_label
323,Delta,1/22/2025 9:00,Y29tbWVudDoxMDA1NjUzODk0OTE2ODU2XzE1MTU5NTMwNzU3NTcxNjE=,,Airlines VIP lounges at ICN,1/24/2025,initial,0,1,1,Y29tbWVudDoxMDA1NjUzODk0OTE2ODU2XzE1MTU5NTMwNzU3NTcxNjE=,0,183,0 days,airlines vip lounges at icn,airlines vip lounges at icn,0,0,0,0
438,Delta,1/22/2025 9:00,Y29tbWVudDoxMDA1NjUzODk0OTE2ODU2XzEzMDMyODU5MDc1ODI2NDU=,,Red light,1/24/2025,initial,1,1,1,Y29tbWVudDoxMDA1NjUzODk0OTE2ODU2XzEzMDMyODU5MDc1ODI2NDU=,0,183,0 days,red light,red light,0,0,0,0
481,Delta,1/22/2025 9:00,Y29tbWVudDoxMDA1NjUzODk0OTE2ODU2XzI4MTY5MDc0MDU2MDczOTY0,,"Expose Corruption, Civil Rights Violations, Judges, Cps",1/31/2025,initial,0,1,1,Y29tbWVudDoxMDA1NjUzODk0OTE2ODU2XzI4MTY5MDc0MDU2MDczOTY0,0,183,0 days,"expose corruption, civil rights violations, judges, cps","expose corruption, civil rights violations, judges, cps",0,0,0,0
102,Delta,1/22/2025 9:00,Y29tbWVudDoxMDA1NjUzODk0OTE2ODU2XzUyODc0NTkyMzAyNzYyMw==,Y29tbWVudDoxMDA1NjUzODk0OTE2ODU2XzE2NjY5NDA2NDQwMzM2NDI=,ableism is real. So sorry for your experience!,2/21/2025,reply,0,0,1,Y29tbWVudDoxMDA1NjUzODk0OTE2ODU2XzE1MzkxMDU3NDM0MTgwNzM=,3,0,28 days,ableism is real. so sorry for your experience!,"the wheel chair services are airport employees mostly from african countries and they arent always the friendliest. → interesting, but the problem arent the wheelchairs, its about that i carry my own because i need it (i am a disabled person) and because of that they didnt want to help me. i even have to pulled my own suitcases from the moving band. → ableism is real. so sorry for your experience!",1,1,1,1
120,Delta,1/22/2025 9:00,Y29tbWVudDoxMDA1NjUzODk0OTE2ODU2Xzk2MjA2NTMxODc1ODYxMA==,,A chiropractor after taking Delta there....,1/31/2025,initial,2,1,1,Y29tbWVudDoxMDA1NjUzODk0OTE2ODU2Xzk2MjA2NTMxODc1ODYxMA==,0,183,0 days,a chiropractor after taking delta there....,a chiropractor after taking delta there....,0,0,0,0
190,Delta,2/3/2025 12:34,Y29tbWVudDoxMDE0MzQ4OTcwNzE0MDE1XzExMzA4NjY2MTUyMDAzMzA=,Y29tbWVudDoxMDE0MzQ4OTcwNzE0MDE1XzU5MDQyNjg1NzEzODg3Mg==,Mark Smith Careline I’m not WhatsApping anything.,2/7/2025,reply,0,0,1,Y29tbWVudDoxMDE0MzQ4OTcwNzE0MDE1XzE2NTQzMzcxMjg0OTQ3MjU=,2,0,0 days,mark smith careline im not whatsapping anything.,"do whatever it takes to avoid delta air lines. 2 hour delay this morning on the tarmac, missed my connecting flight, rescheduled for another flight with a layover and guess what, delayed again! never again will i fly delta. → recommendation was to cancel my trip and get a refund..... i dont think theyre even trying to help. you flew me across the country and switched my flights several times now which stuck me at lax with another delayed flight. freaking joke. → mark smith careline im not whatsapping anything.",0,0,0,0
426,Costco,1/9/2025 9:00,Y29tbWVudDoxMDE3MTA5MzAzNzgwNTY2XzYyNTM2Mzc1MDE1NjA4MQ==,Y29tbWVudDoxMDE3MTA5MzAzNzgwNTY2XzI0MDk1ODQyNzI3Mzc4MTI=,"The Sun is your source?
 https://mediabiasfactcheck.com/the-sun/",1/10/2025,reply,4,1,1,Y29tbWVudDoxMDE3MTA5MzAzNzgwNTY2XzI0MDk1ODQyNzI3Mzc4MTI=,1,3,0 days,the sun is your source? <url>,this is why i will never pay to shop at a store where the prices are in most instances higher that other stores and you are treated like cattle on top of it. <url> → the sun is your source? <url>,0,0,0,0
124,Costco,1/10/2025 10:01,Y29tbWVudDoxMDE4NTI1NDQzNjM4OTUyXzQ4NDYyMTY4NDY3NTkzNg==,,Just bought this and it is good!,1/17/2025,initial,4,1,1,Y29tbWVudDoxMDE4NTI1NDQzNjM4OTUyXzQ4NDYyMTY4NDY3NTkzNg==,0,72,0 days,just bought this and it is good!,just bought this and it is good!,0,0,0,0
64,Delta,2/10/2025 9:02,Y29tbWVudDoxMDE5MTM4MTMzNTY4NDMyXzExNjI3OTY4MjUxOTQxNDg=,,Delta CEO Ed Bastian Delta Air Lines Scarifies women in blood sport,2/22/2025,initial,0,0,1,Y29tbWVudDoxMDE5MTM4MTMzNTY4NDMyXzExNjI3OTY4MjUxOTQxNDg=,0,132,0 days,delta ceo ed bastian delta air lines scarifies women in blood sport,delta ceo ed bastian delta air lines scarifies women in blood sport,0,1,0.5,0
418,Delta,2/10/2025 9:02,Y29tbWVudDoxMDE5MTM4MTMzNTY4NDMyXzc4MTM4MDkxNzY5OTM3OQ==,,"Expose Corruption, Civil Rights Violations, Judges, Cps.",2/15/2025,initial,1,0,1,Y29tbWVudDoxMDE5MTM4MTMzNTY4NDMyXzc4MTM4MDkxNzY5OTM3OQ==,0,132,0 days,"expose corruption, civil rights violations, judges, cps.","expose corruption, civil rights violations, judges, cps.",1,0,0.5,0
