task_id,annotation_id,completed_by,relevance_choice,annotation_created_at,company_name,post_date,comment_id,parent_id,comment_text,comment_date,comment_type,reaction_count,before_DEI,has_DEI,root_id,depth,sibling_count,time_since_root,cleaned_text,full_text
1,1,1,1 (Relevant),2025-04-20T19:59:39.959573Z,Costco,2025-01-27 15:18:00,Y29tbWVudDoxMDMxMDIyMzcyMzg5MjU5XzI4MzAwODU2NTM2MTk1OTc4,Y29tbWVudDoxMDMxMDIyMzcyMzg5MjU5XzkzMjExMzc0MjM2NzYxMA==,How? Be specific.,2025-02-01,reply,1,0,1,Y29tbWVudDoxMDMxMDIyMzcyMzg5MjU5XzkzMjExMzc0MjM2NzYxMA==,1,28,0 days,how? be specific.,dei... no thank you.. stop supporting all the grifters out there. hope you go bankrupt. will not get one cent of my money.. → how? be specific.
2,2,1,0 (Not Relevant),2025-04-20T19:59:44.958950Z,Target,2025-01-21 15:56:00,Y29tbWVudDoxMTYyNzA2ODI1MjE0NzA3XzEwMTU2NzY5MzcwNjgyMDI=,,Them salads taste so good and healthy f,2025-01-24,initial,4,0,0,Y29tbWVudDoxMTYyNzA2ODI1MjE0NzA3XzEwMTU2NzY5MzcwNjgyMDI=,0,50,0 days,them salads taste so good and healthy f,them salads taste so good and healthy f
3,3,1,0 (Not Relevant),2025-04-20T19:59:56.680756Z,Costco,2025-02-09 09:00:00,Y29tbWVudDoxMDQwMzExMDU0NzkzNzI0XzEzMDg1NjExNjcwMzkzNjk=,Y29tbWVudDoxMDQwMzExMDU0NzkzNzI0XzYwNzU4Mzk0ODU0NTkzNA==,It's not meant to be gourmet. It's 18 inches and $10. It's meant to be a bargain.,2025-02-16,reply,0,0,1,Y29tbWVudDoxMDQwMzExMDU0NzkzNzI0XzYwNzU4Mzk0ODU0NTkzNA==,1,0,7 days,it's not meant to be gourmet. it's 18 inches and $10. it's meant to be a bargain.,really everyone?? costco pizza is ok n if not in a costco - would not b anyone's top 10 choice. ever... → it's not meant to be gourmet. it's 18 inches and $10. it's meant to be a bargain.
4,4,1,1 (Relevant),2025-04-20T20:00:16.992277Z,Costco,2025-02-06 14:00:00,Y29tbWVudDoxMDM4MzA2NzI4MzI3NDkwXzk4Njc1NzIwNjY1OTIzNg==,Y29tbWVudDoxMDM4MzA2NzI4MzI3NDkwXzExODg2MzYzMTYzMDQwOTE=,There We Are Then,2025-02-09,reply,0,0,1,Y29tbWVudDoxMDM4MzA2NzI4MzI3NDkwXzk5NjMzNzEyNTg4Mjc4MA==,2,0,0 days,there we are then,no dei pancakes for me thanks → lol. you don't need anymore pancakes!!! try a salad → there we are then
5,5,1,0 (Not Relevant),2025-04-20T20:00:24.306890Z,Delta,2025-02-17 14:08:00,Y29tbWVudDoxMDI0NTU2NjI5NjkzMjQ5XzE3MTc4ODI0NzI0MDIxMjU=,,Mike Ryan,2025-02-22,initial,0,0,1,Y29tbWVudDoxMDI0NTU2NjI5NjkzMjQ5XzE3MTc4ODI0NzI0MDIxMjU=,0,540,0 days,mike ryan,mike ryan
6,6,1,1 (Relevant),2025-04-20T20:00:34.425660Z,Costco,2025-01-23 09:00:00,Y29tbWVudDoxMDI3ODA5MTc5Mzc3MjQ1XzkwMzU4Mjc5MTY0MjUzMA==,Y29tbWVudDoxMDI3ODA5MTc5Mzc3MjQ1Xzk3OTg4NTk1NDE5ODY3Ng==,"literally nothing that I mentioned in this comment mentioned race. If you’re struggling with literacy, I suggest making a visit to your local library and asking about their adult literacy programs. Hope this helps!",2025-02-01,reply,0,0,1,Y29tbWVudDoxMDI3ODA5MTc5Mzc3MjQ1XzM3Mjk3NDI1MzA2NTkwODg=,6,0,7 days,"literally nothing that i mentioned in this comment mentioned race. if youre struggling with literacy, i suggest making a visit to your local library and asking about their adult literacy programs. hope this helps!","everything i listed is dei. so do you just have a problem with the name? → white savior has entered the chat → literally nothing that i mentioned in this comment mentioned race. if youre struggling with literacy, i suggest making a visit to your local library and asking about their adult literacy programs. hope this helps!"
7,7,1,0 (Not Relevant),2025-04-20T20:00:53.777163Z,Delta,2025-02-17 14:08:00,Y29tbWVudDoxMDI0NTU2NjI5NjkzMjQ5XzEyODU2OTAxMDI2ODM0MTg=,Y29tbWVudDoxMDI0NTU2NjI5NjkzMjQ5XzQ4ODc2NTAxMDc1MDQ1Mg==,nope not at all.,2025-02-22,reply,0,0,1,Y29tbWVudDoxMDI0NTU2NjI5NjkzMjQ5XzgwOTQ5ODYzODA0Mjc0Nw==,2,0,0 days,nope not at all.,"airlines love to mention who is operating the flight when something goes wrong as if the public will say ""oh, it's not the airline whose name is on the plane, it was somebody else."" → this is the first thing you thought of?? shame on you. → nope not at all."
8,8,1,1 (Relevant),2025-04-20T20:01:04.883525Z,Target,2025-02-15 09:09:00,Y29tbWVudDoxMTgwMjgyNjczNDU3MTIyXzY1MDc2MzEwNDA0MTIxNw==,,"Sadly, I will not return to target either. I have things that I will not stand for because I’ve seen it in the workplace on the 70s how women were treated how I was treated. This doesn’t work for me if they are not going to support DEI. It’s a good st… See more",2025-02-21,initial,3,0,0,Y29tbWVudDoxMTgwMjgyNjczNDU3MTIyXzY1MDc2MzEwNDA0MTIxNw==,0,114,0 days,"sadly, i will not return to target either. i have things that i will not stand for because ive seen it in the workplace on the 70s how women were treated how i was treated. this doesnt work for me if they are not going to support dei. its a good st... see more","sadly, i will not return to target either. i have things that i will not stand for because ive seen it in the workplace on the 70s how women were treated how i was treated. this doesnt work for me if they are not going to support dei. its a good st... see more"
9,9,1,0 (Not Relevant),2025-04-20T20:01:38.140876Z,Delta,2025-02-17 14:08:00,Y29tbWVudDoxMDI0NTU2NjI5NjkzMjQ5Xzk1NzA4Mzg0MjgxNDk3Nw==,,Much of Bastian’s compensation was a one-off payment for his lengthy service towards the airline and an incentivized bonus for guiding the airline smoothly through the COVID pandemic.,2025-02-22,initial,0,0,1,Y29tbWVudDoxMDI0NTU2NjI5NjkzMjQ5Xzk1NzA4Mzg0MjgxNDk3Nw==,0,540,0 days,much of bastians compensation was a one-off payment for his lengthy service towards the airline and an incentivized bonus for guiding the airline smoothly through the covid pandemic.,much of bastians compensation was a one-off payment for his lengthy service towards the airline and an incentivized bonus for guiding the airline smoothly through the covid pandemic.
10,10,1,0 (Not Relevant),2025-04-20T20:01:45.822529Z,Costco,2025-01-26 19:21:00,Y29tbWVudDoxMDMwNDA2MjQyNDUwODcyXzExNjY2ODI1OTQ4NTM3MTE=,,Nope. No more Costco for me.,2025-02-01,initial,16,0,1,Y29tbWVudDoxMDMwNDA2MjQyNDUwODcyXzExNjY2ODI1OTQ4NTM3MTE=,0,341,0 days,nope. no more costco for me.,nope. no more costco for me.
