company_name,post_date,id,parent_id,comment_text,comment_date,comment_type,reaction_count
Costco,2025-02-22 09:00:00,Y29tbWVudDoxMDUwMzE3MjQzNzkzMTA1XzY1MTA3MTI5NDA4NzAwNw==,,Costco you are the best!!! Keep up the good work!,2025-02-23,initial,11
Costco,2025-02-22 09:00:00,Y29tbWVudDoxMDUwMzE3MjQzNzkzMTA1XzE0NjMzMjc3ODQzODcxNzk=,Y29tbWVudDoxMDUwMzE3MjQzNzkzMTA1XzY1MTA3MTI5NDA4NzAwNw==,"btw, I read some areas are getting heated over Costco's DEI policies. Stand firm Costco. They don't deserve you.",2025-03-02,reply,3
Costco,2025-02-22 09:00:00,Y29tbWVudDoxMDUwMzE3MjQzNzkzMTA1XzEzOTU5NTQyNDgxMDMwMDM=,Y29tbWVudDoxMDUwMzE3MjQzNzkzMTA1XzE0NjMzMjc3ODQzODcxNzk=,DEI is disgusting. Unqualified people hired for high intensity jobs. NOPE.,2025-03-02,reply,2
Costco,2025-02-22 09:00:00,Y29tbWVudDoxMDUwMzE3MjQzNzkzMTA1XzYyMTEzNzIyNzI4NjY3Nw==,Y29tbWVudDoxMDUwMzE3MjQzNzkzMTA1XzY1MTA3MTI5NDA4NzAwNw==,Hahahahahahaha,2025-03-02,reply,0
Costco,2025-02-22 09:00:00,Y29tbWVudDoxMDUwMzE3MjQzNzkzMTA1XzExNzAxMDAwMzQ3ODYzOTQ=,,Dear Costco - Thank you for all your good work. We are shifting more of our family buying needs to your store and cancelling our subscription to Amazon Prime Due to your outstanding efforts. We have been members for many years but events of recent weeks have inspired us to double down on the support.,2025-03-02,initial,11
Costco,2025-02-22 09:00:00,Y29tbWVudDoxMDUwMzE3MjQzNzkzMTA1XzExNjEyOTA0MTQ5MzA0Mzc=,Y29tbWVudDoxMDUwMzE3MjQzNzkzMTA1XzExNzAxMDAwMzQ3ODYzOTQ=,same!!,2025-03-02,reply,1
Costco,2025-02-22 09:00:00,Y29tbWVudDoxMDUwMzE3MjQzNzkzMTA1XzEwODY5NjI3MTAxMjk4MDg=,,"We love you, Costco! Keep up the great work!",2025-02-23,initial,18
Costco,2025-02-22 09:00:00,Y29tbWVudDoxMDUwMzE3MjQzNzkzMTA1XzE4NjEyMTUxMTEzNTI2MzA=,Y29tbWVudDoxMDUwMzE3MjQzNzkzMTA1XzEwODY5NjI3MTAxMjk4MDg=,"same here Costco is the best thank you, Jesus",2025-02-23,reply,1
Costco,2025-02-22 09:00:00,Y29tbWVudDoxMDUwMzE3MjQzNzkzMTA1XzExMzQxODQyMjQ2OTYzOTg=,,Hey Costco! The tiramisu cold brew cheesecake is THE BEST DESSERT Costco has ever made! It’s amazing and hard to find sometimes. I also can’t wait until you open the new location in SW Las Vegas-less than 10 minutes from my house! Build faster please!,2025-02-23,initial,12
Costco,2025-02-22 09:00:00,Y29tbWVudDoxMDUwMzE3MjQzNzkzMTA1XzYxODQ3NjkwNDI1NDMwNg==,Y29tbWVudDoxMDUwMzE3MjQzNzkzMTA1XzExMzQxODQyMjQ2OTYzOTg=,"Anyone know if it's freezable? I know I ""shouldn't"" eat the whole thing by myself even if I want to",2025-02-23,reply,0
Costco,2025-02-22 09:00:00,Y29tbWVudDoxMDUwMzE3MjQzNzkzMTA1XzQ5MjM3NDM4MzkyMzE5Nw==,Y29tbWVudDoxMDUwMzE3MjQzNzkzMTA1XzYxODQ3NjkwNDI1NDMwNg==,"don’t know if it is freezable, and I shouldn’t eat the whole thing either…",2025-02-23,reply,0
Costco,2025-02-22 09:00:00,Y29tbWVudDoxMDUwMzE3MjQzNzkzMTA1XzEwODE3MzQ3MjA2NDAzMTc=,Y29tbWVudDoxMDUwMzE3MjQzNzkzMTA1XzYxODQ3NjkwNDI1NDMwNg==,cheesecake freezes well.,2025-03-09,reply,1
Costco,2025-02-22 09:00:00,Y29tbWVudDoxMDUwMzE3MjQzNzkzMTA1XzI1MjQ5NDI0MTQzNDI5NjA=,,East of Rockwall location closer to Texarkana,2025-03-02,initial,4
Costco,2025-02-22 09:00:00,Y29tbWVudDoxMDUwMzE3MjQzNzkzMTA1XzYyODQwOTg5Njc5MTIzOA==,Y29tbWVudDoxMDUwMzE3MjQzNzkzMTA1XzI1MjQ5NDI0MTQzNDI5NjA=,Jeff- Noted! Thanks for sharing the need for a warehouse in that area! -Christina,2025-03-09,reply,0
Costco,2025-02-22 09:00:00,Y29tbWVudDoxMDUwMzE3MjQzNzkzMTA1Xzk0Njc3NjU0NDIzNDA0Mw==,,I placed a order on the 22 for a 2 day delivery and not a word or since . I tried to trace no information just said it shipped on the 24 th by ups the ups tracker only says they are waiting on it! I thought this would be a good way to compare this to Amazon. No way is this a good alternative!,2025-03-02,initial,3
