company_name,post_date,id,parent_id,comment_text,comment_date,comment_type,reaction_count
Costco,2025-01-18 09:00:00,Y29tbWVudDoxMDI3ODA5MTc5Mzc3MjQ1XzM3Mjk3NDI1MzA2NTkwODg=,,"For people complaining, here’s some examples of what DEIA actually is. Trainings to prevent sexual harassment in the workplace are part of DEI initiatives. Pay transparency laws are the result of DEI initiatives. Requiring wheel chair ramps and closed … See more",2025-01-24,initial,337
Costco,2025-01-18 09:00:00,Y29tbWVudDoxMDI3MjI4OTIyNzY4NjA0XzYxMjU1MzAwODA5MDQ5OA==,,Thankyou Costco for believing in inclusion! My son has special needs. Thankyou we need DEI,2025-01-31,initial,149
Costco,2025-01-18 09:00:00,Y29tbWVudDoxMDI2NDgwMjY5NTEwMTM2XzExNTI3NjA4NDkwNDI3NDc=,,"Costco, please stand firm in maintaining your commitment to DEI.  My husband and I have been loyal Costco customers for nearly 40 years.  We regularly shop at Costco both at our local warehouse and online.  In appreciation for your commitment to DEI an… See more",2025-01-31,initial,114
Costco,2025-01-18 09:00:00,Y29tbWVudDoxMDI1Njc0NDgyOTI0MDQ4XzExNTM2NTAyMzI3NzUzNzY=,,I love these! Put them on sale!,2025-01-24,initial,17
Costco,2025-01-18 09:00:00,Y29tbWVudDoxMDI0OTcyMDEyOTk0Mjk1XzEzMDgxODA5ODM3MTYzNzk=,,Never had a Costco membership but plan to get one this week. Thank you for doing the right and decent thing and standing firm for DEI!,2025-01-24,initial,65
Costco,2025-01-18 09:00:00,Y29tbWVudDoxMDI0MzM4NTg2MzkwOTcxXzIwNDE1NjI4MjI5NzQ2MjI=,,If others don’t like it; might as well respect what people’s choice!!,2025-01-24,initial,9
Costco,2025-01-18 09:00:00,Y29tbWVudDoxMDI0MjMzMTM2NDAxNTE2XzExNDc4MjQ5MTM2MTYzMjY=,,I have a membership to both Sam's and Costco. I love Sam's Scan and Go. Costco should invest in this feature. Checkout is a nightmare at times.,2025-01-24,initial,22
Costco,2025-01-18 09:00:00,Y29tbWVudDoxMDIzNTI5Mjc2NDcxOTAyXzQ1ODI4MTU2NzMzNjMwMA==,,"Thankfully you have much healthier options than this toxic crap, such as the sweet potato chips. But it would be great if you better highlighted the healthier alternatives as many consumers are unaware and are feeding this to their kids.",2025-01-24,initial,30
Costco,2025-01-18 09:00:00,Y29tbWVudDoxMDE3MTA5MzAzNzgwNTY2Xzk1NjQwOTU4OTI5MDQwMA==,,Seedless ANYTHING is not what you want,2025-01-10,initial,39
Costco,2025-01-18 09:00:00,Y29tbWVudDoxMDI0MjMzMTM2NDAxNTE2XzExNDc4MjQ5MTM2MTYzMjY=,,I have a membership to both Sam's and Costco. I love Sam's Scan and Go. Costco should invest in this feature. Checkout is a nightmare at times.,2025-01-24,initial,22
Costco,2025-01-18 09:00:00,Y29tbWVudDoxMDI0MjMzMTM2NDAxNTE2Xzk4MTkwODQxNzEzMTY1MA==,Y29tbWVudDoxMDI0MjMzMTM2NDAxNTE2XzExNDc4MjQ5MTM2MTYzMjY=,Costco has no plans for scan and go due to theft and replacing their employees with technology,2025-01-24,reply,6
Costco,2025-01-18 09:00:00,Y29tbWVudDoxMDI0MjMzMTM2NDAxNTE2Xzk2MjAzMzg0NTM3Mzc4Mg==,Y29tbWVudDoxMDI0MjMzMTM2NDAxNTE2Xzk4MTkwODQxNzEzMTY1MA==,go check out Sam's Scan and Go. It's theft proof. They still have employees checking customers out. Also they have less self check out options. So if replacing employees is a concern Costco is already doing that..,2025-01-24,reply,3
Costco,2025-01-18 09:00:00,Y29tbWVudDoxMDI0MjMzMTM2NDAxNTE2XzkxMDI4NTA1NzkzMTY0NQ==,Y29tbWVudDoxMDI0MjMzMTM2NDAxNTE2Xzk2MjAzMzg0NTM3Mzc4Mg==,"if Costco had to versions of a item people were scanning the less expensive item and putting the more expensive in their carts which is theft. Costco isn't replacing employees they just move them to another part of the warehouse, Walmart just cuts their hours",2025-01-24,reply,1
Costco,2025-01-18 09:00:00,Y29tbWVudDoxMDI0MjMzMTM2NDAxNTE2XzIzODY1NTI3NzgzNjAwNzI=,Y29tbWVudDoxMDI0MjMzMTM2NDAxNTE2XzkxMDI4NTA1NzkzMTY0NQ==,"you obviously never been to Sam's and used the scan and go. Each item has it own barcode no and when they scan you everything has to match. So if you scan an item and put it back and get another one, they will know. It's a great feature.",2025-01-24,reply,2
