company_name,post_date,id,parent_id,comment_text,comment_date,comment_type,reaction_count
Costco,2025-01-20 09:00:00,Y29tbWVudDoxMDI3ODA5MTc5Mzc3MjQ1XzM3Mjk3NDI1MzA2NTkwODg=,,"For people complaining, here’s some examples of what DEIA actually is. Trainings to prevent sexual harassment in the workplace are part of DEI initiatives. Pay transparency laws are the result of DEI initiatives. Requiring wheel chair ramps and closed … See more",2025-01-24,initial,337
Costco,2025-01-20 09:00:00,Y29tbWVudDoxMDI3MjI4OTIyNzY4NjA0XzYxMjU1MzAwODA5MDQ5OA==,,Thankyou Costco for believing in inclusion! My son has special needs. Thankyou we need DEI,2025-01-31,initial,149
Costco,2025-01-20 09:00:00,Y29tbWVudDoxMDI2NDgwMjY5NTEwMTM2XzExNTI3NjA4NDkwNDI3NDc=,,"Costco, please stand firm in maintaining your commitment to DEI. My husband and I have been loyal Costco customers for nearly 40 years. We regularly shop at Costco both at our local warehouse and online. In appreciation for your commitment to DEI an… See more",2025-01-31,initial,114
Costco,2025-01-20 09:00:00,Y29tbWVudDoxMDI1Njc0NDgyOTI0MDQ4XzExNTM2NTAyMzI3NzUzNzY=,,I love these! Put them on sale!,2025-01-24,initial,17
Costco,2025-01-20 09:00:00,Y29tbWVudDoxMDI0OTcyMDEyOTk0Mjk1XzEzMDgxODA5ODM3MTYzNzk=,,Never had a Costco membership but plan to get one this week. Thank you for doing the right and decent thing and standing firm for DEI!,2025-01-24,initial,65
Costco,2025-01-20 09:00:00,Y29tbWVudDoxMDI0MzM4NTg2MzkwOTcxXzIwNDE1NjI4MjI5NzQ2MjI=,,If others don’t like it; might as well respect what people’s choice!!,2025-01-24,initial,9
Costco,2025-01-20 09:00:00,Y29tbWVudDoxMDE3MTA5MzAzNzgwNTY2Xzk1NjQwOTU4OTI5MDQwMA==,,Seedless ANYTHING is not what you want,2025-01-10,initial,39
Costco,2025-01-20 09:00:00,Y29tbWVudDoxMDI1Njc0NDgyOTI0MDQ4XzExNTM2NTAyMzI3NzUzNzY=,,I love these! Put them on sale!,2025-01-24,initial,17
Costco,2025-01-20 09:00:00,Y29tbWVudDoxMDI1Njc0NDgyOTI0MDQ4XzYwMzEzMDM4OTI3NjQzMg==,Y29tbWVudDoxMDI1Njc0NDgyOTI0MDQ4XzExNTM2NTAyMzI3NzUzNzY=,let me know when they go on sale please,2025-01-31,reply,0
Costco,2025-01-20 09:00:00,Y29tbWVudDoxMDI1Njc0NDgyOTI0MDQ4Xzk2MjI5ODIyODc3ODcxNw==,,Nope...the soy in it is a major known allergen for more and more people. Wish more and more of these companies would stop using it. So many products have it as a filler ingredient...even things like Oreos are a no go.,2025-01-24,initial,20
Costco,2025-01-20 09:00:00,Y29tbWVudDoxMDI1Njc0NDgyOTI0MDQ4XzE2NTUxOTA0NDg3NTUyMDM=,Y29tbWVudDoxMDI1Njc0NDgyOTI0MDQ4Xzk2MjI5ODIyODc3ODcxNw==,why do all the health experts comment on these pages? Don't buy the food,2025-01-24,reply,13
Costco,2025-01-20 09:00:00,Y29tbWVudDoxMDI1Njc0NDgyOTI0MDQ4XzQwODY5MjYyODQ5MjE1NjY=,Y29tbWVudDoxMDI1Njc0NDgyOTI0MDQ4XzE2NTUxOTA0NDg3NTUyMDM=,I am just saying that I would love to have an option that does not contain soy! 99% of the protein bars/powders/snacks are based on soy as an ingredient. Soy is not something I was always allergic to. I have grown into it via massive exposure that I wasn't even aware of! Who would think that soy is found in almost every product that it never used to be in? I just think that there should be options.,2025-01-24,reply,5
Costco,2025-01-20 09:00:00,Y29tbWVudDoxMDI1Njc0NDgyOTI0MDQ4XzE1OTQwMDUzNjQ4MTYzOTY=,Y29tbWVudDoxMDI1Njc0NDgyOTI0MDQ4XzE2NTUxOTA0NDg3NTUyMDM=,people are extremely uneducated that’s why,2025-01-24,reply,3
Costco,2025-01-20 09:00:00,Y29tbWVudDoxMDI1Njc0NDgyOTI0MDQ4XzU4Nzk5OTU4NDAxODk5Ng==,Y29tbWVudDoxMDI1Njc0NDgyOTI0MDQ4XzE1OTQwMDUzNjQ4MTYzOTY=,all food goes somewhere right,2025-01-24,reply,0
Costco,2025-01-20 09:00:00,Y29tbWVudDoxMDI1Njc0NDgyOTI0MDQ4XzM5ODAxODgzNDg5MjgxOTc=,Y29tbWVudDoxMDI1Njc0NDgyOTI0MDQ4Xzk2MjI5ODIyODc3ODcxNw==,my son was allergic to dairy and other things and could only have soy …,2025-01-24,reply,0
Costco,2025-01-20 09:00:00,Y29tbWVudDoxMDI1Njc0NDgyOTI0MDQ4XzY0MzUzNDkyNTAwNjAyNw==,Y29tbWVudDoxMDI1Njc0NDgyOTI0MDQ4XzE2NTUxOTA0NDg3NTUyMDM=,Jonathan Poole warning the fatties. The ingredients list is scary.,2025-01-24,reply,2
Costco,2025-01-20 09:00:00,Y29tbWVudDoxMDI1Njc0NDgyOTI0MDQ4XzE1OTE5NDMzMTE2ODI4MTk=,Y29tbWVudDoxMDI1Njc0NDgyOTI0MDQ4XzY0MzUzNDkyNTAwNjAyNw==,"holy dooley, this turning to a whole educational food review",2025-01-24,reply,1
