company_name,post_date,id,parent_id,comment_text,comment_date,comment_type,reaction_count
Costco,2025-01-21 12:00:00,Y29tbWVudDoxMDI3ODA5MTc5Mzc3MjQ1XzM3Mjk3NDI1MzA2NTkwODg=,,"For people complaining, here’s some examples of what DEIA actually is. Trainings to prevent sexual harassment in the workplace are part of DEI initiatives. Pay transparency laws are the result of DEI initiatives. Requiring wheel chair ramps and closed … See more",2025-01-24,initial,337
Costco,2025-01-21 12:00:00,Y29tbWVudDoxMDI3MjI4OTIyNzY4NjA0XzYxMjU1MzAwODA5MDQ5OA==,,Thankyou Costco for believing in inclusion! My son has special needs. Thankyou we need DEI,2025-01-31,initial,149
Costco,2025-01-21 12:00:00,Y29tbWVudDoxMDI2NDgwMjY5NTEwMTM2XzExNTI3NjA4NDkwNDI3NDc=,,"Costco, please stand firm in maintaining your commitment to DEI. My husband and I have been loyal Costco customers for nearly 40 years. We regularly shop at Costco both at our local warehouse and online. In appreciation for your commitment to DEI an… See more",2025-01-31,initial,114
Costco,2025-01-21 12:00:00,Y29tbWVudDoxMDI1Njc0NDgyOTI0MDQ4XzExNTM2NTAyMzI3NzUzNzY=,,I love these! Put them on sale!,2025-01-24,initial,17
Costco,2025-01-21 12:00:00,Y29tbWVudDoxMDI0OTcyMDEyOTk0Mjk1XzEzMDgxODA5ODM3MTYzNzk=,,Never had a Costco membership but plan to get one this week. Thank you for doing the right and decent thing and standing firm for DEI!,2025-01-24,initial,65
Costco,2025-01-21 12:00:00,Y29tbWVudDoxMDE3MTA5MzAzNzgwNTY2Xzk1NjQwOTU4OTI5MDQwMA==,,Seedless ANYTHING is not what you want,2025-01-10,initial,39
Costco,2025-01-21 12:00:00,Y29tbWVudDoxMDI2NDgwMjY5NTEwMTM2XzExNTI3NjA4NDkwNDI3NDc=,,"Costco, please stand firm in maintaining your commitment to DEI. My husband and I have been loyal Costco customers for nearly 40 years. We regularly shop at Costco both at our local warehouse and online. In appreciation for your commitment to DEI and to your other ethical business practices, we will be making a point to use Costco for even more of our shopping needs than we previously have. We also plan to invest in Costco as shareholders. Thank you for being the kind of business we have been proud to support for the past four decades.",2025-01-31,initial,114
Costco,2025-01-21 12:00:00,Y29tbWVudDoxMDI2NDgwMjY5NTEwMTM2XzEzNDM0NzA5ODM2ODM5NTA=,Y29tbWVudDoxMDI2NDgwMjY5NTEwMTM2XzExNTI3NjA4NDkwNDI3NDc=,HELL NO!!!!!,2025-01-31,reply,2
Costco,2025-01-21 12:00:00,Y29tbWVudDoxMDI2NDgwMjY5NTEwMTM2XzEzMTA4MTQxNDAxNTY1ODY=,Y29tbWVudDoxMDI2NDgwMjY5NTEwMTM2XzEzNDM0NzA5ODM2ODM5NTA=,"Agree with Chaz, DEI has to go! It's essentially a Marxist construct masquerading as justice.",2025-01-31,reply,3
Costco,2025-01-21 12:00:00,Y29tbWVudDoxMDI2NDgwMjY5NTEwMTM2Xzg4MDMxMjI4MTY0ODMyNDY=,Y29tbWVudDoxMDI2NDgwMjY5NTEwMTM2XzEzNDM0NzA5ODM2ODM5NTA=,you sound pretty sure about that.,2025-01-31,reply,1
