company_name,post_date,id,parent_id,comment_text,comment_date,comment_type,reaction_count
Costco,2025-02-09 09:00:00,Y29tbWVudDoxMDM5NjIyNDU0ODYyNTg0XzMzMDA0ODYzMTM0MjEyMjE=,,How much are they,2025-02-23,initial,2
Costco,2025-02-09 09:00:00,Y29tbWVudDoxMDM5NjIyNDU0ODYyNTg0Xzg2Mjk0MDY5OTIyNzU2Nw==,Y29tbWVudDoxMDM5NjIyNDU0ODYyNTg0XzMzMDA0ODYzMTM0MjEyMjE=,"Hi Cammy. As much as we'd like to quote the price of this item, cost can vary by location. Please call or visit your local warehouse directly for pricing and availability. Thanks for checking! -Kim",2025-03-02,reply,0
Costco,2025-02-09 09:00:00,Y29tbWVudDoxMDM5NjIyNDU0ODYyNTg0XzIwMzU2OTEzNTY4OTc3MTQ=,,Are they ceramic or plastic?,2025-02-23,initial,1
Costco,2025-02-09 09:00:00,Y29tbWVudDoxMDM5NjIyNDU0ODYyNTg0XzE4MDYyODEyODAxNDgwMTg=,Y29tbWVudDoxMDM5NjIyNDU0ODYyNTg0XzIwMzU2OTEzNTY4OTc3MTQ=,Noemi- The Botanical Stoneware Bowls are ceramic. Thank you! -Bekah,2025-03-02,reply,0
Costco,2025-02-09 09:00:00,Y29tbWVudDoxMDM5NjIyNDU0ODYyNTg0XzY1MjU5OTk2NDAwMTcxOA==,,Is this crockery is microsafe,2025-02-16,initial,0
Costco,2025-02-09 09:00:00,Y29tbWVudDoxMDM5NjIyNDU0ODYyNTg0XzY0OTIyNTMyMDg0NjE4Ng==,Y29tbWVudDoxMDM5NjIyNDU0ODYyNTg0XzY1MjU5OTk2NDAwMTcxOA==,Pragati- They are microwave/dishwasher safe. Thanks for asking! -Bekah,2025-02-23,reply,0
Costco,2025-02-09 09:00:00,Y29tbWVudDoxMDM5NjIyNDU0ODYyNTg0XzEwOTk3MzI0MTE4Mzc2NTU=,,Price,2025-02-16,initial,1
Costco,2025-02-09 09:00:00,Y29tbWVudDoxMDM5NjIyNDU0ODYyNTg0XzE1ODk2NDg5NDE3MDE1MTk=,Y29tbWVudDoxMDM5NjIyNDU0ODYyNTg0XzEwOTk3MzI0MTE4Mzc2NTU=,"Hello Javeria. Pricing can vary, so we've added a feature in our Costco Mobile App to view both cost and availability! First tap the Warehouse tab, then 'Search Warehouse Inventory'. Thanks for asking! -Christina",2025-02-23,reply,0
Costco,2025-02-09 09:00:00,Y29tbWVudDoxMDM5NjIyNDU0ODYyNTg0XzYyNDQyNjI4NjY2NDM3OA==,,Price?,2025-02-16,initial,2
Costco,2025-02-09 09:00:00,Y29tbWVudDoxMDM5NjIyNDU0ODYyNTg0XzE1ODIyMTA5MDI0MTUzNzk=,Y29tbWVudDoxMDM5NjIyNDU0ODYyNTg0XzYyNDQyNjI4NjY2NDM3OA==,"Zobi- As much as we'd like to quote the price of this item, cost can vary by location. However, you can now check pricing and availability at your local Costco using the Costco Mobile App! Simply select the Warehouse tab and 'Search Warehouse Inventory'. Thanks for asking! -Max",2025-02-23,reply,0
