company_name,post_date,id,parent_id,comment_text,comment_date,comment_type,reaction_count
Delta,2025-03-02 09:00:00,Y29tbWVudDoxMDM0MzA1Mzc1Mzg1MDQxXzE1NzM3OTI4NTk5OTEwODE=,,Delta Air lines is the company for you if you want bad service. They make excuses for their bad service. They have bad customer service after you become a customer. Supervisor will hang up on you when you complain about their service. They give more respect to their bad employees than the customers who are paying them. Customer service believes that Delta Air lines has so many customers that it doesn’t matter if they run a few off.,2025-03-08,initial,33
Delta,2025-03-02 09:00:00,Y29tbWVudDoxMDM0MzA1Mzc1Mzg1MDQxXzE4MTgzOTI4OTU2MTA3NzM=,Y29tbWVudDoxMDM0MzA1Mzc1Mzg1MDQxXzE1NzM3OTI4NTk5OTEwODE=,"DixonHello, we apologize for such an experience with us, we would like to look closely at the concern raised. Kindly share your email address, full names, and active phone number for us to look into it and resolve it.",2025-03-08,reply,3
Delta,2025-03-02 09:00:00,Y29tbWVudDoxMDM0MzA1Mzc1Mzg1MDQxXzk3NzM5MzQyMTAzODEyMQ==,Y29tbWVudDoxMDM0MzA1Mzc1Mzg1MDQxXzE4MTgzOTI4OTU2MTA3NzM=,you're a scammer,2025-03-15,reply,0
Delta,2025-03-02 09:00:00,Y29tbWVudDoxMDM0MzA1Mzc1Mzg1MDQxXzEzMjI1NDg2MTI0NDY3NDA=,Y29tbWVudDoxMDM0MzA1Mzc1Mzg1MDQxXzE1NzM3OTI4NTk5OTEwODE=,I've sent you a pm just check your inbox awaiting for your response,2025-03-08,reply,3
Delta,2025-03-02 09:00:00,Y29tbWVudDoxMDM0MzA1Mzc1Mzg1MDQxXzk4NzI4Njc5Mjg3NDM2OA==,Y29tbWVudDoxMDM0MzA1Mzc1Mzg1MDQxXzE1NzM3OTI4NTk5OTEwODE=,"Hi, we're really sorry to hear about your experience. This is certainly not the standard we strive for. Please send us a direct message with more details so we can address your concerns properly. Thank you for bringing this to our attention.",2025-03-08,reply,3
Delta,2025-03-02 09:00:00,Y29tbWVudDoxMDM0MzA1Mzc1Mzg1MDQxXzI0OTMxNzEyMTEwMjQ3ODU=,Y29tbWVudDoxMDM0MzA1Mzc1Mzg1MDQxXzE1NzM3OTI4NTk5OTEwODE=,CEO is making excuses right now on CNBC. Stock down 9%! Pitiful!,2025-03-15,reply,0
Delta,2025-03-02 09:00:00,Y29tbWVudDoxMDM0MzA1Mzc1Mzg1MDQxXzEwNjY1ODAwNDg4NDM0NDM=,Y29tbWVudDoxMDM0MzA1Mzc1Mzg1MDQxXzE1NzM3OTI4NTk5OTEwODE=,"I agree, they left us stranded in the Bahamas until we bought more tickets so we could get home. No reimbursements either.",2025-03-29,reply,0
Delta,2025-03-02 09:00:00,Y29tbWVudDoxMDM0MzA1Mzc1Mzg1MDQxXzE4NzU4NzU3NjYxNTI0MjM=,,"My husband and I have had a gold Amex Skymiles card for years. I decided to upgrade to the Platinum card for the benefit of having a companion certificate once a year. We fly to Florida every January to cruise to the Caribbean and thought the $200/year difference in fees would be worth it. Wrong. Tried to book flights into Miami...no flights available. Tried to book into Ft. Lauderdale...no flights. Tried Orlando...nope. Tried Ft. Myers...nope. Companion certificates are absolutely worthless to where we fly to. Needless to say, we canceled the Platinum card after a month and went back to the Gold card. At least, until Delta stops accepting skymiles. Then the card will be gone and we will fly elsewhere.",2025-03-08,initial,15
Delta,2025-03-02 09:00:00,Y29tbWVudDoxMDM0MzA1Mzc1Mzg1MDQxXzEzODcyNDIxODI3MjYxOTM=,Y29tbWVudDoxMDM0MzA1Mzc1Mzg1MDQxXzE4NzU4NzU3NjYxNTI0MjM=,"Thanks for reaching out. We’d like to take a look into this. Also, we’ve sent you a Private Message, please check your inbox. Thank you.",2025-03-08,reply,1
Delta,2025-03-02 09:00:00,Y29tbWVudDoxMDM0MzA1Mzc1Mzg1MDQxXzE4MDkwMzkyMTk2NDg2MTc=,Y29tbWVudDoxMDM0MzA1Mzc1Mzg1MDQxXzEzODcyNDIxODI3MjYxOTM=,"I have checked my inbox and there are 12 message requests. If Delta is interested in speaking with me, my number is on file in my Skymiles account. I'm not giving my info out to a FB bot.",2025-03-08,reply,0
Delta,2025-03-02 09:00:00,Y29tbWVudDoxMDM0MzA1Mzc1Mzg1MDQxXzk2Nzg0ODU4ODY0Njg4Nw==,Y29tbWVudDoxMDM0MzA1Mzc1Mzg1MDQxXzE4MDkwMzkyMTk2NDg2MTc=,Hi! Thank you for contacting us. We sincerely apologize for the inconvenience you have experienced. We appreciate you for reaching out to us. Please send us a DM so that we can promptly assist you.,2025-03-08,reply,1
Delta,2025-03-02 09:00:00,Y29tbWVudDoxMDM0MzA1Mzc1Mzg1MDQxXzIwMjMxOTI5NjE1MDI2NDM=,Y29tbWVudDoxMDM0MzA1Mzc1Mzg1MDQxXzE4NzU4NzU3NjYxNTI0MjM=,"Hi Debbi,we are sorry for that kindly share your details so that we can reach out to you for assistance...",2025-03-08,reply,0
Delta,2025-03-02 09:00:00,Y29tbWVudDoxMDM0MzA1Mzc1Mzg1MDQxXzY1MDgwMDYyNzM1MzIxOA==,,Delta was my first choice. (Diamon medallion) but they ruined my family European vacation and offered me $300. There were other flights they could have put us in but chose not to.,2025-03-08,initial,27
Delta,2025-03-02 09:00:00,Y29tbWVudDoxMDM0MzA1Mzc1Mzg1MDQxXzYyMDAzNDc2NzYyNjM3Nw==,Y29tbWVudDoxMDM0MzA1Mzc1Mzg1MDQxXzY1MDgwMDYyNzM1MzIxOA==,Their old motto; ‘Ready when your are’ is not used anymore…and for good reason!!,2025-03-08,reply,1
Delta,2025-03-02 09:00:00,Y29tbWVudDoxMDM0MzA1Mzc1Mzg1MDQxXzEzOTA2NTMyNzUyOTM2NDY=,Y29tbWVudDoxMDM0MzA1Mzc1Mzg1MDQxXzY1MDgwMDYyNzM1MzIxOA==,"Hi Chris,we are sorry for that.kindly share your details so that our team will assist you.. Thanks",2025-03-08,reply,1
Delta,2025-03-02 09:00:00,Y29tbWVudDoxMDM0MzA1Mzc1Mzg1MDQxXzExOTkwMzUyNDE2NTA5NDA=,,"Of the 2 flights out and 2 flights back, 100% were delayed. It's 1am now and I'm back in the ATL concourse after sitting on a plane for about 2 hours. I was supposed to be back at TPA around 12:30am, and that's now going to be 2:30am or later.",2025-03-08,initial,17
Delta,2025-03-02 09:00:00,Y29tbWVudDoxMDM0MzA1Mzc1Mzg1MDQxXzYzMzQ0Njg5OTYyMjE2Mw==,Y29tbWVudDoxMDM0MzA1Mzc1Mzg1MDQxXzExOTkwMzUyNDE2NTA5NDA=,"Hello ,we are deeply sorry for making you feel that way, it was never our intention but we would like to closely look at the concern raised. Please DM your reachable Whatsapp number we connect you with an agent who can assist. Thank you",2025-03-08,reply,0
Delta,2025-03-02 09:00:00,Y29tbWVudDoxMDM0MzA1Mzc1Mzg1MDQxXzExNjE3OTIwNDE2MDU3NDk=,Y29tbWVudDoxMDM0MzA1Mzc1Mzg1MDQxXzExOTkwMzUyNDE2NTA5NDA=,"Hi Am Hailey From Delta Air Lines, we're sorry this has happened. So we can help you, please provide us with:",2025-03-08,reply,0
Delta,2025-03-02 09:00:00,Y29tbWVudDoxMDM0MzA1Mzc1Mzg1MDQxXzExNDg4OTkzMzM1Njc2OTY=,,Delta Air Lines how do we get ahold of someone for a medical emergency that happened on the flight? We have incident report and police report and no one is answering any phones,2025-03-08,initial,19
