company_name,post_date,id,parent_id,comment_text,comment_date,comment_type,reaction_count
Delta,2025-01-22 09:00:00,Y29tbWVudDoxMDE1MDM2Mzc3MzExOTQxXzExMjM1MDYxMzYxODU5MzM=,,Flew EYW-ATL-PVD yesterday and all your staff were outstanding! The bubbly lass at gate 18 for the ATL-PVD was brilliant! Wish I remembered her name. The crew of both (FULL) flights were professional and handled passengers who didnt know where their se… See more,2025-02-07,initial,12
Delta,2025-01-22 09:00:00,Y29tbWVudDoxMDE0MzQ4OTcwNzE0MDE1XzExNzczNzgyNDcxNDI1Nzg=,,"Delta still owes me for the botched trip in December - They care not, I do not trust any airline these days, we must not bail them out, the strong focused on merit based incentives will survive!",2025-02-07,initial,27
Delta,2025-01-22 09:00:00,Y29tbWVudDoxMDA1NjUzODk0OTE2ODU2XzE1MzkxMDU3NDM0MTgwNzM=,,"People of Delta Delta Air Lines, My name is Myrna Menendez, I am officially disabled, I have braces on each leg up to my hip, and my shoulders are arthritic, therefore I ride in my own wheelchair because I am truly handicapped. Yesterday I came on flig… See more",2025-01-24,initial,25
Delta,2025-01-22 09:00:00,Y29tbWVudDo5OTk1MDUwODg4NjUwNzBfMTM5OTI4MjgxNDM4NTU2OA==,,I'll still use Lyft when I want to do a rideshare.,2025-01-17,initial,24
Delta,2025-01-22 09:00:00,Y29tbWVudDo5OTgwMjQ0NjkwMTMxMzJfMjA5NjIyMzY1NzUwMDI0Ng==,,"What a disappoitment Delta, waiting for a delay flight since yesterday 01/10 9am Atlanta - Tokyo with 2 plane drops. You started 2025 as the worst airline.",2025-01-17,initial,24
Delta,2025-01-22 09:00:00,Y29tbWVudDo5OTUyMTIxMDI2Mjc3MDJfNTcxNzE5Nzk1ODM0OTIy,,Delta needs to do alot more than an all expenses paid trip for a couple of people. They need to add to staffing and pilot shortages and lessen their horrid flight cancellation percentages.,2025-01-10,initial,20
Delta,2025-01-22 09:00:00,Y29tbWVudDoxMDA1NjUzODk0OTE2ODU2XzE1MzkxMDU3NDM0MTgwNzM=,,"She couldn’t realize that if I am in my own wheelchair it's because I am truly handicapped? and those with chairs are limited but with a different limitations than I, reason why they do not have their own wheelchairs, with difficulty and help from one or another person who went to customs as well and took pity on my difficulty pushing my own chair towards the entrance of the USA, I managed to get there, then I had to pull my own suitcases and i had to pushed it little by little with my wheelchair…. I have photos and documentation…. you can also see it on your cameras inside the airport, in the luggage belt 1 at 9:45 to 10:15 pm",2025-01-24,initial,25
Delta,2025-01-22 09:00:00,Y29tbWVudDoxMDA1NjUzODk0OTE2ODU2XzEzMDc4NDA2MzA0NjE3Njc=,Y29tbWVudDoxMDA1NjUzODk0OTE2ODU2XzE1MzkxMDU3NDM0MTgwNzM=,I find airports dehumanizing never seem to get what I paid for hate flying,2025-01-24,reply,1
Delta,2025-01-22 09:00:00,Y29tbWVudDoxMDA1NjUzODk0OTE2ODU2XzkwMjM0NDAyMzc3Mzc1MDU=,Y29tbWVudDoxMDA1NjUzODk0OTE2ODU2XzE1MzkxMDU3NDM0MTgwNzM=,Casorn Helpdesk Careline yeah thanks but I’m done. Last time I was in atl had 4 flights canceled and had to spend 350 to rent a car. No excuses customer service ppl just walked away from the gate no communication just left everyone stranded. There’s no fixing that. Why did you remove the original post?,2025-01-24,reply,0
Delta,2025-01-22 09:00:00,Y29tbWVudDoxMDA1NjUzODk0OTE2ODU2XzkyOTE5ODA0OTM0MzY0OQ==,Y29tbWVudDoxMDA1NjUzODk0OTE2ODU2XzE1MzkxMDU3NDM0MTgwNzM=,I also was at the ATL airport it was my first time flying and I went alone it was so traumatic I had to keep looking at my phone because my flight would be canceled or delayed then the gate would change from A all the way til D and I couldn’t imagine you had to go through that in a wheelchair because I cried because nobody would help me either,2025-01-24,reply,1
Delta,2025-01-22 09:00:00,Y29tbWVudDoxMDA1NjUzODk0OTE2ODU2XzYwMzc0MzQyMjM3Nzg0OA==,Y29tbWVudDoxMDA1NjUzODk0OTE2ODU2XzE1MzkxMDU3NDM0MTgwNzM=,"dear , please forward your complaint to our help-desk inbox here so our customer representatives can attend to you asap, Thanks.",2025-01-31,reply,0
Delta,2025-01-22 09:00:00,Y29tbWVudDoxMDA1NjUzODk0OTE2ODU2XzEzMjQzNjM2Njg1ODg5NTY=,Y29tbWVudDoxMDA1NjUzODk0OTE2ODU2XzE1MzkxMDU3NDM0MTgwNzM=,the wheel chair services are airport employees mostly from African countries and they aren’t always the friendliest.,2025-02-07,reply,0
Delta,2025-01-22 09:00:00,Y29tbWVudDoxMDA1NjUzODk0OTE2ODU2XzE2NjY5NDA2NDQwMzM2NDI=,Y29tbWVudDoxMDA1NjUzODk0OTE2ODU2XzEzMjQzNjM2Njg1ODg5NTY=,"Interesting, but the problem aren’t the wheelchairs, it’s about that I carry my own because I need it (I am a disabled person) and because of that they didn’t want to help me. I even have to pulled my own suitcases from the moving band.",2025-02-07,reply,0
Delta,2025-01-22 09:00:00,Y29tbWVudDoxMDA1NjUzODk0OTE2ODU2XzUyODc0NTkyMzAyNzYyMw==,Y29tbWVudDoxMDA1NjUzODk0OTE2ODU2XzE2NjY5NDA2NDQwMzM2NDI=,ableism is real. So sorry for your experience!,2025-02-21,reply,0
Delta,2025-01-22 09:00:00,Y29tbWVudDoxMDA1NjUzODk0OTE2ODU2XzE2OTg3MDY3MTczNTA3NDI=,,"I'll know once you add a direct flight to Seoul out of Portland, Oregon",2025-01-24,initial,8
Delta,2025-01-22 09:00:00,Y29tbWVudDoxMDA1NjUzODk0OTE2ODU2XzU4OTk2MDc2NzI4MDE2Nw==,Y29tbWVudDoxMDA1NjUzODk0OTE2ODU2XzE2OTg3MDY3MTczNTA3NDI=,where are you from ?,2025-01-31,reply,0
Delta,2025-01-22 09:00:00,Y29tbWVudDoxMDA1NjUzODk0OTE2ODU2XzU4NzQwNTY4NDQ0NTE0MQ==,Y29tbWVudDoxMDA1NjUzODk0OTE2ODU2XzE2OTg3MDY3MTczNTA3NDI=,I will be glad if we become fluent in our conversation,2025-01-31,reply,0
Delta,2025-01-22 09:00:00,Y29tbWVudDoxMDA1NjUzODk0OTE2ODU2XzE2NTkwNDA1NDEzNzU2MTk=,,"I stayed in Myeondong area and it was a great area. Set up a culinary tour with a local, I booked mine thru Air BnB experiences or whatever it’s called.",2025-01-24,initial,11
Delta,2025-01-22 09:00:00,Y29tbWVudDoxMDA1NjUzODk0OTE2ODU2XzExMTA1MzU0MjA1Mzg2NDk=,Y29tbWVudDoxMDA1NjUzODk0OTE2ODU2XzE2NTkwNDA1NDEzNzU2MTk=,hey Elkin?,2025-01-24,reply,0
Delta,2025-01-22 09:00:00,Y29tbWVudDoxMDA1NjUzODk0OTE2ODU2XzExMzEwNDQ5OTIwNTE3MTY=,,Eat Kimchi! Would love to visit Seoul one day!,2025-01-24,initial,6
