company_name,post_date,id,parent_id,comment_text,comment_date,comment_type,reaction_count
Delta,2025-02-03 12:34:00,Y29tbWVudDoxMDE1MDM2Mzc3MzExOTQxXzExMjM1MDYxMzYxODU5MzM=,,Flew EYW-ATL-PVD yesterday and all your staff were outstanding! The bubbly lass at gate 18 for the ATL-PVD was brilliant! Wish I remembered her name. The crew of both (FULL) flights were professional and handled passengers who didnt know where their se… See more,2025-02-07,initial,12
Delta,2025-02-03 12:34:00,Y29tbWVudDoxMDE0MzQ4OTcwNzE0MDE1XzExNzczNzgyNDcxNDI1Nzg=,,"Delta still owes me for the botched trip in December - They care not, I do not trust any airline these days, we must not bail them out, the strong focused on merit based incentives will survive!",2025-02-07,initial,27
Delta,2025-02-03 12:34:00,Y29tbWVudDoxMDA1NjUzODk0OTE2ODU2XzE1MzkxMDU3NDM0MTgwNzM=,,"People of Delta Delta Air Lines, My name is Myrna Menendez, I am officially disabled, I have braces on each leg up to my hip, and my shoulders are arthritic, therefore I ride in my own wheelchair because I am truly handicapped. Yesterday I came on flig… See more",2025-01-24,initial,25
Delta,2025-02-03 12:34:00,Y29tbWVudDo5OTk1MDUwODg4NjUwNzBfMTM5OTI4MjgxNDM4NTU2OA==,,I'll still use Lyft when I want to do a rideshare.,2025-01-17,initial,24
Delta,2025-02-03 12:34:00,Y29tbWVudDo5OTgwMjQ0NjkwMTMxMzJfMjA5NjIyMzY1NzUwMDI0Ng==,,"What a disappoitment Delta, waiting for a delay flight since yesterday 01/10 9am Atlanta - Tokyo with 2 plane drops. You started 2025 as the worst airline.",2025-01-17,initial,24
Delta,2025-02-03 12:34:00,Y29tbWVudDo5OTUyMTIxMDI2Mjc3MDJfNTcxNzE5Nzk1ODM0OTIy,,Delta needs to do alot more than an all expenses paid trip for a couple of people. They need to add to staffing and pilot shortages and lessen their horrid flight cancellation percentages.,2025-01-10,initial,20
Delta,2025-02-03 12:34:00,Y29tbWVudDoxMDE0MzQ4OTcwNzE0MDE1XzExNzczNzgyNDcxNDI1Nzg=,,"Delta still owes me for the botched trip in December - They care not, I do not trust any airline these days, we must not bail them out, the strong focused on merit based incentives will survive!",2025-02-07,initial,27
Delta,2025-02-03 12:34:00,Y29tbWVudDoxMDE0MzQ4OTcwNzE0MDE1XzYwMzAzNjA3MjY4NDcxMQ==,Y29tbWVudDoxMDE0MzQ4OTcwNzE0MDE1XzExNzczNzgyNDcxNDI1Nzg=,"Thanks for reaching out. into this. Also, we’ve sent you a Private Message, please check your inbox. Thank you.",2025-02-07,reply,0
Delta,2025-02-03 12:34:00,Y29tbWVudDoxMDE0MzQ4OTcwNzE0MDE1XzEyNDcxMzIyOTk3MTI4OTQ=,Y29tbWVudDoxMDE0MzQ4OTcwNzE0MDE1XzExNzczNzgyNDcxNDI1Nzg=,"Hello ,we are deeply sorry for making you feel that way, it was never our intention but we would like to closely look at the concern raised. Please DM your reachable Whatsapp number we connect you with an agent who can assist. Thank you",2025-02-07,reply,0
Delta,2025-02-03 12:34:00,Y29tbWVudDoxMDE0MzQ4OTcwNzE0MDE1XzQ5NjE4MDk4OTg0MDM1OA==,Y29tbWVudDoxMDE0MzQ4OTcwNzE0MDE1XzExNzczNzgyNDcxNDI1Nzg=,"Hi ,We apologize for the inconvenience and such an experience with us. We would like to look at the problem raised further. Kindly share your Mobile number via DM we reach out for quick assistance .Thanks!",2025-02-07,reply,0
