company_name,post_date,id,parent_id,comment_text,comment_date,comment_type,reaction_count
Target,2025-01-30 07:55:00,Y29tbWVudDoxMTY5MDA3NTk0NTg0NjMwXzM5ODE2NjgzNTU0MTI0NzQ=,,Of course you have Cheetos,2025-01-31,initial,225
Target,2025-01-30 07:55:00,Y29tbWVudDoxMTY5MDA3NTk0NTg0NjMwXzEyOTU0MTA1NDE3MTgwNDQ=,Y29tbWVudDoxMTY5MDA3NTk0NTg0NjMwXzM5ODE2NjgzNTU0MTI0NzQ=,Cheetos being listed as #1 doesn't even feel subliminal.,2025-01-31,reply,6
Target,2025-01-30 07:55:00,Y29tbWVudDoxMTY5MDA3NTk0NTg0NjMwXzY0NDI0NTYyMTUwMTY0NQ==,Y29tbWVudDoxMTY5MDA3NTk0NTg0NjMwXzM5ODE2NjgzNTU0MTI0NzQ=,best comment,2025-01-31,reply,5
Target,2025-01-30 07:55:00,Y29tbWVudDoxMTY5MDA3NTk0NTg0NjMwXzUwNzY0OTUzMjM0OTg1OA==,Y29tbWVudDoxMTY5MDA3NTk0NTg0NjMwXzM5ODE2NjgzNTU0MTI0NzQ=,too funny.,2025-01-31,reply,0
Target,2025-01-30 07:55:00,Y29tbWVudDoxMTY5MDA3NTk0NTg0NjMwXzE2NjQxOTk5NTA4NzYwNDA=,Y29tbWVudDoxMTY5MDA3NTk0NTg0NjMwXzM5ODE2NjgzNTU0MTI0NzQ=,so does Costco,2025-02-07,reply,1
Target,2025-01-30 07:55:00,Y29tbWVudDoxMTY5MDA3NTk0NTg0NjMwXzE2NDU3MDkwODI5OTA5MjA=,,It's another day of not shopping at Target,2025-02-07,initial,102
Target,2025-01-30 07:55:00,Y29tbWVudDoxMTY5MDA3NTk0NTg0NjMwXzExNDQ1NTIwMzA3MTIxNDU=,Y29tbWVudDoxMTY5MDA3NTk0NTg0NjMwXzE2NDU3MDkwODI5OTA5MjA=,Hello Thom - Is there something we can help you find?,2025-02-07,reply,68
Target,2025-01-30 07:55:00,Y29tbWVudDoxMTY5MDA3NTk0NTg0NjMwXzExNjQ1MjYxNDUwMjM1NTI=,Y29tbWVudDoxMTY5MDA3NTk0NTg0NjMwXzExNDQ1NTIwMzA3MTIxNDU=,"Yes, a company that supports DEI practices.",2025-02-07,reply,230
Target,2025-01-30 07:55:00,Y29tbWVudDoxMTY5MDA3NTk0NTg0NjMwXzExMjcwNzg3MjIyOTc1NjE=,Y29tbWVudDoxMTY5MDA3NTk0NTg0NjMwXzExNDQ1NTIwMzA3MTIxNDU=,Like Thom we are all disappointed in Target and will not be shopping with you anymore.,2025-02-07,reply,7
Target,2025-01-30 07:55:00,Y29tbWVudDoxMTY5MDA3NTk0NTg0NjMwXzEwMzQyMjAxOTg3NTIxOTA=,Y29tbWVudDoxMTY5MDA3NTk0NTg0NjMwXzExMjcwNzg3MjIyOTc1NjE=,speak for yourself,2025-02-07,reply,0
Target,2025-01-30 07:55:00,Y29tbWVudDoxMTY5MDA3NTk0NTg0NjMwXzExNzczMTgzOTA2NzM4MTk=,Y29tbWVudDoxMTY5MDA3NTk0NTg0NjMwXzEwMzQyMjAxOTg3NTIxOTA=,"Read the room, Ashley.",2025-02-07,reply,6
Target,2025-01-30 07:55:00,Y29tbWVudDoxMTY5MDA3NTk0NTg0NjMwXzEzMTkxODI5NDkxMDQ0ODI=,Y29tbWVudDoxMTY5MDA3NTk0NTg0NjMwXzE2NjQxOTk5NTA4NzYwNDA=,seems like the majority is in her favor. Nice try though.,2025-02-07,reply,0
Target,2025-01-30 07:55:00,Y29tbWVudDoxMTY5MDA3NTk0NTg0NjMwXzEzMTE5MDA5OTY2MDY4NDM=,Y29tbWVudDoxMTY5MDA3NTk0NTg0NjMwXzEzMTkxODI5NDkxMDQ0ODI=,I'm not talking to you and good for them,2025-02-07,reply,0
Target,2025-01-30 07:55:00,Y29tbWVudDoxMTY5MDA3NTk0NTg0NjMwXzY1Mzc2MjMzMDMzNjE0Mg==,Y29tbWVudDoxMTY5MDA3NTk0NTg0NjMwXzExNDQ1NTIwMzA3MTIxNDU=,how very off-color of a comment!,2025-02-07,reply,0
Target,2025-01-30 07:55:00,Y29tbWVudDoxMTY5MDA3NTk0NTg0NjMwXzU0MzYzNjQxODY5ODg0MQ==,Y29tbWVudDoxMTY5MDA3NTk0NTg0NjMwXzE2NjQxOTk5NTA4NzYwNDA=,didn't look like she was talking to you either. But here we are.,2025-02-07,reply,3
Target,2025-01-30 07:55:00,Y29tbWVudDoxMTY5MDA3NTk0NTg0NjMwXzExMTEwODg4NTA3NTEwMTY=,Y29tbWVudDoxMTY5MDA3NTk0NTg0NjMwXzExNDQ1NTIwMzA3MTIxNDU=,"Yes, Melodee. A backbone.",2025-02-07,reply,0
Target,2025-01-30 07:55:00,Y29tbWVudDoxMTY5MDA3NTk0NTg0NjMwXzE4MzMzMDExMzc0NDI0NzQ=,Y29tbWVudDoxMTY5MDA3NTk0NTg0NjMwXzExNDQ1NTIwMzA3MTIxNDU=,DEI policy?,2025-02-07,reply,0
Target,2025-01-30 07:55:00,Y29tbWVudDoxMTY5MDA3NTk0NTg0NjMwXzYxMzAzMjQwODMzMDM3Ng==,Y29tbWVudDoxMTY5MDA3NTk0NTg0NjMwXzExNDQ1NTIwMzA3MTIxNDU=,your spine,2025-02-07,reply,0
Target,2025-01-30 07:55:00,Y29tbWVudDoxMTY5MDA3NTk0NTg0NjMwXzkzNTkyODk2NTMzNjg0OQ==,Y29tbWVudDoxMTY5MDA3NTk0NTg0NjMwXzExNDQ1NTIwMzA3MTIxNDU=,your integrity.,2025-02-07,reply,0
Target,2025-01-30 07:55:00,Y29tbWVudDoxMTY5MDA3NTk0NTg0NjMwXzQxNjQ5MzM3MDM3MzUyNjA=,Y29tbWVudDoxMTY5MDA3NTk0NTg0NjMwXzExNDQ1NTIwMzA3MTIxNDU=,A spine?,2025-02-07,reply,0
