company_name,post_date,id,parent_id,comment_text,comment_date,comment_type,reaction_count
Target,2025-01-21 15:56:00,Y29tbWVudDoxMTY0NjU3NjQxNjg2MjkyXzQ5NzEzMTMwMzQwNzM5Mw==,,Hey... TARGET...NONE OF YOUR STORES IN ST.LOUIS HAVE THE AALIYAH BARBIE DOLL...WHICH WAS DUE TO BE RELEASED TODAY!!! This is a SERIOUS ordeal!!!,2025-01-31,initial,5
Target,2025-01-21 15:56:00,Y29tbWVudDoxMTY0NjU3NjQxNjg2MjkyXzU4MTk0MTQ0NDgyMDU3OA==,Y29tbWVudDoxMTY0NjU3NjQxNjg2MjkyXzQ5NzEzMTMwMzQwNzM5Mw==,"We apologize for the inconvenience. In some cases, demand may exceed supply, you can opt in or opt out of notifications on the product detail page for when the item comes back into stock.",2025-01-31,reply,0
Target,2025-01-21 15:56:00,Y29tbWVudDoxMTYyNzA2ODI1MjE0NzA3XzEwMTQ2MzEwNDcyMDkyMDg=,,Still no Marvel Legends in Minnesota stores. Get with it already!,2025-01-24,initial,4
Target,2025-01-21 15:56:00,Y29tbWVudDoxMTYyNzA2ODI1MjE0NzA3XzY0ODMyMDcwNzYxOTg2Mg==,Y29tbWVudDoxMTYyNzA2ODI1MjE0NzA3XzEwMTQ2MzEwNDcyMDkyMDg=,"Hi Roberto - Thanks for reaching out. We'll be happy to share feedback, about the Marvel Legends. Please send us a PM at https://tgt.biz/z0zkya and include your full name, email, and zip code. We look forward to hearing from you. - Natasha",2025-01-24,reply,8
Target,2025-01-21 15:56:00,Y29tbWVudDoxMTYxMDI3MjMyMDQ5MzMzXzEzMzkzODcxOTc0ODk0NTE=,,"Trying to checkout online, made sure I'm logged in and everything looks fine. But it's not applying my 5% off when I go to use my redcard. Is this a known issue right now?'",2025-01-24,initial,6
Target,2025-01-21 15:56:00,Y29tbWVudDoxMTYxMDI3MjMyMDQ5MzMzXzU2NTYwMTU1MzI5NjY5NA==,Y29tbWVudDoxMTYxMDI3MjMyMDQ5MzMzXzEzMzkzODcxOTc0ODk0NTE=,"Hello Amanda - Thank you for bringing this to our attention. At this time, we are not aware of any issues with the 5% off while using your Circle Card. We would like to look into this further. Can you DM us your full name and email address? We would li… See more",2025-01-24,reply,0
Target,2025-01-21 15:56:00,Y29tbWVudDoxMTYwMzk5ODA4Nzc4NzQyXzYyMzI4MDU2MzU3NTYzOA==,,"2016: ""Inclusivity is a core belief at Target""",2025-01-31,initial,67
Target,2025-01-21 15:56:00,Y29tbWVudDoxMTYwMzk5ODA4Nzc4NzQyXzkwNjM4ODEwMDcwMzM3NzM=,Y29tbWVudDoxMTYwMzk5ODA4Nzc4NzQyXzYyMzI4MDU2MzU3NTYzOA==,deadass,2025-01-31,reply,0
Target,2025-01-21 15:56:00,Y29tbWVudDoxMTU5ODI2OTg1NTAyNjkxXzY0OTgwNDg5NzM4MDYxMA==,,Costco carries these and similar items and has DEI initiatives designed to create a more inclusive workplace and shopping environment for all.,2025-01-31,initial,104
Target,2025-01-21 15:56:00,Y29tbWVudDoxMTU4NDQ5OTYyMzA3MDYwXzI3MDY2MzM4MTk1Mzg4MTE=,,"2016: ""Inclusivity is a core belief at Target""",2025-01-31,initial,39
Target,2025-01-21 15:56:00,Y29tbWVudDoxMTU4NDQ5OTYyMzA3MDYwXzI4NTcyNjI5NjA1Njg0MDk1,Y29tbWVudDoxMTU4NDQ5OTYyMzA3MDYwXzI3MDY2MzM4MTk1Mzg4MTE=,seriously!  Target you guys going to respond?,2025-01-31,reply,9
Target,2025-01-21 15:56:00,Y29tbWVudDoxMTU3NzY2ODE1NzA4NzA4XzIxMjE3ODUyMjQ5NDQzNTU=,,Our Target has none of this. There bens have nothing in them horribly stocked store.,2025-01-17,initial,8
Target,2025-01-21 15:56:00,Y29tbWVudDoxMTU3NzY2ODE1NzA4NzA4XzE2OTUzMjAzMzc3NDgxMTE=,Y29tbWVudDoxMTU3NzY2ODE1NzA4NzA4XzIxMjE3ODUyMjQ5NDQzNTU=,"Hello Carol - Target always wants you to have an amazing shopping experience! Please send us a private message with your full name, email address, store location, and the items, the store does not have available for purchase. We will share your feedbac… See more",2025-01-17,reply,9
Target,2025-01-21 15:56:00,Y29tbWVudDoxMTU3MTAwNzE5MTA4NjUxXzkyNDg4MDQ0ODE4MjMwNzk=,,How does a person get invited?,2025-01-24,initial,4
Target,2025-01-21 15:56:00,Y29tbWVudDoxMTU3MTAwNzE5MTA4NjUxXzUwNzA1Njk3ODU1NTc1OA==,Y29tbWVudDoxMTU3MTAwNzE5MTA4NjUxXzkyNDg4MDQ0ODE4MjMwNzk=,"Hello Pamela - Thanks for reaching out to Target today! Please click on the following link for more information, https://tgt.biz/l49xxu. We hope this helps and have a wonderful weekend! - Bri",2025-01-24,reply,3
Target,2025-01-21 15:56:00,Y29tbWVudDoxMTUzNTAzMTY5NDY4NDA2XzM5NzEwMDM4ODMxMTg5ODM=,,How much soy is in this?,2025-01-17,initial,2
Target,2025-01-21 15:56:00,Y29tbWVudDoxMTUzNTAzMTY5NDY4NDA2XzU3MzMzMzY2ODk0ODc0Ng==,Y29tbWVudDoxMTUzNTAzMTY5NDY4NDA2XzM5NzEwMDM4ODMxMTg5ODM=,Hello - Thanks for reaching out to us about your inquiry to Bero. Please let us know which Bero you would like to know about. Looking forward to hearing from you.,2025-01-17,reply,2
Target,2025-01-21 15:56:00,Y29tbWVudDoxMTYyNzA2ODI1MjE0NzA3XzEwMTQ2MzEwNDcyMDkyMDg=,,Still no Marvel Legends in Minnesota stores. Get with it already!,2025-01-24,initial,4
Target,2025-01-21 15:56:00,Y29tbWVudDoxMTYyNzA2ODI1MjE0NzA3XzY0ODMyMDcwNzYxOTg2Mg==,Y29tbWVudDoxMTYyNzA2ODI1MjE0NzA3XzEwMTQ2MzEwNDcyMDkyMDg=,"Hi Roberto - Thanks for reaching out. We'll be happy to share feedback, about the Marvel Legends. Please send us a PM at https://tgt.biz/z0zkya and include your full name, email, and zip code. We look forward to hearing from you. - Natasha",2025-01-24,reply,8
Target,2025-01-21 15:56:00,Y29tbWVudDoxMTYyNzA2ODI1MjE0NzA3XzEyODUyNzI4NTkyNDg2NTc=,Y29tbWVudDoxMTYyNzA2ODI1MjE0NzA3XzEwMTQ2MzEwNDcyMDkyMDg=,Still nothing ?,2025-01-31,reply,0
Target,2025-01-21 15:56:00,Y29tbWVudDoxMTYyNzA2ODI1MjE0NzA3XzM4MTk4MjQ4MjE2MDk5NDg=,Y29tbWVudDoxMTYyNzA2ODI1MjE0NzA3XzEwMTQ2MzEwNDcyMDkyMDg=,same with Wisconsin,2025-01-24,reply,1
Target,2025-01-21 15:56:00,Y29tbWVudDoxMTYyNzA2ODI1MjE0NzA3XzEyOTExNTI0NDU2NDU3MDU=,Y29tbWVudDoxMTYyNzA2ODI1MjE0NzA3XzM4MTk4MjQ4MjE2MDk5NDg=,it's absolutely ridiculous,2025-01-24,reply,1
Target,2025-01-21 15:56:00,Y29tbWVudDoxMTYyNzA2ODI1MjE0NzA3XzUxNzQzMzEwMDc5MjE3NQ==,,No longer planning to purchase groceries. I’ll miss the delivery directly to my car but I’ll certainly survive and shop at places working for more equity and inclusion in our world.,2025-01-31,initial,136
Target,2025-01-21 15:56:00,Y29tbWVudDoxMTYyNzA2ODI1MjE0NzA3XzE3Mjc2NjQ3ODE0Nzc5MTA=,Y29tbWVudDoxMTYyNzA2ODI1MjE0NzA3XzUxNzQzMzEwMDc5MjE3NQ==,same!,2025-01-31,reply,6
Target,2025-01-21 15:56:00,Y29tbWVudDoxMTYyNzA2ODI1MjE0NzA3XzE2NTYwOTQwNDE5ODEzMDE=,,Isn’t it amazing when a bunch of diverse ingredients come together and make something better???? Oh wait….,2025-01-31,initial,147
Target,2025-01-21 15:56:00,Y29tbWVudDoxMTYyNzA2ODI1MjE0NzA3XzQ3Mjg1MTEyMjU0MTI0Nw==,Y29tbWVudDoxMTYyNzA2ODI1MjE0NzA3XzE2NTYwOTQwNDE5ODEzMDE=,chef’s kiss comment,2025-01-31,reply,3
Target,2025-01-21 15:56:00,Y29tbWVudDoxMTYyNzA2ODI1MjE0NzA3XzExMzMyNjE4NjgzMzM4Mzc=,,"It’s amazing how colorful and diverse salads are. The vegetables all blend together so well, bring out all the wonderful flavor and texture. Each individual vegetable doing its part to make the salad a masterpiece. Just wish humans could be more like Salads.",2025-01-31,initial,45
Target,2025-01-21 15:56:00,Y29tbWVudDoxMTYyNzA2ODI1MjE0NzA3XzEyNjYyMzc1OTgwMTMzNDE=,,Aldi has salad kits and DEI initiatives designed to create a more inclusive workplace and shopping environment for all.,2025-01-31,initial,102
Target,2025-01-21 15:56:00,Y29tbWVudDoxMTYyNzA2ODI1MjE0NzA3XzExMjQ3MzkxMzkyMzM4MzE=,Y29tbWVudDoxMTYyNzA2ODI1MjE0NzA3XzEyNjYyMzc1OTgwMTMzNDE=,Check again.,2025-01-31,reply,0
Target,2025-01-21 15:56:00,Y29tbWVudDoxMTYyNzA2ODI1MjE0NzA3XzYzMDA2Njg0MjcyODM2MQ==,,ALDIs is great and economical!!!,2025-01-31,initial,67
Target,2025-01-21 15:56:00,Y29tbWVudDoxMTYyNzA2ODI1MjE0NzA3XzQ3Mzc2ODU4ODg5OTUyOQ==,,Doesn’t Costco have these,2025-01-31,initial,106
Target,2025-01-21 15:56:00,Y29tbWVudDoxMTYyNzA2ODI1MjE0NzA3XzI2NjA4NzEyNjA3ODk4NDc=,Y29tbWVudDoxMTYyNzA2ODI1MjE0NzA3XzQ3Mzc2ODU4ODg5OTUyOQ==,they sure do and I believe they are cheaper than buying it from Target.,2025-01-31,reply,1
Target,2025-01-21 15:56:00,Y29tbWVudDoxMTYyNzA2ODI1MjE0NzA3XzExMDUzODc5OTEyNjc5NTk=,Y29tbWVudDoxMTYyNzA2ODI1MjE0NzA3XzQ3Mzc2ODU4ODg5OTUyOQ==,oh yes. COSTCO ALL THE WAY,2025-01-31,reply,1
Target,2025-01-21 15:56:00,Y29tbWVudDoxMTYyNzA2ODI1MjE0NzA3XzE2MTI0ODkzMjI3MTM4MjM=,Y29tbWVudDoxMTYyNzA2ODI1MjE0NzA3XzQ3Mzc2ODU4ODg5OTUyOQ==,If they don't I'm sure they have something better.,2025-01-31,reply,0
Target,2025-01-21 15:56:00,Y29tbWVudDoxMTYyNzA2ODI1MjE0NzA3XzIwMjE0OTg2NjUwMjM3NTc=,,"Since FB doesn’t fact check anymore, I will not be longer shop at Target.",2025-01-24,initial,49
Target,2025-01-21 15:56:00,Y29tbWVudDoxMTYyNzA2ODI1MjE0NzA3XzE1NzQzMzk0MzMxOTEwNzc=,Y29tbWVudDoxMTYyNzA2ODI1MjE0NzA3XzIwMjE0OTg2NjUwMjM3NTc=,"What does one thing have to do with the other? Yes it’s ridiculous that Z-boy has done away with fact checking, but Target doesn’t do false ads so what’s your issue, exactly?",2025-01-24,reply,7
Target,2025-01-21 15:56:00,Y29tbWVudDoxMTYyNzA2ODI1MjE0NzA3XzY1NDAyNDAzMzc1NTI0MQ==,Y29tbWVudDoxMTYyNzA2ODI1MjE0NzA3XzIwMjE0OTg2NjUwMjM3NTc=,why??,2025-01-24,reply,0
Target,2025-01-21 15:56:00,Y29tbWVudDoxMTYyNzA2ODI1MjE0NzA3XzE1MTEyMzQwMTk4MDkxODY=,,I would buy this but you rolled back on your DEI initiatives so I’ll have to pass.,2025-01-31,initial,34
Target,2025-01-21 15:56:00,Y29tbWVudDoxMTYyNzA2ODI1MjE0NzA3XzExMzgxNTY2NDEwNDc5ODk=,,These salads are great and very inexpensive. The produce clerk was removing them from,2025-01-24,initial,6
Target,2025-01-21 15:56:00,Y29tbWVudDoxMTYyNzA2ODI1MjE0NzA3XzE1MDU4OTg0NzAwODU3NzI=,,Notice how orange the dressing is,2025-01-31,initial,12
Target,2025-01-21 15:56:00,Y29tbWVudDoxMTYyNzA2ODI1MjE0NzA3XzExMTE0NjY4MjM2MDMwODg=,,These salads are really good.,2025-01-24,initial,11
Target,2025-01-21 15:56:00,Y29tbWVudDoxMTYyNzA2ODI1MjE0NzA3Xzg5MTEwMzk2NjQzMTk2NQ==,Y29tbWVudDoxMTYyNzA2ODI1MjE0NzA3XzExMTE0NjY4MjM2MDMwODg=,Not diverse enough ingredients for me,2025-01-31,reply,2
Target,2025-01-21 15:56:00,Y29tbWVudDoxMTYyNzA2ODI1MjE0NzA3XzM1MjY0MDY4Nzc2Njc3MDc=,Y29tbWVudDoxMTYyNzA2ODI1MjE0NzA3Xzg5MTEwMzk2NjQzMTk2NQ==,add extras you might want. I sometimes do,2025-01-31,reply,0
Target,2025-01-21 15:56:00,Y29tbWVudDoxMTYyNzA2ODI1MjE0NzA3XzM5MzEzMzk0OTcxNDEzNDU=,Y29tbWVudDoxMTYyNzA2ODI1MjE0NzA3XzM1MjY0MDY4Nzc2Njc3MDc=,They are very good Salads and very convenient for lunch.,2025-01-31,reply,1
Target,2025-01-21 15:56:00,Y29tbWVudDoxMTYyNzA2ODI1MjE0NzA3XzEyODc3NTUwMTIyNzU0Mzc=,,I bet Costco has these.,2025-01-31,initial,8
Target,2025-01-21 15:56:00,Y29tbWVudDoxMTYyNzA2ODI1MjE0NzA3XzEwMTU2NzY5MzcwNjgyMDI=,,Them salads taste so good and healthy f,2025-01-24,initial,4
Target,2025-01-21 15:56:00,Y29tbWVudDoxMTYyNzA2ODI1MjE0NzA3XzE3NzE5NjU2NDAzMDY3NjY=,,Nashville salad is my favorite.,2025-01-24,initial,3
Target,2025-01-21 15:56:00,Y29tbWVudDoxMTYyNzA2ODI1MjE0NzA3XzExNDAzNTQwODQ0NzcxOTQ=,,Costco has amazing salad kits and DEI!,2025-01-31,initial,6
Target,2025-01-21 15:56:00,Y29tbWVudDoxMTYyNzA2ODI1MjE0NzA3XzIzOTA5NDcxODc5MjkwNzY=,,Sell outs...,2025-01-31,initial,4
Target,2025-01-21 15:56:00,Y29tbWVudDoxMTYyNzA2ODI1MjE0NzA3XzExNjQzNjYyMTg2MTUzNTI=,,Now I have to drive to Costco when I had a Target next door,2025-01-31,initial,7
