company_name,post_date,id,parent_id,comment_text,comment_date,comment_type,reaction_count
Target,2025-02-22 08:15:00,Y29tbWVudDoxMTg1Mjk1NzcyOTU1ODEyXzIwNTA5MjMxOTg3NDE2NzQ=,,"I have been a devoted Target shopper for years, but my money will go elsewhere until you grow a spine/conscience.",2025-02-28,initial,567
Target,2025-02-22 08:15:00,Y29tbWVudDoxMTg1Mjk1NzcyOTU1ODEyXzQ4MjQ4NTE1NzEwNzM0ODE=,Y29tbWVudDoxMTg1Mjk1NzcyOTU1ODEyXzIwNTA5MjMxOTg3NDE2NzQ=,in what way?,2025-02-28,reply,1
Target,2025-02-22 08:15:00,Y29tbWVudDoxMTg1Mjk1NzcyOTU1ODEyXzk3OTA4MjUwNzA1NzYwNQ==,Y29tbWVudDoxMTg1Mjk1NzcyOTU1ODEyXzQ4MjQ4NTE1NzEwNzM0ODE=,watch the news,2025-02-28,reply,2
Target,2025-02-22 08:15:00,Y29tbWVudDoxMTg1Mjk1NzcyOTU1ODEyXzEyMjU3ODExMTI0NDUzMDg=,Y29tbWVudDoxMTg1Mjk1NzcyOTU1ODEyXzIwNTA5MjMxOTg3NDE2NzQ=,that's right Kerri!!!,2025-02-28,reply,16
Target,2025-02-22 08:15:00,Y29tbWVudDoxMTg1Mjk1NzcyOTU1ODEyXzE5NzE0MjgyMzY2NzE4MzY=,Y29tbWVudDoxMTg1Mjk1NzcyOTU1ODEyXzIwNTA5MjMxOTg3NDE2NzQ=,same!,2025-02-28,reply,1
Target,2025-02-22 08:15:00,Y29tbWVudDoxMTg1Mjk1NzcyOTU1ODEyXzEwMTA3MzA1NTQyNTkyOTQ=,Y29tbWVudDoxMTg1Mjk1NzcyOTU1ODEyXzIwNTA5MjMxOTg3NDE2NzQ=,yeassss,2025-02-28,reply,14
Target,2025-02-22 08:15:00,Y29tbWVudDoxMTg1Mjk1NzcyOTU1ODEyXzEzMDgyNzkxNTM3Njk0MjY=,Y29tbWVudDoxMTg1Mjk1NzcyOTU1ODEyXzIwNTA5MjMxOTg3NDE2NzQ=,"guess I live in a bubble, what did Target do?",2025-02-28,reply,6
Target,2025-02-22 08:15:00,Y29tbWVudDoxMTg1Mjk1NzcyOTU1ODEyXzEzMzI0NzQyMTgwMDAzMjU=,Y29tbWVudDoxMTg1Mjk1NzcyOTU1ODEyXzIwNTA5MjMxOTg3NDE2NzQ=,right with you,2025-02-28,reply,7
Target,2025-02-22 08:15:00,Y29tbWVudDoxMTg1Mjk1NzcyOTU1ODEyXzQxNTIzMzI2NDk4NjE4Mw==,Y29tbWVudDoxMTg1Mjk1NzcyOTU1ODEyXzIwNTA5MjMxOTg3NDE2NzQ=,They already have. DEI is gone,2025-02-28,reply,3
Target,2025-02-22 08:15:00,Y29tbWVudDoxMTg1Mjk1NzcyOTU1ODEyXzIwOTkwMTU3NzA1NDcwMDg=,Y29tbWVudDoxMTg1Mjk1NzcyOTU1ODEyXzQxNTIzMzI2NDk4NjE4Mw==,it’s not gone they renamed it.,2025-02-28,reply,1
