company_name,post_date,id,parent_id,comment_text,comment_date,comment_type,reaction_count
Costco,2025-01-26 19:21:00,Y29tbWVudDoxMDMwNDA2MjQyNDUwODcyXzk3MjEwNzYwNDgwMzc1NQ==,,Thank you Costco. I will be shopping with you more frequently now.,2025-02-01,initial,1
Costco,2025-01-26 19:21:00,Y29tbWVudDoxMDMwNDA2MjQyNDUwODcyXzEwNTU2MzM2Njk2Njc0MTM=,,"Thanks Costco for standing up for what is right! I will continue to shop and support your business BECAUSE you recognize that we are better together and our differences ultimately lead to a better culture, both in business and life!",2025-02-01,initial,1
Costco,2025-01-26 19:21:00,Y29tbWVudDoxMDMwNDA2MjQyNDUwODcyXzE0MTc4NDA1NjU4NTE5OTQ=,,Thank you Costco for creating a wonderful workplace that supports merit and while having a strong stance Diversity and inclusion. It’s called a “hand up and not a hand out.”,2025-02-01,initial,6
Costco,2025-01-26 19:21:00,Y29tbWVudDoxMDMwNDA2MjQyNDUwODcyXzYyMTMwMjM5MDU4NjM4Nw==,,We love Costco and specifically shop there because of their support of DEI and paying a living wage. Keep up the good work!!,2025-02-01,initial,9
Costco,2025-01-26 19:21:00,Y29tbWVudDoxMDMwNDA2MjQyNDUwODcyXzEzNDM2MTU1MjMzMjg0OTE=,,"Thank you, Costco for continuing to support DEI policies that make us a stronger community.",2025-02-01,initial,3
Costco,2025-01-26 19:21:00,Y29tbWVudDoxMDMwNDA2MjQyNDUwODcyXzEyOTg2MjI3MjgwMjE1OTk=,,"I am a proud, “card carrying member” of Costco. Thank you for all that you do.",2025-02-01,initial,8
Costco,2025-01-26 19:21:00,Y29tbWVudDoxMDMwNDA2MjQyNDUwODcyXzkzNTY4MTIxODY4MDM4Mg==,,"Costco, you have always been a great place to shop. You will be getting more business from me and my family. Proud of your stance on being inclusive of ALL Americans.",2025-02-01,initial,21
Costco,2025-01-26 19:21:00,Y29tbWVudDoxMDMwNDA2MjQyNDUwODcyXzkzOTIxMjA1Mjc0NzQyOTg=,Y29tbWVudDoxMDMwNDA2MjQyNDUwODcyXzkzNTY4MTIxODY4MDM4Mg==,never been in one before. But I’ll drive 1.5 hours to get to one now. Kudos to Costco,2025-02-01,reply,2
Costco,2025-01-26 19:21:00,Y29tbWVudDoxMDMwNDA2MjQyNDUwODcyXzkyNTkwNjcxNTA3OTg5ODI=,,"Yay!!! Way to go Costco!! We got our membership a few months ago. You are worth the 45 min drive. Love your store, even more now that you value policies of diversity, equality and inclusion.",2025-02-01,initial,18
Costco,2025-01-26 19:21:00,Y29tbWVudDoxMDMwNDA2MjQyNDUwODcyXzYxMTc5MzM4NDgzMTUwNA==,,"Costco just secured my loyalty for life! I’ll be buying memberships for all my friends and family for birthdays, holidays, and maybe even Groundhog Day. Supporting a company that values diversity, equity, and inclusion is the real membership perk. As for the MAGAS losing their minds over this…imagine being triggered by kindness and fairness. Maybe they need a Costco-sized box of perspective.",2025-02-01,initial,16
Costco,2025-01-26 19:21:00,Y29tbWVudDoxMDMwNDA2MjQyNDUwODcyXzYzNDEzNTU2MjQwOTg4Mg==,,THANK YOU COSTCO! You valuing your employees enough to stand up to the bullies tells us what a great company you are.,2025-02-01,initial,61
Costco,2025-01-26 19:21:00,Y29tbWVudDoxMDMwNDA2MjQyNDUwODcyXzkxODMzMjIzNjc2MTcxNg==,,Very proud to be a Costco member and shopper. Costco is a place of integrity and treats their employees and customer well. Thank you for not getting rid of DEI,2025-02-01,initial,5
Costco,2025-01-26 19:21:00,Y29tbWVudDoxMDMwNDA2MjQyNDUwODcyXzEzMDI5OTYxMTc2MDg4MTk=,,"Thank you, Costco for standing up for inclusion! I’m not sure why anyone would be opposed to that. I’m glad we just renewed our membership.",2025-02-01,initial,20
Costco,2025-01-26 19:21:00,Y29tbWVudDoxMDMwNDA2MjQyNDUwODcyXzE1NTcxNjk1NTQ5ODgzNTk=,,"Jsut joined for the the first time! Will be redirecting my shopping to Costco, who has been a great employer to family members, has great products, and great prices. Gee, it’s almost like having good values is a good business model!",2025-02-01,initial,26
Costco,2025-01-26 19:21:00,Y29tbWVudDoxMDMwNDA2MjQyNDUwODcyXzEzOTA3Mzg2NTg3NzM3NjM=,,Started buying at Costco. Agree w their politics. All the way Costco!,2025-02-01,initial,41
Costco,2025-01-26 19:21:00,Y29tbWVudDoxMDMwNDA2MjQyNDUwODcyXzEzMzQ3ODU3NDQzNzQ0NDc=,Y29tbWVudDoxMDMwNDA2MjQyNDUwODcyXzEzOTA3Mzg2NTg3NzM3NjM=,same! We are finally getting one in my area soon and I can’t wait!,2025-02-01,reply,2
Costco,2025-01-26 19:21:00,Y29tbWVudDoxMDMwNDA2MjQyNDUwODcyXzEwNjI2MDIwNjIzMDQ0MDk=,Y29tbWVudDoxMDMwNDA2MjQyNDUwODcyXzEzOTA3Mzg2NTg3NzM3NjM=,they will be closing with all the ppl leaving dei bs,2025-02-01,reply,4
Costco,2025-01-26 19:21:00,Y29tbWVudDoxMDMwNDA2MjQyNDUwODcyXzkwMzY1NTM1NDk3MzcxNQ==,,I apologize for a previous post disapproving Costco's stance on DEF in favor of shareholders which was an error and misinformation. I strongly support your stance with continuing DEI despite some shareholder views. You have always been a compassionate business especially with your employees. Continue to conduct business with your heart and not through mean-spiritedness.,2025-02-01,initial,6
Costco,2025-01-26 19:21:00,Y29tbWVudDoxMDMwNDA2MjQyNDUwODcyXzM4ODcwOTY0MzgxNzMxODE=,,WHEN WILL YOU BUILT A STORE IN Lakeland FL?,2025-02-01,initial,3
Costco,2025-01-26 19:21:00,Y29tbWVudDoxMDMwNDA2MjQyNDUwODcyXzExMjQ2NDgxMTg5NDAxNzM=,Y29tbWVudDoxMDMwNDA2MjQyNDUwODcyXzM4ODcwOTY0MzgxNzMxODE=,"DanielandSilvia- Thanks for letting us know! We'll inform our Real Estate team of your request to bring Costco to Lakeland, FL. If you wish to stay up to date on locations coming soon, check out the following link: https://www.costco.com/new-locations.html -Max",2025-02-08,reply,0
