company_name,post_date,id,parent_id,comment_text,comment_date,comment_type,reaction_count
Costco,2025-01-29 09:00:00,Y29tbWVudDoxMDMyMzEyMjAyMjYwMjc2XzYxNjY4MTE1NDQ0Mzk4OA==,,"Please open a store in Buffalo, NY!",2025-03-01,initial,0
Costco,2025-01-29 09:00:00,Y29tbWVudDoxMDMyMzEyMjAyMjYwMjc2XzY1NTEwMTE3MzYzNDg3MA==,Y29tbWVudDoxMDMyMzEyMjAyMjYwMjc2XzYxNjY4MTE1NDQ0Mzk4OA==,Michael- We'll add your location to the wish list. -Gerry,2025-03-01,reply,0
Costco,2025-01-29 09:00:00,Y29tbWVudDoxMDMyMzEyMjAyMjYwMjc2Xzg3MTI0NDkzNTAzMzYyMg==,,What prices do you have for hearing aids?? I need to get them and heard good things about Costco!!,2025-02-22,initial,0
Costco,2025-01-29 09:00:00,Y29tbWVudDoxMDMyMzEyMjAyMjYwMjc2XzU1NzIwMTU4NDA0Njk4MQ==,Y29tbWVudDoxMDMyMzEyMjAyMjYwMjc2Xzg3MTI0NDkzNTAzMzYyMg==,"Shirley, check out our Costco Hearing Aid Center page on our website: https://www.costco.com/hearing-aid-center.html Thanks for the interest! -Christina",2025-03-01,reply,0
Costco,2025-01-29 09:00:00,Y29tbWVudDoxMDMyMzEyMjAyMjYwMjc2Xzk2NDMwMDE4MjAwMTcxNg==,,"Costco, What happened to you Healthy Choice Organic Fudge Bars?",2025-02-22,initial,0
Costco,2025-01-29 09:00:00,Y29tbWVudDoxMDMyMzEyMjAyMjYwMjc2XzEzNTczMTcwNjE5NzE2Njk=,Y29tbWVudDoxMDMyMzEyMjAyMjYwMjc2Xzk2NDMwMDE4MjAwMTcxNg==,"John- Great news! Looks like this item is back in stock at your location, enjoy! -Gerry",2025-03-01,reply,0
Costco,2025-01-29 09:00:00,Y29tbWVudDoxMDMyMzEyMjAyMjYwMjc2XzU0Mjg4OTI3NTQzMTQ2MQ==,,How does one contact corporate Costco to ask a question about why there is a massive dead space for warehouses in the ArkLaTex area?,2025-02-08,initial,1
Costco,2025-01-29 09:00:00,Y29tbWVudDoxMDMyMzEyMjAyMjYwMjc2XzEzMzE3MTExNzEyODgwOTI=,Y29tbWVudDoxMDMyMzEyMjAyMjYwMjc2XzU0Mjg4OTI3NTQzMTQ2MQ==,Robin- We're always happy to hear where a Costco would be welcome. You can count on us to pass your feedback on to our Real Estate team for consideration! -Bekah,2025-02-15,reply,0
Costco,2025-01-29 09:00:00,Y29tbWVudDoxMDMyMzEyMjAyMjYwMjc2XzM4ODM2MjkzMzg1NzcwNDg=,,Are the membership cards digital now?,2025-02-08,initial,0
Costco,2025-01-29 09:00:00,Y29tbWVudDoxMDMyMzEyMjAyMjYwMjc2XzEyNjA0ODk1NzgzNTE2NjE=,Y29tbWVudDoxMDMyMzEyMjAyMjYwMjc2XzM4ODM2MjkzMzg1NzcwNDg=,Trevor- The digital membership card can now be added/accessed through the Costco mobile app. Feel free to visit the following page for more information: https://customerservice.costco.com/.../answer.../a_id/10294 -Ernie,2025-02-15,reply,0
