company_name,post_date,id,parent_id,comment_text,comment_date,comment_type,reaction_count
Delta,2025-02-10 09:02:00,Y29tbWVudDoxMDE5MTM4MTMzNTY4NDMyXzkxODIyMjkyMzgwODQzNw==,,I wish there is a navy on the tote!,2025-02-15,initial,10
Delta,2025-02-10 09:02:00,Y29tbWVudDoxMDE5MTM4MTMzNTY4NDMyXzEzNjUyMDExMjgyMjU3OTA=,Y29tbWVudDoxMDE5MTM4MTMzNTY4NDMyXzkxODIyMjkyMzgwODQzNw==,we're taking notes,2025-02-15,reply,8
Delta,2025-02-10 09:02:00,Y29tbWVudDoxMDE5MTM4MTMzNTY4NDMyXzE2NzQyMjEzMzM1MDU5NDk=,Y29tbWVudDoxMDE5MTM4MTMzNTY4NDMyXzEzNjUyMDExMjgyMjU3OTA=,the tote is super cute! Hopefully will receive it before my upcoming trip. Will definitely order each color if there are other color options in the future!,2025-02-15,reply,0
Delta,2025-02-10 09:02:00,Y29tbWVudDoxMDE5MTM4MTMzNTY4NDMyXzQwNjY2MDc2NDM1NzEwNTA=,Y29tbWVudDoxMDE5MTM4MTMzNTY4NDMyXzkxODIyMjkyMzgwODQzNw==,me too!!,2025-02-15,reply,1
Delta,2025-02-10 09:02:00,Y29tbWVudDoxMDE5MTM4MTMzNTY4NDMyXzYzNTM5Mjc5Mjk4MDUxMQ==,Y29tbWVudDoxMDE5MTM4MTMzNTY4NDMyXzkxODIyMjkyMzgwODQzNw==,yes. Light colored travel bags don’t work as well for me either. But it is super cute!,2025-02-15,reply,1
Delta,2025-02-10 09:02:00,Y29tbWVudDoxMDE5MTM4MTMzNTY4NDMyXzM4MzY2NzQ5ODY1ODYxNTY=,,See you next week looking forward to hopefully collecting some pilot trading cards I dont have!,2025-02-15,initial,8
Delta,2025-02-10 09:02:00,Y29tbWVudDoxMDE5MTM4MTMzNTY4NDMyXzExODQzNzYzNDAxMzU0NzA=,Y29tbWVudDoxMDE5MTM4MTMzNTY4NDMyXzM4MzY2NzQ5ODY1ODYxNTY=,Jerry Kalfrat Jerry?,2025-02-15,reply,0
Delta,2025-02-10 09:02:00,Y29tbWVudDoxMDE5MTM4MTMzNTY4NDMyXzkzNTY1NTcwNTM2MjA5Mg==,Y29tbWVudDoxMDE5MTM4MTMzNTY4NDMyXzM4MzY2NzQ5ODY1ODYxNTY=,Hai dear there are enemies in telangana,2025-02-15,reply,0
Delta,2025-02-10 09:02:00,Y29tbWVudDoxMDE5MTM4MTMzNTY4NDMyXzE4MjMyOTAyNzE3Njk1NTE=,,Congratulations for 100 Years and another hundred more to go.,2025-02-15,initial,3
Delta,2025-02-10 09:02:00,Y29tbWVudDoxMDE5MTM4MTMzNTY4NDMyXzE5ODkxODEyNTQ5Mzc1NjA=,,I received a Delta Olympic package full of goodies. Love the shoulder bag that was included but wish it was just a bit smaller. I Love the Blanket and have had flight attendants offer me money for it.,2025-02-15,initial,11
