company_name,post_date,id,parent_id,comment_text,comment_date,comment_type,reaction_count
Delta,2025-02-19 14:53:00,Y29tbWVudDoxMDI2MTU4MjY5NTMzMDg1XzUxMTIyNTI3NTM0NzUzMQ==,,I only fly on Delta and have logged over 1M miles. They are a great airline dealing with a tragic event that could happen to any airline. Kudos to them for their quick response.,2025-02-22,initial,59
Delta,2025-02-19 14:53:00,Y29tbWVudDoxMDI2MTU4MjY5NTMzMDg1XzYxMDMzODExMTc2MjE0Nw==,Y29tbWVudDoxMDI2MTU4MjY5NTMzMDg1XzUxMTIyNTI3NTM0NzUzMQ==,delta might be great but the contract they signed with endeavor needs to be cancelled !!! They advocate DEI hiring !!! No thank you !!,2025-02-22,reply,6
Delta,2025-02-19 14:53:00,Y29tbWVudDoxMDI2MTU4MjY5NTMzMDg1XzE2OTc4ODkzMDExNDgzOTk=,Y29tbWVudDoxMDI2MTU4MjY5NTMzMDg1XzYxMDMzODExMTc2MjE0Nw==,oh look who is a racist. Only white men are qualified?????? Sure to the racist.,2025-02-22,reply,0
Delta,2025-02-19 14:53:00,Y29tbWVudDoxMDI2MTU4MjY5NTMzMDg1XzI0MTQwODUwMTIyNzM2OTU=,Y29tbWVudDoxMDI2MTU4MjY5NTMzMDg1XzE2OTc4ODkzMDExNDgzOTk=,Yep you are a rightie whitie.,2025-02-22,reply,0
Delta,2025-02-19 14:53:00,Y29tbWVudDoxMDI2MTU4MjY5NTMzMDg1XzU3ODQ1NTgxMTgyMzQwNg==,Y29tbWVudDoxMDI2MTU4MjY5NTMzMDg1XzI0MTQwODUwMTIyNzM2OTU=,If you are hired because of DEI you are unqualified to fly a plane.,2025-02-22,reply,0
Delta,2025-02-19 14:53:00,Y29tbWVudDoxMDI2MTU4MjY5NTMzMDg1XzE2Nzk2OTA4MDU5NTI1ODU=,Y29tbWVudDoxMDI2MTU4MjY5NTMzMDg1XzU3ODQ1NTgxMTgyMzQwNg==,"they don't hire pilots who are unqualified. Of course over the decades we have hired numerous WHITE MEN to do many jobs they were not qualified to do. As for flying now, not why the unqualified felon is in the",2025-02-22,reply,0
Delta,2025-02-19 14:53:00,Y29tbWVudDoxMDI2MTU4MjY5NTMzMDg1XzExNzM4ODM1NTc1MDk0NzQ=,Y29tbWVudDoxMDI2MTU4MjY5NTMzMDg1XzE2Nzk2OTA4MDU5NTI1ODU=,It appears they do DEI and who were the pilots? Pictures please. Rigged trial Trump 2025-2029.,2025-02-22,reply,0
Delta,2025-02-19 14:53:00,Y29tbWVudDoxMDI2MTU4MjY5NTMzMDg1Xzk0MjgzOTA3ODAzOTE0MQ==,Y29tbWVudDoxMDI2MTU4MjY5NTMzMDg1XzExNzM4ODM1NTc1MDk0NzQ=,RACIST ? What’s hiring qualified pilots have to do with being racist ? Why would you have a “ new hire” flying & landing in such conditions ? Why wasn’t the instructor that was with her piloting in all this ice & snow ? If you want some flying your plane just because they fit a quota then you have fun . And just for the record United has a lot of very qualified people of all ethnicities as pilots .,2025-03-01,reply,0
Delta,2025-02-19 14:53:00,Y29tbWVudDoxMDI2MTU4MjY5NTMzMDg1XzEzNDY3NjA0Nzk4NTg3NzE=,Y29tbWVudDoxMDI2MTU4MjY5NTMzMDg1Xzk0MjgzOTA3ODAzOTE0MQ==,um don't know what you are talking about. Perhaps you have me confused with Brad?,2025-03-01,reply,0
Delta,2025-02-19 14:53:00,Y29tbWVudDoxMDI2MTU4MjY5NTMzMDg1XzE1NDIzNDcxNTM4MzUwNzA=,Y29tbWVudDoxMDI2MTU4MjY5NTMzMDg1XzYxMDMzODExMTc2MjE0Nw==,you’re funny!,2025-03-01,reply,0
Delta,2025-02-19 14:53:00,Y29tbWVudDoxMDI2MTU4MjY5NTMzMDg1XzEzNzUzOTc1MTcxNTQ5MTM=,Y29tbWVudDoxMDI2MTU4MjY5NTMzMDg1XzUxMTIyNTI3NTM0NzUzMQ==,same here but we have chosen to not fly for a while because there are too many incidents happening.,2025-02-22,reply,1
Delta,2025-02-19 14:53:00,Y29tbWVudDoxMDI2MTU4MjY5NTMzMDg1XzYyMTAxMzE4MDc0MzMxNA==,Y29tbWVudDoxMDI2MTU4MjY5NTMzMDg1XzUxMTIyNTI3NTM0NzUzMQ==,They are truly the very best!,2025-03-01,reply,0
Delta,2025-02-19 14:53:00,Y29tbWVudDoxMDI2MTU4MjY5NTMzMDg1XzUwMjg2MDAzOTUyOTIzNg==,Y29tbWVudDoxMDI2MTU4MjY5NTMzMDg1XzUxMTIyNTI3NTM0NzUzMQ==,"Bob Arnold Yes, quite agree with you.I'm sure you've had a wonderful time every time you've flown Delta. So when was the last time you traveled?",2025-03-01,reply,0
Delta,2025-02-19 14:53:00,Y29tbWVudDoxMDI2MTU4MjY5NTMzMDg1XzEzMDI1MTM2NjQyODk4MDE=,Y29tbWVudDoxMDI2MTU4MjY5NTMzMDg1XzUxMTIyNTI3NTM0NzUzMQ==,aren’t you a special man Lmfao,2025-03-01,reply,0
Delta,2025-02-19 14:53:00,Y29tbWVudDoxMDI2MTU4MjY5NTMzMDg1XzEyMDAwMDI1NjE2ODQ2MTc=,Y29tbWVudDoxMDI2MTU4MjY5NTMzMDg1XzUxMTIyNTI3NTM0NzUzMQ==,"Wouldn’t have happened with ANA, companies in Japan value safely more than DEI.",2025-03-08,reply,0
Delta,2025-02-19 14:53:00,Y29tbWVudDoxMDI2MTU4MjY5NTMzMDg1Xzk5Njg4Nzg4ODk4MDc5NjM=,,Ed Bastian is such an incredible leader.,2025-02-22,initial,99
Delta,2025-02-19 14:53:00,Y29tbWVudDoxMDI2MTU4MjY5NTMzMDg1XzM4MzY5NjE0NTk4NTAxOTc=,Y29tbWVudDoxMDI2MTU4MjY5NTMzMDg1Xzk5Njg4Nzg4ODk4MDc5NjM=,"Yep...the guy who robbed 6,000 Delta Pilots of their retirement money and scuttled thousands of Delta Line employee jobs and benefits in a false Bankruptcy is ""incredible""! PS This was an Endeavor Airline crew. Trained by Endeavor and paid sub Mainline pay. The F/A's did and incredible job!! Ed had nothing to do with their heroics! Please give credit where it is due. Not the guy who collects Millions in pay every year on the backs of regional underpaid employees who should be Delta employees.",2025-02-22,reply,34
Delta,2025-02-19 14:53:00,Y29tbWVudDoxMDI2MTU4MjY5NTMzMDg1XzYwMzcyMzU3NTk3MDQ4NA==,Y29tbWVudDoxMDI2MTU4MjY5NTMzMDg1XzM4MzY5NjE0NTk4NTAxOTc=,this and many other horrible things they do.,2025-02-22,reply,5
Delta,2025-02-19 14:53:00,Y29tbWVudDoxMDI2MTU4MjY5NTMzMDg1XzQ5NzUyNDk2OTc5MzM0OQ==,Y29tbWVudDoxMDI2MTU4MjY5NTMzMDg1XzM4MzY5NjE0NTk4NTAxOTc=,you realize delta OWNS endeavor right?,2025-02-22,reply,2
Delta,2025-02-19 14:53:00,Y29tbWVudDoxMDI2MTU4MjY5NTMzMDg1XzE5MDY3ODUyMTk3Mjc1MjI=,Y29tbWVudDoxMDI2MTU4MjY5NTMzMDg1XzM4MzY5NjE0NTk4NTAxOTc=,"Jim Doyle was Ed CEO, then? I don't think so. He was after Richard Anderson, who was CEO at D until 2016. Bankruptcy was 2005.",2025-02-22,reply,0
Delta,2025-02-19 14:53:00,Y29tbWVudDoxMDI2MTU4MjY5NTMzMDg1XzE4NjAxNjUyMjEzOTE4Nzc=,Y29tbWVudDoxMDI2MTU4MjY5NTMzMDg1XzE5MDY3ODUyMTk3Mjc1MjI=,"No kidding? Really? You mean they bought a regional carrier to avoid paying Delta wages and Delta Pilot work rules? Delta also does not train or hire Endeavor employees, they just use Endeavor and others to enhance Mahagony Rows greed factor.",2025-02-22,reply,2
Delta,2025-02-19 14:53:00,Y29tbWVudDoxMDI2MTU4MjY5NTMzMDg1XzkzNDQ4MDkxNTUzODk5Ng==,Y29tbWVudDoxMDI2MTU4MjY5NTMzMDg1XzE4NjAxNjUyMjEzOTE4Nzc=,"as long as the airline is making money, and the shareholders are happy, that’s all Ed is really concerned about. Why? That’s his job. If the airline was failing, the board would vote him out in a hurry. He has minions that take care of crap like “employee relations.” Same as POTUS. Doesn’t matter if it’s Trump, Biden, Harris, Bush, Obama, their job is to run the country (into the ground). All they want is your vote. If they don’t do what we hire them to do, they get voted out. At least it’s supposed to be that way on paper.",2025-02-22,reply,0
Delta,2025-02-19 14:53:00,Y29tbWVudDoxMDI2MTU4MjY5NTMzMDg1Xzk1NzgyNDMxMjc3NDI1Mw==,Y29tbWVudDoxMDI2MTU4MjY5NTMzMDg1XzkzNDQ4MDkxNTUzODk5Ng==,Yes Jake..he is a bloodsucker. Ask those who lost retirements and had careers shortened by threatened layoffs. You would think after making more the $100 Million since 2005 he could let go...but once a King who wants to quit..same as Potus.,2025-02-22,reply,0
Delta,2025-02-19 14:53:00,Y29tbWVudDoxMDI2MTU4MjY5NTMzMDg1XzI2NzMyMjY4MjYxOTkwMDg=,Y29tbWVudDoxMDI2MTU4MjY5NTMzMDg1Xzk1NzgyNDMxMjc3NDI1Mw==,Jim Doyle Correct. Like most Express carriers. They deserve so much more. Those flight attendants deserve EVERYTHING. Huge pay increases and flow through if that’s their wish.,2025-03-01,reply,1
Delta,2025-02-19 14:53:00,Y29tbWVudDoxMDI2MTU4MjY5NTMzMDg1XzQ4Njc4MDk2NDQ4MzU2MQ==,Y29tbWVudDoxMDI2MTU4MjY5NTMzMDg1Xzk5Njg4Nzg4ODk4MDc5NjM=,thanks to the crew!!,2025-02-22,reply,3
Delta,2025-02-19 14:53:00,Y29tbWVudDoxMDI2MTU4MjY5NTMzMDg1XzIzNTczMzMwNDEzMzMxNzQ=,Y29tbWVudDoxMDI2MTU4MjY5NTMzMDg1Xzk5Njg4Nzg4ODk4MDc5NjM=,really. Read up on him. He is only concerned about making his millions; gouging prices and treating his employees like crap. He does not care about the customers or employees.,2025-02-22,reply,9
Delta,2025-02-19 14:53:00,Y29tbWVudDoxMDI2MTU4MjY5NTMzMDg1XzEzNjczMDEzOTc1NzkwMTc=,Y29tbWVudDoxMDI2MTU4MjY5NTMzMDg1XzIzNTczMzMwNDEzMzMxNzQ=,I’m sorry do you work here?,2025-02-22,reply,4
Delta,2025-02-19 14:53:00,Y29tbWVudDoxMDI2MTU4MjY5NTMzMDg1XzM2NTM2NjM0NDE1OTE4OTA=,Y29tbWVudDoxMDI2MTU4MjY5NTMzMDg1XzIzNTczMzMwNDEzMzMxNzQ=,good for Ed!,2025-02-22,reply,1
Delta,2025-02-19 14:53:00,Y29tbWVudDoxMDI2MTU4MjY5NTMzMDg1XzEzNTkwODM3NzIxOTYyMzA=,Y29tbWVudDoxMDI2MTU4MjY5NTMzMDg1XzIzNTczMzMwNDEzMzMxNzQ=,We’re you an employee?,2025-02-22,reply,0
Delta,2025-02-19 14:53:00,Y29tbWVudDoxMDI2MTU4MjY5NTMzMDg1XzExNjc4Mzg4NTgzMDY2Mjk=,Y29tbWVudDoxMDI2MTU4MjY5NTMzMDg1XzEzNTkwODM3NzIxOTYyMzA=,"really! Good for Ed! It’s ok to let corporate greed rule over customer satisfaction and safety as well as employee safety. 
. I guess not all of us can understand what’s going on.",2025-02-22,reply,0
Delta,2025-02-19 14:53:00,Y29tbWVudDoxMDI2MTU4MjY5NTMzMDg1XzY1OTgyMDc3OTgxMDMxMg==,Y29tbWVudDoxMDI2MTU4MjY5NTMzMDg1Xzk5Njg4Nzg4ODk4MDc5NjM=,he's the best CEO in the airline industry. Can't please everyone all the time.,2025-02-22,reply,5
Delta,2025-02-19 14:53:00,Y29tbWVudDoxMDI2MTU4MjY5NTMzMDg1XzYxMzU4ODUxNzk1MTkyNA==,Y29tbWVudDoxMDI2MTU4MjY5NTMzMDg1XzY1OTgyMDc3OTgxMDMxMg==,to rob employees,2025-02-22,reply,0
Delta,2025-02-19 14:53:00,Y29tbWVudDoxMDI2MTU4MjY5NTMzMDg1XzY0NjIzMDM5MTI0MjU0Mw==,Y29tbWVudDoxMDI2MTU4MjY5NTMzMDg1Xzk5Njg4Nzg4ODk4MDc5NjM=,Yes he is.,2025-02-22,reply,0
Delta,2025-02-19 14:53:00,Y29tbWVudDoxMDI2MTU4MjY5NTMzMDg1XzE3MDE0MDcyNTc0MjIwOTA=,Y29tbWVudDoxMDI2MTU4MjY5NTMzMDg1Xzk5Njg4Nzg4ODk4MDc5NjM=,"you mean fraud, liar, POS… there are so many better adjectives than leader for that thing.",2025-02-22,reply,0
Delta,2025-02-19 14:53:00,Y29tbWVudDoxMDI2MTU4MjY5NTMzMDg1XzEyNzgwNTk1MjY2MDA0MjM=,Y29tbWVudDoxMDI2MTU4MjY5NTMzMDg1XzE3MDE0MDcyNTc0MjIwOTA=,"Anger management for you, too, young lady!",2025-02-22,reply,1
Delta,2025-02-19 14:53:00,Y29tbWVudDoxMDI2MTU4MjY5NTMzMDg1XzExODEwNjU3OTAzNDY0MTk=,,"So proud of working for this amazing company. Kudos to the crew on board, to responders and to everyone that helped evacuate that plane quickly and safely.",2025-02-22,initial,72
Delta,2025-02-19 14:53:00,Y29tbWVudDoxMDI2MTU4MjY5NTMzMDg1XzExNTIzMzI5NDk2MTg5Njg=,Y29tbWVudDoxMDI2MTU4MjY5NTMzMDg1XzExODEwNjU3OTAzNDY0MTk=,totally agree but sorry he took this to CBS which nobody watches or listens to.,2025-02-22,reply,4
Delta,2025-02-19 14:53:00,Y29tbWVudDoxMDI2MTU4MjY5NTMzMDg1XzEwOTQ3MzMzNzU3ODg4ODc=,Y29tbWVudDoxMDI2MTU4MjY5NTMzMDg1XzExODEwNjU3OTAzNDY0MTk=,pilot error... do you know what that means,2025-02-22,reply,4
Delta,2025-02-19 14:53:00,Y29tbWVudDoxMDI2MTU4MjY5NTMzMDg1XzEzMjA4Mjk4MzkyMDQ3OTg=,Y29tbWVudDoxMDI2MTU4MjY5NTMzMDg1XzEwOTQ3MzMzNzU3ODg4ODc=,no why don’t you fill us in?,2025-02-22,reply,1
Delta,2025-02-19 14:53:00,Y29tbWVudDoxMDI2MTU4MjY5NTMzMDg1XzE3MDIxMTQ2ODcwMDg4Mjc=,Y29tbWVudDoxMDI2MTU4MjY5NTMzMDg1XzEwOTQ3MzMzNzU3ODg4ODc=,"THIS DEI PILOT EVIL WOMEN HAD 4 WEEKS WITH HER PILOT LICENCE!! No, a pilot with only 4 weeks of license experience would not be allowed to act as either the pilot-in-command (pilot) or co-pilot on a commercial flight due to extremely limited experience and the strict safety regulations governing commercial aviation; most airlines have significantly higher minimum flight hour requirements, even for co-pilot positions.",2025-02-22,reply,0
Delta,2025-02-19 14:53:00,Y29tbWVudDoxMDI2MTU4MjY5NTMzMDg1XzEyMTA1ODU4OTcwNjkzNjE=,Y29tbWVudDoxMDI2MTU4MjY5NTMzMDg1XzE3MDIxMTQ2ODcwMDg4Mjc=,"rate of decent was way too fast. She essentially slamed the plane on the runway, broke the gear and flipped the plane. Total incompetence nothing to be proud off.",2025-02-22,reply,3
Delta,2025-02-19 14:53:00,Y29tbWVudDoxMDI2MTU4MjY5NTMzMDg1XzIwNDY1MTcyMzkyMDAyODE=,Y29tbWVudDoxMDI2MTU4MjY5NTMzMDg1XzEyMTA1ODU4OTcwNjkzNjE=,she?,2025-02-22,reply,0
Delta,2025-02-19 14:53:00,Y29tbWVudDoxMDI2MTU4MjY5NTMzMDg1XzI0NzE3MDQ5MDMxNzY4NDM=,Y29tbWVudDoxMDI2MTU4MjY5NTMzMDg1XzEwOTQ3MzMzNzU3ODg4ODc=,agreed 100% just watch the video it's not rocket science!,2025-02-22,reply,1
Delta,2025-02-19 14:53:00,Y29tbWVudDoxMDI2MTU4MjY5NTMzMDg1XzEzNzI1NTI1OTcyNjE4MDc=,Y29tbWVudDoxMDI2MTU4MjY5NTMzMDg1XzI0NzE3MDQ5MDMxNzY4NDM=,Cam Gray Not rocket science but not necessarily what you see. There are many factors at play. Let the real experts analyze the situation.,2025-02-22,reply,0
Delta,2025-02-19 14:53:00,Y29tbWVudDoxMDI2MTU4MjY5NTMzMDg1Xzk3MTMzNDczMTgxMDA2NQ==,Y29tbWVudDoxMDI2MTU4MjY5NTMzMDg1XzEzNzI1NTI1OTcyNjE4MDc=,How bout if I say I was there watched it live?,2025-02-22,reply,0
Delta,2025-02-19 14:53:00,Y29tbWVudDoxMDI2MTU4MjY5NTMzMDg1XzYzOTc5MjE1NTY1OTg0OA==,Y29tbWVudDoxMDI2MTU4MjY5NTMzMDg1XzExODEwNjU3OTAzNDY0MTk=,"you do realize plane crashed , or did you miss that part ?",2025-02-22,reply,1
Delta,2025-02-19 14:53:00,Y29tbWVudDoxMDI2MTU4MjY5NTMzMDg1XzU1ODQyNzc0Mzg4NjkxNw==,Y29tbWVudDoxMDI2MTU4MjY5NTMzMDg1XzYzOTc5MjE1NTY1OTg0OA==,"I did, and the response was amazing! Our teams were nothing but spectacular responding to this unfortunate accident. And I applaud them and thank them for what they did.",2025-02-22,reply,2
Delta,2025-02-19 14:53:00,Y29tbWVudDoxMDI2MTU4MjY5NTMzMDg1XzUwNjE5MDA4ODgzOTI5Nw==,Y29tbWVudDoxMDI2MTU4MjY5NTMzMDg1XzU1ODQyNzc0Mzg4NjkxNw==,ok ?,2025-02-22,reply,0
Delta,2025-02-19 14:53:00,Y29tbWVudDoxMDI2MTU4MjY5NTMzMDg1XzExNTUxMTAxNTI3MzU5MTQ=,Y29tbWVudDoxMDI2MTU4MjY5NTMzMDg1XzExODEwNjU3OTAzNDY0MTk=,"it was not an ""unfortunate accident"" it was pure incompetence.",2025-02-22,reply,0
Delta,2025-02-19 14:53:00,Y29tbWVudDoxMDI2MTU4MjY5NTMzMDg1XzYzMTk3ODY3NTg5ODc1Mw==,,Now give ALL Delta flight attendants and crew members a raise ED and more paid time off for mental health,2025-02-22,initial,36
Delta,2025-02-19 14:53:00,Y29tbWVudDoxMDI2MTU4MjY5NTMzMDg1XzExNDk4NjExNjAxNjY0MDc=,Y29tbWVudDoxMDI2MTU4MjY5NTMzMDg1XzYzMTk3ODY3NTg5ODc1Mw==,That includes the subsidiary!,2025-02-22,reply,3
Delta,2025-02-19 14:53:00,Y29tbWVudDoxMDI2MTU4MjY5NTMzMDg1XzE3MTU0Nzc2MTYwMzgxMDg=,Y29tbWVudDoxMDI2MTU4MjY5NTMzMDg1XzYzMTk3ODY3NTg5ODc1Mw==,why ? Delta flight attendants get profit sharing and endeavor doesn’t,2025-02-22,reply,4
Delta,2025-02-19 14:53:00,Y29tbWVudDoxMDI2MTU4MjY5NTMzMDg1XzE4NjM2Njg0NzA4MzM3Mzc=,Y29tbWVudDoxMDI2MTU4MjY5NTMzMDg1XzE3MTU0Nzc2MTYwMzgxMDg=,talk to ED boo,2025-02-22,reply,0
Delta,2025-02-19 14:53:00,Y29tbWVudDoxMDI2MTU4MjY5NTMzMDg1XzE2ODEwMTE5NjkxODY4MTU=,Y29tbWVudDoxMDI2MTU4MjY5NTMzMDg1XzE4NjM2Njg0NzA4MzM3Mzc=,I just wish he would recognize them. I no longer work for them because I broke my legs one on the plane and the other one at home by my dog.,2025-02-22,reply,0
Delta,2025-02-19 14:53:00,Y29tbWVudDoxMDI2MTU4MjY5NTMzMDg1XzExMjgxMDk0ODU3MzE3Njc=,Y29tbWVudDoxMDI2MTU4MjY5NTMzMDg1XzE2ODEwMTE5NjkxODY4MTU=,Still feel like Cinderella at the end of the day. We have so many FAs that have had to get 2nd and 3rd jobs or Government assistance. Even worse move in with their children or other family members because they can't afford a place to live.,2025-02-22,reply,0
Delta,2025-02-19 14:53:00,Y29tbWVudDoxMDI2MTU4MjY5NTMzMDg1XzEwMjgwNDEyNDkxNjc3ODk=,Y29tbWVudDoxMDI2MTU4MjY5NTMzMDg1XzExMjgxMDk0ODU3MzE3Njc=,"that’s so sad! Endeavor said I could come back whenever I want to, but unfortunately my leg is not doing well so I decided to stay retired and I’m moving to Lake of the Ozarks to become a lake bum lol",2025-02-22,reply,1
Delta,2025-02-19 14:53:00,Y29tbWVudDoxMDI2MTU4MjY5NTMzMDg1XzEzMzY1OTg1OTA5NzY2MjU=,Y29tbWVudDoxMDI2MTU4MjY5NTMzMDg1XzE4NjM2Njg0NzA4MzM3Mzc=,"Do you have any idea how much DL spends on mental health each year? If you don’t, have a seat. Someone will be with you shortly.",2025-02-22,reply,3
Delta,2025-02-19 14:53:00,Y29tbWVudDoxMDI2MTU4MjY5NTMzMDg1XzExNTU0Njg0MzI2MTY0ODY=,Y29tbWVudDoxMDI2MTU4MjY5NTMzMDg1XzEzMzY1OTg1OTA5NzY2MjU=,I do and there is no price tag on mental health. So you go have a seat and eat some veggies or something and someone will be with you shortly,2025-02-22,reply,1
Delta,2025-02-19 14:53:00,Y29tbWVudDoxMDI2MTU4MjY5NTMzMDg1XzM0MjYzNDI4MjQzMjg0NjY=,Y29tbWVudDoxMDI2MTU4MjY5NTMzMDg1XzExNTU0Njg0MzI2MTY0ODY=,Ok. What is it?,2025-02-22,reply,0
Delta,2025-02-19 14:53:00,Y29tbWVudDoxMDI2MTU4MjY5NTMzMDg1XzIwNTM0MTgyNDE4NDMzMDM=,Y29tbWVudDoxMDI2MTU4MjY5NTMzMDg1XzM0MjYzNDI4MjQzMjg0NjY=,not today DC. not today,2025-02-22,reply,1
Delta,2025-02-19 14:53:00,Y29tbWVudDoxMDI2MTU4MjY5NTMzMDg1XzExNTk0MjIyMTIzNjIxMDg=,Y29tbWVudDoxMDI2MTU4MjY5NTMzMDg1XzIwNTM0MTgyNDE4NDMzMDM=,"Lah Fulton what they need is better rest/ work schedules. Stricter rules on how long a pilot can fly or a flight attendant and how many days they should be off to be fully recovered for a next flight. Plus not being paid per hr but a monthly salary that reflects all the hrs at work for the airline. From signing in at the airport, all the preflight preparations, until returning to crew center at end of flight. Flying while not fit enough should not happen. ( working while ill should not happen anywhere) if you're sick you're sick and you should just get paid. Oh, just realizing I describe the working conditions we had when I was working for an airline outside of the US.",2025-02-22,reply,5
Delta,2025-02-19 14:53:00,Y29tbWVudDoxMDI2MTU4MjY5NTMzMDg1XzY2MTcxNzU5OTU0MjEzNw==,Y29tbWVudDoxMDI2MTU4MjY5NTMzMDg1XzExNTk0MjIyMTIzNjIxMDg=,pilots would have rules on how long they can fly,2025-02-22,reply,3
Delta,2025-02-19 14:53:00,Y29tbWVudDoxMDI2MTU4MjY5NTMzMDg1XzYwNTUxNjAzNTU5NTc4OA==,Y29tbWVudDoxMDI2MTU4MjY5NTMzMDg1XzExNTk0MjIyMTIzNjIxMDg=,add that too,2025-02-22,reply,0
Delta,2025-02-19 14:53:00,Y29tbWVudDoxMDI2MTU4MjY5NTMzMDg1XzE1NTI2Mzc4MzI2NDU4MjA=,Y29tbWVudDoxMDI2MTU4MjY5NTMzMDg1XzYwNTUxNjAzNTU5NTc4OA==,crew and pilots have but should better.,2025-02-22,reply,0
Delta,2025-02-19 14:53:00,Y29tbWVudDoxMDI2MTU4MjY5NTMzMDg1XzEzNDk1MjIwOTYwNDY2MzQ=,Y29tbWVudDoxMDI2MTU4MjY5NTMzMDg1XzE1NTI2Mzc4MzI2NDU4MjA=,you should do better and keep stupid comments in your head,2025-02-22,reply,0
Delta,2025-02-19 14:53:00,Y29tbWVudDoxMDI2MTU4MjY5NTMzMDg1XzExMzcxMTUwNTEwNjEwMDA=,Y29tbWVudDoxMDI2MTU4MjY5NTMzMDg1XzEzNDk1MjIwOTYwNDY2MzQ=,what's your problem. Ever worked in an airplane?,2025-02-22,reply,0
Delta,2025-02-19 14:53:00,Y29tbWVudDoxMDI2MTU4MjY5NTMzMDg1XzM5NzQyMjQyMjk0ODgxNzU=,Y29tbWVudDoxMDI2MTU4MjY5NTMzMDg1XzExMzcxMTUwNTEwNjEwMDA=,"Es Antoinette actually…employees like hourly as they are able to get overtime and can accrue comp time as well. Flight attendants and pilots are already set to being able to fly for so many hours. Employees get Comp time, sick leave and ppt on top of holiday leave and two weeks paid leave (at least my husband does and he is a Delta employee). If they work a holiday, they get the pay and then can use that holiday to take any other day off. Delta employees get treated well.",2025-02-22,reply,0
