company_name,post_date,id,parent_id,comment_text,comment_date,comment_type,reaction_count
Target,2025-02-13 13:26:00,Y29tbWVudDoxMTc4ODgyNTAwMjYzODA2Xzk0MzM5NDAwODAwMjg0Mw==,,Our DEI HARD EARNED money is not good enough for you Target get over it don’t cater to us,2025-02-14,initial,67
Target,2025-02-13 13:26:00,Y29tbWVudDoxMTc4ODgyNTAwMjYzODA2XzEzNTI4NTQ2NjI1NjAwMDk=,,Costco for the win!,2025-02-14,initial,46
Target,2025-02-13 13:26:00,Y29tbWVudDoxMTc4ODgyNTAwMjYzODA2XzE0NDUxNTk2NDY3Mjg0Njk=,Y29tbWVudDoxMTc4ODgyNTAwMjYzODA2XzEzNTI4NTQ2NjI1NjAwMDk=,don’t go Costco anymore. Not pleased with them,2025-02-21,reply,1
Target,2025-02-13 13:26:00,Y29tbWVudDoxMTc4ODgyNTAwMjYzODA2XzQ5NjM4MDIxMzUxNjc5Mw==,Y29tbWVudDoxMTc4ODgyNTAwMjYzODA2XzEzNTI4NTQ2NjI1NjAwMDk=,"Locally owned small businesses also exist, in case you weren't aware.",2025-02-21,reply,0
Target,2025-02-13 13:26:00,Y29tbWVudDoxMTc4ODgyNTAwMjYzODA2XzExNTYyODM0OTk0ODA0NjI=,,I know what I’m doing with my Costco strawberries. This was Tuesday,2025-02-14,initial,46
Target,2025-02-13 13:26:00,Y29tbWVudDoxMTc4ODgyNTAwMjYzODA2XzM5ODYzMDY4NDgzMTcyMzU=,Y29tbWVudDoxMTc4ODgyNTAwMjYzODA2XzExNTYyODM0OTk0ODA0NjI=,yay Costco!!!,2025-02-14,reply,5
Target,2025-02-13 13:26:00,Y29tbWVudDoxMTc4ODgyNTAwMjYzODA2XzQ5MTgzNjYzMzcyNjQ4MQ==,,Target is anti DEI. Shop Costco,2025-02-14,initial,7
Target,2025-02-13 13:26:00,Y29tbWVudDoxMTc4ODgyNTAwMjYzODA2XzEwNDk3NTQxMTY5NTgzNzA=,,So buy white chocolate. Open it. Don’t use it and only use the milk chocolate. Got it.,2025-02-14,initial,28
Target,2025-02-13 13:26:00,Y29tbWVudDoxMTc4ODgyNTAwMjYzODA2XzE4MzMyODk1Njc1MjE4MTk=,,I should add strawberries to my Costco shopping list!!,2025-02-14,initial,35
Target,2025-02-13 13:26:00,Y29tbWVudDoxMTc4ODgyNTAwMjYzODA2Xzg0MDU2NzY0MTUxODY4OA==,Y29tbWVudDoxMTc4ODgyNTAwMjYzODA2XzE4MzMyODk1Njc1MjE4MTk=,and should,2025-02-14,reply,0
Target,2025-02-13 13:26:00,Y29tbWVudDoxMTc4ODgyNTAwMjYzODA2XzEyNzY1ODk3OTAyNjg1Nzk=,,I am so upset. I used to enjoy going to Target on my pay days finding treasures and getting my kids clothes. But every since you said my money isn’t good in your store I have recently renewed my Costco membership since they love my money,2025-02-14,initial,29
Target,2025-02-13 13:26:00,Y29tbWVudDoxMTc4ODgyNTAwMjYzODA2XzE4NzYzMDg3Mzk4Mzk5ODM=,,Costco has better strawberries,2025-02-14,initial,13
Target,2025-02-13 13:26:00,Y29tbWVudDoxMTc4ODgyNTAwMjYzODA2XzEyODIzNzQ5MzMwMzA2MDA=,,Where did the white chocolate go,2025-02-14,initial,5
Target,2025-02-13 13:26:00,Y29tbWVudDoxMTc4ODgyNTAwMjYzODA2XzE1NzUwMTkzMzMxNjAwMTY=,Y29tbWVudDoxMTc4ODgyNTAwMjYzODA2XzEyODIzNzQ5MzMwMzA2MDA=,Costco!,2025-02-14,reply,1
Target,2025-02-13 13:26:00,Y29tbWVudDoxMTc4ODgyNTAwMjYzODA2XzkzNjIyMTA3NTM0ODk5Mg==,,I'll make sure I put strawberries on my Costco list,2025-02-14,initial,15
Target,2025-02-13 13:26:00,Y29tbWVudDoxMTc4ODgyNTAwMjYzODA2XzExNDI2OTQ5NzQxNTQ4NjI=,,Looks good,2025-02-14,initial,3
Target,2025-02-13 13:26:00,Y29tbWVudDoxMTc4ODgyNTAwMjYzODA2XzUyMzA2MjEwMDI5MjY3Ng==,,Another day of not shopping at Target,2025-02-14,initial,6
Target,2025-02-13 13:26:00,Y29tbWVudDoxMTc4ODgyNTAwMjYzODA2XzkxNTAwNzE3MDg0NTQ5Nw==,,Yummy,2025-02-14,initial,3
Target,2025-02-13 13:26:00,Y29tbWVudDoxMTc4ODgyNTAwMjYzODA2XzE2Nzc0ODA3MzI5MDM1NjY=,,"Thank you, Target, for not charging your loyal shoppers an annual fee just to shop there! Target for the win!",2025-02-14,initial,6
Target,2025-02-13 13:26:00,Y29tbWVudDoxMTc4ODgyNTAwMjYzODA2Xzc5NjQwMzE2OTM2OTExNQ==,,I need to try this tomorrow,2025-02-14,initial,2
Target,2025-02-13 13:26:00,Y29tbWVudDoxMTc4ODgyNTAwMjYzODA2XzEzMzMzMzc1MDEwMzQ4ODY=,,Costco strawberry selection is better and they support DEI,2025-02-21,initial,3
Target,2025-02-13 13:26:00,Y29tbWVudDoxMTc4ODgyNTAwMjYzODA2XzExNTg1MTY5OTkyMzA1NzE=,,That reminds me. I gotta make a Costco run.,2025-02-21,initial,4
Target,2025-02-13 13:26:00,Y29tbWVudDoxMTc4ODgyNTAwMjYzODA2XzEzMjM5OTcxNzU3MTMyNDE=,,Joining Costco,2025-02-21,initial,2
Target,2025-02-13 13:26:00,Y29tbWVudDoxMTc4ODgyNTAwMjYzODA2XzYwNzg5NTU5ODc0MjU4MA==,,Even if they do bring back DEI they still showed their true colors. Garbage company.,2025-03-07,initial,0
Target,2025-02-13 13:26:00,Y29tbWVudDoxMTc4ODgyNTAwMjYzODA2XzEzNjc1ODE1NDQzODE0ODg=,,Nope nope and nope!! Team costco,2025-02-28,initial,0
Target,2025-02-13 13:26:00,Y29tbWVudDoxMTc4ODgyNTAwMjYzODA2XzM2NTY0NjU2MzQ2NTk5NTI=,,Do you carry DEI?,2025-03-21,initial,0
