company_name,before_DEI,comment_date,mean,count
Costco,0,2025-01-26,0.013582342954159592,1178
Costco,0,2025-02-02,0.02370778773259821,7255
Costco,0,2025-02-09,0.023851590106007067,3396
Costco,0,2025-02-16,0.006151742993848257,1463
Costco,0,2025-02-23,0.0006313131313131314,1584
Costco,0,2025-03-02,0.017985611510791366,278
Costco,0,2025-03-09,0.044444444444444446,90
Costco,0,2025-03-16,-0.038461538461538464,26
Costco,0,2025-03-23,0.0,11
Costco,0,2025-03-30,0.3333333333333333,3
Costco,0,2025-04-06,-0.3333333333333333,3
Costco,0,2025-04-13,0.0,1
Costco,0,2025-04-20,0.0,1
Costco,1,2025-01-12,-0.025,40
Costco,1,2025-01-19,-0.002857142857142857,700
Costco,1,2025-01-26,-0.0031413612565445027,955
Delta,0,2025-02-09,-0.06179775280898876,178
Delta,0,2025-02-16,-0.006793478260869565,736
Delta,0,2025-02-23,0.00392156862745098,3060
Delta,0,2025-03-02,-0.025078369905956112,319
Delta,0,2025-03-09,-0.03278688524590164,305
Delta,0,2025-03-16,-0.017857142857142856,112
Delta,0,2025-03-23,-0.027777777777777776,36
Delta,0,2025-03-30,0.0,27
Delta,0,2025-04-06,-0.08,25
Delta,0,2025-04-13,-0.3333333333333333,30
Delta,1,2025-01-12,0.0,1
Delta,1,2025-01-19,0.5,2
Delta,1,2025-01-26,-0.039603960396039604,101
Delta,1,2025-02-02,-0.06930693069306931,101
Delta,1,2025-02-09,-0.11904761904761904,42
Google,0,2025-01-19,0.0,1
Google,0,2025-02-09,-0.017094017094017096,234
Google,0,2025-02-16,-0.1471861471861472,2079
Google,0,2025-02-23,-0.07837837837837838,740
Google,0,2025-03-02,-0.025889967637540454,618
Google,0,2025-03-09,-0.0076465590484282074,1177
Google,0,2025-03-16,-0.022123893805309734,226
Google,0,2025-03-23,0.011363636363636364,88
Google,0,2025-03-30,0.0,17
Google,0,2025-04-06,-0.3,10
Google,0,2025-04-13,0.0,23
Google,0,2025-04-20,0.0,1
Google,1,2025-01-26,-0.0053475935828877,187
Google,1,2025-02-02,-0.09125475285171103,263
Google,1,2025-02-09,-0.012681159420289856,552
Target,0,2025-01-26,-0.15384615384615385,143
Target,0,2025-02-02,-0.13216715257531583,1029
Target,0,2025-02-09,-0.2697095435684647,1205
Target,0,2025-02-16,-0.2012987012987013,616
Target,0,2025-02-23,-0.16246498599439776,714
Target,0,2025-03-02,-0.22268326417704012,723
Target,0,2025-03-09,-0.0625,80
Target,0,2025-03-16,-0.12121212121212122,33
Target,0,2025-03-23,0.0,11
Target,0,2025-03-30,0.0,6
Target,0,2025-04-06,-0.025,40
Target,0,2025-04-20,0.0,1
Target,1,2025-01-19,0.040983606557377046,122
Target,1,2025-01-26,0.0,62
